uuid,data
2e95de95-d573-423a-8a47-87f179f3e246,https://wfs.environnement.brussels/belb_inspire_n2k_habitats?VERSION=2.0.0&SERVICE=wfs&REQUEST=GetFeature&STOREDQUERY_ID=http%3A%2F%2Finspire.ec.europa.eu%2Foperation%2Fdownload%2FGetSpatialDataSet&DataSetIdCode=BRU_ENVI_2e95de95-d573-423a-8a47-87f179f3e246&DataSetIdNamespace=BE.BELB&CRS=EPSG%3A3035&Language=eng&OUTPUTFORMAT=text/xml;%20subtype=gml/3.2.1
dd3ac608-9598-4823-ac78-8d716d79f84c,https://geoservices-urbis.irisnet.be/geoserver/urbisgrid/wfs?request=GetCapabilities&service=WFS&version=2.0.0
dfcb6396-9c89-4f2f-b125-6695a557a959,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetFeature&TYPENAME=bruenvi_noise_monitoring_stations
dfcb6396-9c89-4f2f-b125-6695a557a959,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetCapabilities
cd18a373-410e-43da-aa1a-962579d6bd9d,https://gis.urban.brussels/brugiservices/geoserverinspire/ows?service=wfs&version=2.0.0&request=GetCapabilities
stationsSW_qualite_phisique_chimique.xml,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetFeature&TYPENAME=bruenvi_water_monitoring_river_quality_phch_reporting
stationsSW_qualite_phisique_chimique.xml,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetCapabilities
dbafea61-3fa3-4da2-b4f5-3017936a5ccb,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetFeature&TYPENAME=bruenvi_noise_air_lden_16
dbafea61-3fa3-4da2-b4f5-3017936a5ccb,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetCapabilities
stationsGW_controles_2007.xml,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetFeature&TYPENAME=bruenvi_water_monitoring_groundwater_level_reporting
stationsGW_controles_2007.xml,https://wfs.environnement.brussels/belb_inspire?SERVICE=WFS&VERSION=1.0.0&REQUEST=GetCapabilities
c426e336-2419-48d9-9029-b701a693de04,https://wfs.environnement.brussels/belb_inspire_surface_geology_stratigraphy_map?SERVICE=WFS&REQUEST=GetFeature&TYPENAME=MappedFeature&OUTPUTFORMAT=text/xml;%20subtype=gml/3.2.1&VERSION=2.0.0
c426e336-2419-48d9-9029-b701a693de04,https://wfs.environnement.brussels/belb_inspire_surface_geology_stratigraphy_map?SERVICE=WFS&REQUEST=GetFeature&TYPENAME=GeologicUnit&OUTPUTFORMAT=text/xml;%20subtype=gml/3.2.1&VERSION=2.0.0
c426e336-2419-48d9-9029-b701a693de04,https://wfs.environnement.brussels/belb_inspire_surface_geology_stratigraphy_map?SERVICE=WFS&REQUEST=GetFeature&TYPENAME=GeologicEvent&OUTPUTFORMAT=text/xml;%20subtype=gml/3.2.1&VERSION=2.0.0
