uuid,url,url_status
ES_SDGC_AD,https://ovc.catastro.meh.es/INSPIRE/wfsAD.aspx?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0,1
inspire-installacions-observacio-mediambient,https://geoserveis.ide.cat/servei/catalunya/inspire-installacions-observacio-mediambient/atom/inspire-installacions-observacio-mediambient.atom.xml,1
spamfomplaneamientourbanistico2015,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC_SIU/MapServer/WFSServer?request=GetCapabilities&service=WFS,0
inspire-pla-espais-interes-natural,https://geoserveis.ide.cat/servei/catalunya/inspire-pla-espais-interes-natural/atom/inspire-pla-espais-interes-natural.atom.xml,1
inspire-natura-2000,https://geoserveis.ide.cat/servei/catalunya/inspire-natura-2000/atom/inspire-natura-2000.atom.xml,1
inspire-espais-naturals-proteccio-especial,https://geoserveis.ide.cat/servei/catalunya/inspire-espais-naturals-proteccio-especial/atom/inspire-espais-naturals-proteccio-especial.atom.xml,1
inspire-elevacions,https://geoserveis.ide.cat/servei/catalunya/inspire-elevacions/atom/inspire-elevacions.atom.xml,1
BU_building_dataset,https://geo.araba.eus/WFS_INSPIRE_BU?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
inspire-coberta-terrestre,https://geoserveis.ide.cat/servei/catalunya/inspire-coberta-terrestre/atom/inspire-coberta-terrestre.atom.xml,1
900df0de-be87-11e0-8e37-00261812f484_NGA,http://idearagon.aragon.es/toponimiaWFS?service=WFS&request=GetCapabilities,1
CP_cadastralparcel_dataset,https://geo.araba.eus/WFS_INSPIRE_CP?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
086DEA60-3BF1-4DC6-8ACA-8D54BD20FACE_1200011_es,https://www.ideandalucia.es/wfs-nga-inspire/services?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
{309e871c-e108-426d-ab0f-f8aa46117574}_200001_es,https://www.juntadeandalucia.es/institutodeestadisticaycartografia/geoserver-ieca/grid/wfs?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
inspire-unitats-administratives,https://geoserveis.ide.cat/servei/catalunya/inspire-unitats-administratives/atom/inspire-unitats-administratives.atom.xml,1
25818080-5500-4fff-848e-03c638e351c7,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
inspire-zones-riscos-naturals-allaus,https://geoserveis.ide.cat/servei/catalunya/inspire-zones-riscos-naturals/atom/inspire-zones-riscos-naturals.atom.xml,1
engSITNAINSPIRE_ES_SITNA_AD,https://inspire.navarra.es/services/AD/wfs?service=WFS&request=getcapabilities,1
inspire-sol,https://geoserveis.ide.cat/servei/catalunya/inspire-sol/atom/inspire-sol.atom.xml,1
engSITNAINSPIRE_ES_RRTN_BU,https://inspire.navarra.es/services/BU/wfs?service=WFS&request=getcapabilities,1
md_ideeu_mdt_lidar_2017_es,https://www.geo.euskadi.eus/WCS_KARTOGRAFIA?request=getcapabilities&service=wcs,1
spaihmLC,http://ideihm.covam.es/ihm-inspire/wfs-hidrografia-p?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
887ca76a-0adc-45f9-bbc6-89905e092f26,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
inspire-edificis,https://geoserveis.ide.cat/servei/catalunya/inspire-edificis/atom/inspire-edificis.atom.xml,1
8a82bf1c-238f-4184-b37c-955e68ecc23d,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
ES.GFA.AU.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_au?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0,1
ES.GFA.CP.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_cp?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0,1
7cd6405b-9586-45be-9f5a-78bf0919a250,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
ES.GFA.BU.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_bu?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0>,0
spaignMDT05,https://servicios.idee.es/wcs-inspire/mdt?request=GetCapabilities&service=WCS&version=2.0.1,1
ES_SDGC_BU,https://ovc.catastro.meh.es/INSPIRE/wfsBU.aspx?service=WFS&request=Getcapabilities&VERSION=2.0.0,1
898f0ff8-f06c-4c14-88f7-43ea90e48233,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
spaignsiose2014,https://servicios.idee.es/wfs-inspire/ocupacion-suelo?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
spaignHIDROGRAFIA_IGR,https://servicios.idee.es/wfs-inspire/hidrografia?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0,1
ES.GFA.AD.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_ad?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0,1
spaignLLM,https://www.ign.es/wfs-inspire/unidades-administrativas?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
spacarcaparuidodtnwmstematica20130304,https://inspire.larioja.org/request?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
spaignCLC2018,https://servicios.idee.es/wfs-inspire/ocupacion-suelo?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
spacarcapaderechosminpunwmstematica20130304,https://inspire.larioja.org/request?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
spacarcapaemervolunwmstematica20140408,https://inspire.larioja.org/request?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
spaign_cartociudad_addresses,https://www.cartociudad.es/wfs-inspire/direcciones?request=GetCapabilities&service=WFS&VERSION=2.0.0,1
fe63e694-2fd8-4ec2-81b9-06a3d0b4ce38,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
spacarcapacaptwmstematica20131216,https://inspire.larioja.org/request?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,1
f267919d-e0a8-4e6e-9451-e06eeb809800,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml,1
