uuid,data
https://data.gov.sk/set/data/gmd/9a2cec83-db6d-456c-b901-18680919f729,https://geo.shmu.sk/geoserver/pf-installation-part/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/9a2cec83-db6d-456c-b901-18680919f729,https://geo.shmu.sk/geoserver/pf-installation-part/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=pf-installation-part:ProductionInstallationPart&COUNT=1
https://data.gov.sk/set/data/gmd/0294d799-3e2f-4038-afea-7c19b788b417,https://maps.geocloud.sk/geoserver/ge/wfs?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/0294d799-3e2f-4038-afea-7c19b788b417,https://maps.geocloud.sk/geoserver/ge/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=ge%3AMappedFeature&COUNT=1
https://data.gov.sk/set/data/gmd/a6d1461c-edfc-4a72-b658-af80d7748863,https://maps.geocloud.sk/geoserver/ps/wfs?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/a6d1461c-edfc-4a72-b658-af80d7748863,https://maps.geocloud.sk/geoserver/ps/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=ps%3APS.ProtectedSite&COUNT=1
https://data.gov.sk/set/data/gmd/ad7ccd59-d08b-4807-a4f3-e6d5538b0fae,https://maps.geocloud.sk/geoserver/af/wfs?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/ad7ccd59-d08b-4807-a4f3-e6d5538b0fae,https://maps.geocloud.sk/geoserver/af/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=af%3AAF.Site&COUNT=1
https://data.gov.sk/set/data/gmd/b4d884b3-4442-43db-a19c-ceb6e127960f,https://geo.shmu.sk/geoserver/pf-facility/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/b4d884b3-4442-43db-a19c-ceb6e127960f,https://geo.shmu.sk/geoserver/pf-facility/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=pf-facility:ProductionFacility&COUNT=1
https://data.gov.sk/set/data/gmd/e104c987-803a-457c-9483-060ca272cb36,https://maps.geocloud.sk/geoserver/hh/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/e104c987-803a-457c-9483-060ca272cb36,https://maps.geocloud.sk/geoserver/hh/ows?service=WFS&version=2.0.0&request=GetFeature&typeNames=hh%3AEnvHealthDeterminantMeasure
https://data.gov.sk/set/data/gmd/512457a8-70ef-45c1-8d0d-033583a647a1,https://geo.shmu.sk/geoserver/am-aqmz/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/512457a8-70ef-45c1-8d0d-033583a647a1,https://geo.shmu.sk/geoserver/am-aqmz/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=am-aqmz%3AManagementRestrictionOrRegulationZone&COUNT=1
https://data.gov.sk/set/data/gmd/4b1b6651-8e06-4a6d-8335-3d4d4ce79aeb,https://maps.geocloud.sk/geoserver/mr/wfs?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/4b1b6651-8e06-4a6d-8335-3d4d4ce79aeb,https://maps.geocloud.sk/geoserver/mr/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=mr%3AMineralOccurrence&COUNT=1
https://data.gov.sk/set/data/gmd/dfa31b86-69b4-45b8-988f-0e07b80f01c8,https://geo.shmu.sk/geoserver/ef-swn-precs/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/dfa31b86-69b4-45b8-988f-0e07b80f01c8,https://geo.shmu.sk/geoserver/ef-swn-precs/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=ef-swn-precs:EnvironmentalMonitoringFacility&COUNT=1
https://data.gov.sk/set/data/gmd/5cac502f-5f48-4780-af51-18f6aeff2a64,https://geo.shmu.sk/geoserver/ef-swn-ms-ams/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/5cac502f-5f48-4780-af51-18f6aeff2a64,https://geo.shmu.sk/geoserver/ef-swn-ms-ams/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=ef-swn-ms-ams%3AEnvironmentalMonitoringFacility&COUNT=1
https://data.gov.sk/set/data/gmd/6a9a5665-e87d-4751-9339-2711a01e4efd,http://inspire.biomonitoring.sk/geoserver/sd/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/f265536a-6828-4082-b4e9-f36c457262c3,https://maps.geocloud.sk/geoserver/su-vector/ows?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/f265536a-6828-4082-b4e9-f36c457262c3,https://maps.geocloud.sk/geoserver/su-vector/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=su-vector%3AAreaStatisticalUnit&COUNT=1
https://data.gov.sk/set/data/gmd/a4b32081-e616-4ee1-b189-c3e78e57d768,https://geo.shmu.sk/geoserver/ef-swn-ms-sms/ows?service=wfs&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/a4b32081-e616-4ee1-b189-c3e78e57d768,https://geo.shmu.sk/geoserver/ef-swn-ms-sms/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=ef-swn-ms-sms%3AEnvironmentalMonitoringFacility&COUNT=1
https://data.gov.sk/set/data/gmd/3bc82b61-81d5-4737-abdd-a964ef1b0340,https://maps.geocloud.sk/geoserver/mr/wfs?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/3bc82b61-81d5-4737-abdd-a964ef1b0340,https://maps.geocloud.sk/geoserver/mr/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=mr%3AMiningFeatureOccurrence&COUNT=1
https://data.gov.sk/set/data/gmd/e3f39e03-3bc3-4d07-b0bb-0eb9e1ee6dce,https://maps.geocloud.sk/geoserver/er-v/ows?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/e3f39e03-3bc3-4d07-b0bb-0eb9e1ee6dce,https://maps.geocloud.sk/geoserver/er-v/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=er-v%3AFossilFuelResource&COUNT=1
https://data.gov.sk/set/data/gmd/d4c3a819-650a-4b53-8247-08d29ed2b00e,https://maps.geocloud.sk/geoserver/ge/wfs?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/d4c3a819-650a-4b53-8247-08d29ed2b00e,https://maps.geocloud.sk/geoserver/ge/wfs?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=ge%3AGE.Borehole&COUNT=1
https://data.gov.sk/set/data/gmd/79df63a4-d38d-445e-9a3f-1efff7107fbd,http://maps.geocloud.sk/geoserver/us-govserv/ows?service=WFS&version=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/82c74e41-6d2c-4c68-80ca-089332244080,https://sluzby.vuvh.sk/arcgis/rest/directories/arcgisoutput/INSPIRE_dls/US.EnvironmentalManagementFacility_harmonized/US-EMF_dlsFeed.atom
https://data.gov.sk/set/data/gmd/ce3662b5-cb30-4fad-a679-bb388185d9e4,https://www.nlcsk.org/mgs/services/MPRV/LU_LPIS_HU/MapServer/WFSServer?service=WFS&AcceptVersions=2.0.0&request=GetCapabilities
https://data.gov.sk/set/data/gmd/ce3662b5-cb30-4fad-a679-bb388185d9e4,https://www.nlcsk.org/mgs/services/MPRV/LU_LPIS_HU/MapServer/WFSServer?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=LU%3ALU.ExistingLandUse&COUNT=1
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?version=2.0.0&service=WFS&request=GetCapabilities
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=tn-a%3AAerodromeNode&COUNT=1
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=tn-a%3AAirRouteLink&COUNT=1
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=tn-a%3AAirspaceArea&COUNT=1
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=tn-a%3ADesignatedPoint&COUNT=1
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=tn-a%3ANavaid&COUNT=1
https://data.gov.sk/set/data/gmd/e3ff5d22-b167-402c-9704-4c599e122779,https://gis.lps.sk/server/rest/services/inspire/inspire_download/MapServer/exts/InspireFeatureDownload/service?SERVICE=WFS&REQUEST=GetFeature&VERSION=2.0.0&TYPENAMES=tn-a%3ARunwayArea&COUNT=1
