uuid,data
KAUR_pohjaveemaardlad,https://inspire.geoportaal.ee/geoserver/AM_pohjaveevaru/wms?service=WMS&version=1.3.0&request=GetCapabilities
maaamet_maardlad,https://teenus.maaamet.ee/ows/maardlad?service=WMS&version=1.3.0&request=GetCapabilities
maaamet_maardlad,https://teenus.maaamet.ee/ows/wms-geoloogia?service=WMS&version=1.3.0&request=GetCapabilities
maaamet_KPO_IS,https://gsavalik.envir.ee/geoserver/kpokitsendused/wms?service=WMS&version=1.3.0&request=GetCapabilities
maaamet_KPO_IS,https://gsavalik.envir.ee/geoserver/kmakitsendused/wms?service=WMS&version=1.3.0&request=GetCapabilities
veeteede_amet_sadamaregister,https://inspire.geoportaal.ee/geoserver/TN_sadam/wms?service=WMS&version=1.3.0&request=GetCapabilities
EANS_AIM_data,https://inspire.geoportaal.ee/geoserver/TN_ohutransport/wms?service=WMS&version=1.3.0&request=GetCapabilities
KAUR_pvkogumid,https://inspire.geoportaal.ee/geoserver/GE_pohjaveekogum/wms?service=WMS&version=1.3.0&request=GetCapabilities
ilmateenistus_ilmajaamad,https://inspire.geoportaal.ee/geoserver/EF_ilmajaamad/wms?service=WMS&version=1.3.0&request=Getcapabilities
maaamet_ADS_haldussysteem,https://kaart.maaamet.ee/wms/aadressid?service=WMS&version=1.3.0&request=GetCapabilities
maaamet_ADS_haldussysteem,https://inspire.geoportaal.ee/geoserver/AD_Address/wms?service=WMS&version=1.3.0&request=GetCapabilities
maaamet_ADS_haldussysteem,https://gsavalik.envir.ee/geoserver/knr/wms?service=WMS&version=1.3.0&request=Getcapabilities
ee.kaur.hb-vep,https://inspire.geoportaal.ee/geoserver/HB_public/wms?request=GetCapabilities&service=WMS&version=1.3.0
ee.kaur.hb-vep,https://gsavalik.envir.ee/geoserver/eelis/ows?request=GetCapabilities&version=1.3.0&service=WMS
KTK_PRTR,https://inspire.geoportaal.ee/geoserver/US_jaatmekaitlus/wms?service=WMS&version=1.3.0&request=GetCapabilities
KTK_KKR_veekogud,https://inspire.geoportaal.ee/geoserver/HY_hydro/wms?service=WMS&version=1.3.0&request=GetCapabilities
b846318f-bbe7-4130-ad59-413ed08f7714,https://inspire.geoportaal.ee/geoserver/LU_planeeringud/wms?service=WMS&version=1.3.0&request=GetCapabilities
KAUR_saasteaineteregister,https://inspire.geoportaal.ee/geoserver/PF_heiteallikad/wms?service=WMS&version=1.3.0&request=GetCapabilities
KAUR_reoveekaitlusnimistu,https://inspire.geoportaal.ee/geoserver/US_reoveepuhasti/wms?service=WMS&version=1.3.0&request=GetCapabilities
KAUR_reoveekaitlusnimistu,https://gsavalik.envir.ee/geoserver/eelis/ows?service=WMS&version=1.3.0&request=GetCapabilities
6f83aa32.xml,https://gsavalik.envir.ee/geoserver/keskkonnainfo/ows?service=WMS&request=GetCapabilities
stat_grid,https://inspire.geoportaal.ee/geoserver/SU_ruutkaart/wms?service=WMS&version=1.3.0&request=GetCapabilities
{EC9B1EE4-7988-42AC-AC7C-729A14F8A713},https://teenus.maaamet.ee/ows/wms-chm?service=WMS&request=GetCapabilities
{47636086-0E88-4D30-A34B-713E2C7D56B6},https://inspire.geoportaal.ee/geoserver/SD_liigid/wms?service=WMS&version=1.3.0&request=GetCapabilities
{47636086-0E88-4D30-A34B-713E2C7D56B6},https://gsavalik.envir.ee/geoserver/eelis/ows?service=WMS&version=1.3.0&request=GetCapabilities
veeteede_amet_mootealad,http://195.80.112.238:8080/HIS/WMS?REQUEST=GetCapabilities
{3B72703A-26A8-4FC4-8157-117274CD2106},https://gsavalik.envir.ee/geoserver/eelis/ows?service=WMS&version=1.3.0&request=GetCapabilities
{3B72703A-26A8-4FC4-8157-117274CD2106},https://inspire.geoportaal.ee/geoserver/GE_tundlikala/wms?service=WMS&version=1.3.0&request=GetCapabilities
