uuid,data
r_piemon:894aa355-1438-4ed2-8fd6-99e6a40a3b4f,https://sentinel.territorio.csi.it/ms/wms_EVI?service=WMS&version=1.3&request=getCapabilities
ispra_rm:07Idro250N_DT,http://sdi.isprambiente.it/geoserver/hy/autorita_bacino/wms?service=wms&version=1.3.0&request=GetCapabilities
r_liguri:D.1577,https://geoservizi.regione.liguria.it/geoserver/M1577/wms?version=1.3.0&request=getcapabilities
ispra_rm:QualitPesticidiSott2017_DT,https://sdi.isprambiente.it/geoserver/pf1/sqa_gw_2017/wms?service=wms&version=1.3.0&request=GetCapabilities
ispra_rm:Meta_NNB_Habitat18DT,http://geoviewer.nnb.isprambiente.it/geoserver/nnb/art17_habitats_distribution/wms?service=wms&version=1.3.0&request=GetCapabilities
c_g913:D.1891,https://geoservizi.regione.liguria.it/geoserver/M1891/wms?version=1.3.0&request=getcapabilities
r_basili:b3c9acf1-34dc-4e64-b3ae-08b03d65d1f7,http://rsdi.regione.basilicata.it:80/rbgeoserver2016/sin/ferrandina_pisticci/wms?request=GetCapabilities&service=wms&version=1.3.0
r_liguri:D.624,https://geoservizi.regione.liguria.it/geoserver/M624/wms?version=1.3.0&request=getcapabilities
ispra_rm:MonitorPesticidiSott2011_DT,http://sdi.isprambiente.it/geoserver/ef1/anagrafica_stazioni_GW_anno_2011/wms?service=wms&version=1.3.0&request=GetCapabilities
r_basili:-3292a709:150aa3287e9:-35e0,http://rsdi.regione.basilicata.it/rbgeoserver2016/dbgt_0204/mu_sos_msos_sup/wms?request=GetCapabilities&service=WMS&version=1.3.0
r_basili:7ccb5ec5:15f2438228e:-7ab4,http://rsdi.regione.basilicata.it/rbgeoserver2016/ppr/beni_paesaggistici_136/wms?request=GetCapabilities&service=WMS&version=1.3.0
ispra_rm:QualitPesticidiSott2014_DT,https://sdi.isprambiente.it/geoserver/pf1/sqa_gw_2014/wms?service=wms&version=1.3.0&request=GetCapabilities
ispra_rm:QualitPesticidiSott2011_DT,https://sdi.isprambiente.it/geoserver/pf1/sqa_gw_2011/wms?service=wms&version=1.3.0&request=GetCapabilities
r_basili:-3292a709:150aa3287e9:-1d8e,http://rsdi.regione.basilicata.it/rbgeoserver2016/dbgt_0205/op_reg_op_reg_sup/wms?request=GetCapabilities&service=WMS&version=1.3.0
ispra_rm:MonitorPesticidiSott2012_DT,http://sdi.isprambiente.it/geoserver/ef1/anagrafica_stazioni_GW_anno_2012/wms?service=wms&version=1.3.0&request=GetCapabilities
r_basili:4b738ab6:132bb8e2369:-7078,http://rsdi.regione.basilicata.it/rbgeoserver2016/fasce_altim/alt_500_a_600/wms?request=getCapabilities&service=WMS&version=1.3.0
ispra_rm:MonitorPesticidiSott2009_DT,http://sdi.isprambiente.it/geoserver/ef1/anagrafica_stazioni_GW_anno_2009/wms?service=wms&version=1.3.0&request=GetCapabilities
r_puglia:e63efee0-6c02-414b-873e-7b61b981f80b,http://iws.sit.puglia.it/ecwp/ecw_wms.dll?
r_puglia:e5fdf473-4457-420a-9cef-3ad20f31a9b9,http://webapps.sit.puglia.it/arcgis/services/Background/CTR2008/MapServer/WMSServer
r_piemon:ebc05db3-36f7-456a-af8c-0dd81d85d1fe,https://geomap.reteunitaria.piemonte.it/ws/esiri/rp-01/siriogc/wms_corpi_idrici_wfd?service=WMS&version=1.3&request=getCapabilities
r_piemon:cc804cd2-3c93-4124-8ec8-a2a85ac9d224,https://geomap.reteunitaria.piemonte.it/ws/esiri/rp-01/siriogc/wms_corpi_idrici_wfd?service=WMS&version=1.3&request=getCapabilities
c_a922:D.1885,https://geoservizi.regione.liguria.it/geoserver/M1885/wms?version=1.3.0&request=getcapabilities
r_lombar:f843d4bf-68a5-4db9-a72b-b75207408cfd,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola1/MapServer/WMSServer?
r_piemon:812c28a8-763b-4c74-81a3-c5fe1ed99c68,https://geomap.reteunitaria.piemonte.it/ws/sifor/rp-01/aggcartaforwms/wms_cartafor_2016?service=WMS&version=1.3&request=getCapabilities
r_lombar:dfc98d60-5f02-4a2b-8113-5ad24cc53a9c,https://www.cartografia.servizirl.it/arcgis/services/wms/DTM5_RL_wms/MapServer/WMSServer?
r_lombar:dfc98d60-5f02-4a2b-8113-5ad24cc53a9c,https://www.cartografia.servizirl.it/arcgis/rest/services/wms/DTM5_RL_wms/MapServer
r_lombar:d01068c3-fec0-4116-a1fd-2e2a7ac0481a,https://www.cartografia.servizirl.it/arcgis1/services/protciv/interferometria_radar/MapServer/WMSServer?
r_piemon:90053e4a-6752-4839-b15d-428c716ac507,https://geomap.reteunitaria.piemonte.it/ws/geocomm/rp-01/geocommwms/wms_rete_distributiva?service=WMS&version=1.3&request=getCapabilities
r_piemon:798a596e-b5e6-49ce-a1fb-ac2c5fb9c360,https://sentinel.territorio.csi.it/ms/wms_delta_NBR?service=WMS&version=1.3&request=getCapabilities
r_piemon:903f1ad3-6821-4d87-b500-0c8028fd303b,https://geomap.reteunitaria.piemonte.it/ws/taims/rp-01/taimsbasewms/wms_sfondo_cart_rif_bn?service=WMS&version=1.1.1&request=getCapabilities
r_lombar:dfa2fc67-9f1d-4435-85b0-a6aafc9f8c1d,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola11b/MapServer/WMSServer?
r_puglia:aca921bc-278a-4b09-b723-6629a2ca05d3,http://webapps.sit.puglia.it/arcgis/services/Operationals/AreaVastaSudSalento/MapServer/WMSServer
r_puglia:9e81c5fe-e9ca-4bf2-aff8-25fc50f4fcda,http://webapps.sit.puglia.it/arcgis/services/BaseMaps/Ortofoto2011/ImageServer/WMSServer
r_lombar:f6a0caca-5af2-4f30-b025-715a39146ea4,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola8/MapServer/WMSServer?
r_lombar:f990bd86-5863-4c0a-b494-bb1764b26f77,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola7/MapServer/WMSServer?
r_puglia:9845c1ad-880f-4a47-94ba-a9ae893c880f,http://webapps.sit.puglia.it/arcgis/services/Operationals/PUTTp/MapServer/WMSServer
r_puglia:9845c1ad-880f-4a47-94ba-a9ae893c880f,http://webapps.sit.puglia.it/arcgis/services/BaseMaps/PuttAte/ImageServer/WMSServer
r_lombar:f05ccafc-16a0-4a00-b455-b0c290e99c6d,https://www.cartografia.servizirl.it/arcgish/services/cgr/cgr_pubblico/MapServer/WMSServer?
