uuid,data
ea192681-d039-42ec-b1bc-f3ce04c189ac,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/wms?@LAYER:kv_n50_kartdata
ea192681-d039-42ec-b1bc-f3ce04c189ac,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/skwms/wms.geonorge_dekningskart?@LAYER:kv_n50_kartdata
c3da3591-cded-4584-a4b1-bc61b7d1f4f2,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/wms?@LAYER:jbv_banenettverk
c3da3591-cded-4584-a4b1-bc61b7d1f4f2,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/wms_dekningskart?@LAYER:jbv_banenettverk
c7ee3b10-9383-49ef-a46c-087ddb1735bb,TYPE:WMS@PATH:https://geo.ngu.no/mapserver/MarinBunnsedimenterWMS?@LAYER:Sedimentdannelse_Reg
c6738716-1954-4f88-aa5f-1be7eef36b25,TYPE:WMS@PATH:https://geo.ngu.no/mapserver/MarinBunnsedimenterWMS/?request=getcapabilities&service=wms&version=1.3.0@LAYER:Kornstorrelse_Reg
a29b905c-6aaa-4283-ae2c-d167624c08a8,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/wms?@LAYER:nve_kvikkleire
a29b905c-6aaa-4283-ae2c-d167624c08a8,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/skwms/wms.geonorge_dekningskart?@LAYER:nve_kvikkleire
5857ec0a-8d2c-4cd8-baa2-0dc54ae213b4,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/wms?@LAYER:md_naturvernomr
5857ec0a-8d2c-4cd8-baa2-0dc54ae213b4,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/skwms/wms.geonorge_dekningskart?@LAYER:md_naturvernomr
22485273-dc0c-4484-a8be-357105d65689,TYPE:GEONORGE-WMS@PATH:https://wms.geonorge.no/wms?@LAYER:avinor_lufthavnpunkt
