UUID,URL Status,Identified Protocol,URL,Final URL,Final URL Response Status Code,HTTP Exception
fileidentifier,indicator_linkresolves,protocol,rawurl,finalurl,linkhttpstatuscode,linkhttpexception
{077EBB13-7FDD-420E-B2E7-06FCDF203F53},PASS,wms,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/NZ_NaturalRiskZones/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/NZ_NaturalRiskZones/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
{077EBB13-7FDD-420E-B2E7-06FCDF203F53},PASS,wfs,https://weba.dls.moi.gov.cy/arcgis/rest/directories/arcgisforinspire/INSPIRE/NZ_NaturalRiskZones_MapServer/serviceatoma1.xml?service=wfs,https://weba.dls.moi.gov.cy/arcgis/rest/directories/arcgisforinspire/INSPIRE/NZ_NaturalRiskZones_MapServer/serviceatoma1.xml?request=GetCapabilities&service=wfs,200,
{089CE7EA-B977-44D9-B24C-83187A6E3654},PASS,wms,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/EL_Elevation/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/EL_Elevation/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
{089CE7EA-B977-44D9-B24C-83187A6E3654},PASS,wfs,https://weba.dls.moi.gov.cy/arcgis/rest/directories/arcgisforinspire/INSPIRE/EL_Elevation_MapServer/serviceatoma1.xml?service=wfs,https://weba.dls.moi.gov.cy/arcgis/rest/directories/arcgisforinspire/INSPIRE/EL_Elevation_MapServer/serviceatoma1.xml?request=GetCapabilities&service=wfs,200,
{0E1034CF-5253-4D33-9109-D8D0D85CF7D1},PASS,wfs,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/TN_TransportNetwork/MapServer/exts/InspireFeatureDownload/service?VERSION=2.0.0&SERVICE=WFS&REQUEST=GetCapabilities,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/TN_TransportNetwork/MapServer/exts/InspireFeatureDownload/service?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,200,
{0E1034CF-5253-4D33-9109-D8D0D85CF7D1},PASS,wms,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/TN_TransportNetwork/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/TN_TransportNetwork/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
{0EBA4190-3E06-4778-B3B1-AD80879177CC},PASS,wfs,https://weba.dls.moi.gov.cy/arcgis/rest/directories/arcgisforinspire/INSPIRE/SU_StatisticalUnits_MapServer/serviceatoma1.xml?service=wfs,https://weba.dls.moi.gov.cy/arcgis/rest/directories/arcgisforinspire/INSPIRE/SU_StatisticalUnits_MapServer/serviceatoma1.xml?request=GetCapabilities&service=wfs,200,
{0EBA4190-3E06-4778-B3B1-AD80879177CC},PASS,wms,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/SU_StatisticalUnits/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/SU_StatisticalUnits/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
{14750C66-3671-4AD5-A4AD-823FDD0A7857},PASS,wfs,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/AD_Addresses/MapServer/exts/InspireFeatureDownload/service?VERSION=2.0.0&SERVICE=WFS&REQUEST=GetCapabilities,https://weba.dls.moi.gov.cy/arcgis/rest/services/INSPIRE/AD_Addresses/MapServer/exts/InspireFeatureDownload/service?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,200,
