UUID,URL Status,Identified Protocol,URL,Final URL,Final URL Response Status Code,HTTP Exception
fileidentifier,indicator_linkresolves,protocol,rawurl,finalurl,linkhttpstatuscode,linkhttpexception
{02BF7275-083C-4B87-911F-7081D2998CCC},PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_dhlgh/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_dhlgh/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
{02BF7275-083C-4B87-911F-7081D2998CCC},PASS,ATOM Syndication Format,https://dhlgh-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomDHLGH_INSPIRE_Ireland.xml,https://dhlgh-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomDHLGH_INSPIRE_Ireland.xml,200,
06c38827-18db-4c77-a4e0-84eaf34b1d0d,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
06c38827-18db-4c77-a4e0-84eaf34b1d0d,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
09d5786e-059a-4318-96b5-2dbece55e480,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
09d5786e-059a-4318-96b5-2dbece55e480,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
107084b3-5907-4149-9dab-c956a0cb8998,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
107084b3-5907-4149-9dab-c956a0cb8998,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
1d270436-ecc0-4389-9a43-465ace5298a0,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
1d270436-ecc0-4389-9a43-465ace5298a0,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
20fd022a-7988-4227-aa9a-6514ba92ce39,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
20fd022a-7988-4227-aa9a-6514ba92ce39,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
21016dfa-a8d2-4613-9bb7-1e5432bf1967,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
21016dfa-a8d2-4613-9bb7-1e5432bf1967,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
{230A3121-F6A7-4210-AE7C-7FCD75F6EA8A},PASS,wms,https://inspireservices.geohive.ie/arcgis/rest/services/INSPIRE/GeographicalNames/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,https://inspireservices.geohive.ie/arcgis/rest/services/INSPIRE/GeographicalNames/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,200,
{230A3121-F6A7-4210-AE7C-7FCD75F6EA8A},PASS,atom,https://osi-inspire-atom.s3-eu-west-1.amazonaws.com/GeographicalNames/GeographicalNames_ServiceATOM.xml,https://osi-inspire-atom.s3-eu-west-1.amazonaws.com/GeographicalNames/GeographicalNames_ServiceATOM.xml,200,
24796816-a30e-458d-818e-9c216edccdfb,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_epa/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
24796816-a30e-458d-818e-9c216edccdfb,PASS,ATOM Syndication Format,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,https://epa-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomEPA_INSPIRE_Ireland.xml,200,
{284B386D-3A86-4DD1-869A-A685BDE54460},PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://www.inspire.housing.gov.ie/geoserver/inspire_dhlgh/wms?service=wms&version=1.3.0&request=GetCapabilities,https://www.inspire.housing.gov.ie/geoserver/inspire_dhlgh/wms?request=GetCapabilities&service=wms&version=1.3.0,200,
{284B386D-3A86-4DD1-869A-A685BDE54460},PASS,ATOM Syndication Format,https://dhlgh-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomDHLGH_INSPIRE_Ireland.xml,https://dhlgh-inspire-atom.s3-eu-west-1.amazonaws.com/files/atomDHLGH_INSPIRE_Ireland.xml,200,
{30FAA46D-028B-45C2-B79A-18D1C5754C08},PASS,wms,https://inspireservices.geohive.ie/arcgis/rest/services/INSPIRE/AdministrativeUnits/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,https://inspireservices.geohive.ie/arcgis/rest/services/INSPIRE/AdministrativeUnits/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,200,
{30FAA46D-028B-45C2-B79A-18D1C5754C08},PASS,atom,https://osi-inspire-atom.s3-eu-west-1.amazonaws.com/AdministrativeUnits/AdministrativeUnits_ServiceATOM.xml,https://osi-inspire-atom.s3-eu-west-1.amazonaws.com/AdministrativeUnits/AdministrativeUnits_ServiceATOM.xml,200,
{371C101B-E266-4F4B-B007-C52FA3455F1F},FAIL,wms,https://inspireservices.geohive.ie/data/rest/services/INSPIRE/Buildings/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,https://inspireservices.geohive.ie/data/rest/services/INSPIRE/Buildings/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,401,
{38C87F49-78F9-48D1-A599-369E42F19FBE},PASS,ATOM Syndication Format,https://osi-inspire-atom.s3-eu-west-1.amazonaws.com/StatisticalUnits/StatisticalUnits_ServiceATOM.xml,https://osi-inspire-atom.s3-eu-west-1.amazonaws.com/StatisticalUnits/StatisticalUnits_ServiceATOM.xml,200,
{3C0676A1-8BAC-4B14-BBF7-41147385F4E7},PASS,wms,https://inspireservices.geohive.ie/arcgis/rest/services/INSPIRE/CadastralParcels/MapServer/exts/InspireView/service?SERVICE=WMS&REQUEST=Getcapabilities,https://inspireservices.geohive.ie/arcgis/rest/services/INSPIRE/CadastralParcels/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,200,
