UUID,URL Status,Identified Protocol,URL,Final URL,Final URL Response Status Code,HTTP Exception
fileidentifier,indicator_linkresolves,protocol,rawurl,finalurl,linkhttpstatuscode,linkhttpexception
age:D_0000_ITALIA,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://wms.cartografia.agenziaentrate.gov.it/inspire/wms/ows01.php?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,https://wms.cartografia.agenziaentrate.gov.it/inspire/wms/ows01.php?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
age:S_0000_ITALIA,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://wms.cartografia.agenziaentrate.gov.it/inspire/wms/ows01.php?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,https://wms.cartografia.agenziaentrate.gov.it/inspire/wms/ows01.php?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
arlpa_to:01.01.04-D_2011-06-14-16:09,PASS,http://www.opengis.net/def/serviceType/ogc/wfs,https://webgis.arpa.piemonte.it/server/services/acqua/Reticolo_idrografico_WFD_2000_60_CE/MapServer/WFSServer?request=GetCapabilities&service=WFS,https://webgis.arpa.piemonte.it/server/services/acqua/Reticolo_idrografico_WFD_2000_60_CE/MapServer/WFSServer?request=GetCapabilities&service=WFS,200,
arlpa_to:01.01.04-D_2011-06-14-16:09,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/acqua/Reticolo_idrografico_WFD_2000_60_CE/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/acqua/Reticolo_idrografico_WFD_2000_60_CE/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:01.01.06-D_2016-06-23-14:42,FAIL,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/ags/services/acqua/fonti_acque_minerali_sorgenti_termali/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/ags/services/acqua/fonti_acque_minerali_sorgenti_termali/MapServer/WMSServer?request=GetCapabilities&service=WMS,500,
arlpa_to:01.02.12-D_2011-06-21-16:23,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/acqua/balneazione/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/acqua/balneazione/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:01.02.12-D_2011-06-21-16:23,PASS,http://www.opengis.net/def/serviceType/ogc/wfs,https://webgis.arpa.piemonte.it/server/services/acqua/balneazione/MapServer/WFSServer?request=GetCapabilities&service=WFS,https://webgis.arpa.piemonte.it/server/services/acqua/balneazione/MapServer/WFSServer?request=GetCapabilities&service=WFS,200,
arlpa_to:01-02-16-D_2015-10-15-10:30,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/acqua/Rete_Piezometrica_Metropolitana_Torino/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/acqua/Rete_Piezometrica_Metropolitana_Torino/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:01-02-16-D_2015-10-15-10:30,PASS,http://www.opengis.net/def/serviceType/ogc/wfs,https://webgis.arpa.piemonte.it/server/services/acqua/Rete_Piezometrica_Metropolitana_Torino/MapServer/WFSServer?request=GetCapabilities&service=WFS,https://webgis.arpa.piemonte.it/server/services/acqua/Rete_Piezometrica_Metropolitana_Torino/MapServer/WFSServer?request=GetCapabilities&service=WFS,200,
arlpa_to:01.02.17-D_2016-05-09-16:16,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/acqua/monitoraggio_acque_superficiali/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/acqua/monitoraggio_acque_superficiali/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:01.02.17-D_2016-05-09-17:07,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/acqua/monitoraggio_acque_sotterranee/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/acqua/monitoraggio_acque_sotterranee/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:01.02.18-D_2019-12-19-14:28,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/acqua/monitoraggio_acque_misure/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/acqua/monitoraggio_acque_misure/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:01-05-01-D_2019-02-15_14:45,FAIL,http://www.opengis.net/def/serviceType/ogc/wfs,https://webgis.arpa.piemonte.it/ags/services/acqua/GEmMA/MapServer/WFSServer?request=GetCapabilities&service=WFS,https://webgis.arpa.piemonte.it/ags/services/acqua/GEmMA/MapServer/WFSServer?request=GetCapabilities&service=WFS,500,
arlpa_to:01-05-01-D_2019-02-15_14:45,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/ags/services/acqua/GEmMA/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/ags/services/acqua/GEmMA/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:04.01.01-D_2015-07-13-14:03,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/aria/q_a_piemonte/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/aria/q_a_piemonte/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:04.01.01-D_2015-07-13-14:03,PASS,http://www.opengis.net/def/serviceType/ogc/wfs,https://webgis.arpa.piemonte.it/server/services/aria/q_a_piemonte/MapServer/WFSServer?request=GetCapabilities&service=WFS,https://webgis.arpa.piemonte.it/server/services/aria/q_a_piemonte/MapServer/WFSServer?request=GetCapabilities&service=WFS,200,
arlpa_to:04.01.03-D_2014-09-19-14:45,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/server/services/aria/Sistema_rilevamento_regionale_qualita_aria/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/server/services/aria/Sistema_rilevamento_regionale_qualita_aria/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
arlpa_to:04.01.07-D_2018-05-30-19:40,PASS,http://www.opengis.net/def/serviceType/ogc/wms,https://webgis.arpa.piemonte.it/ags/services/aria/Protocollo_aria_fase2/MapServer/WMSServer?request=GetCapabilities&service=WMS,https://webgis.arpa.piemonte.it/ags/services/aria/Protocollo_aria_fase2/MapServer/WMSServer?request=GetCapabilities&service=WMS,200,
