UUID,URL Status,Identified Protocol,URL,Final URL,Final URL Response Status Code,HTTP Exception
fileidentifier,indicator_linkresolves,protocol,rawurl,finalurl,linkhttpstatuscode,linkhttpexception
00b35d13-111e-45c7-bc65-556b61d17c7e,PASS,OGC Web Map Service,https://wms.inspire.geoportail.lu/geoserver/mf/wms?service=WMS&version=1.3.0&request=GetCapabilities,https://wms.inspire.geoportail.lu/geoserver/mf/wms?request=GetCapabilities&service=WMS&version=1.3.0,200,
00b35d13-111e-45c7-bc65-556b61d17c7e,PASS,wms,https://wms.inspire.geoportail.lu/geoserver/ogc/features/v1/openapi?f=text%2Fhtml,https://wms.inspire.geoportail.lu/geoserver/ogc/features/v1/openapi?f=text/html&request=GetCapabilities,200,
00b35d13-111e-45c7-bc65-556b61d17c7e,PASS,ATOM Syndication Format,https://catalog.inspire.geoportail.lu/geonetwork/srv/atom/describe/service?uuid=5f39ff1d-0298-4e8e-bcf1-c26165de018b,https://catalog.inspire.geoportail.lu/geonetwork/srv/atom/describe/service?uuid=5f39ff1d-0298-4e8e-bcf1-c26165de018b,200,
00b35d13-111e-45c7-bc65-556b61d17c7e,PASS,wms,https://wms.inspire.geoportail.lu/geoserver/mf/ogc/features/v1/collections/MF.SpatialSamplingFeature_ASTA?f=text%2Fhtml,https://wms.inspire.geoportail.lu/geoserver/mf/ogc/features/v1/collections/MF.SpatialSamplingFeature_ASTA?f=text/html&request=GetCapabilities,200,
00b35d13-111e-45c7-bc65-556b61d17c7e,PASS,wms,https://wms.inspire.geoportail.lu/geoserver/ogc/features/v1/openapi?f=json,https://wms.inspire.geoportail.lu/geoserver/ogc/features/v1/openapi?f=json&request=GetCapabilities,200,
01305752-cc73-4f0a-a981-beaa42ba96c1,PASS,ATOM Syndication Format,https://catalog.inspire.geoportail.lu/geonetwork/srv/atom/describe/service?uuid=a1987351-bbf2-4d78-9d3c-31fa1f2ffa11,https://catalog.inspire.geoportail.lu/geonetwork/srv/atom/describe/service?uuid=a1987351-bbf2-4d78-9d3c-31fa1f2ffa11,200,
01305752-cc73-4f0a-a981-beaa42ba96c1,PASS,wms,https://wms.inspire.geoportail.lu/geoserver/hy/wms?SERVICE=WMS&service=WMS&version=1.3.0&request=GetCapabilities,https://wms.inspire.geoportail.lu/geoserver/hy/wms?SERVICE=WMS&request=GetCapabilities&service=WMS&version=1.3.0,200,
0173f963-11aa-458a-a913-10e97326e48e,PASS,wms,https://wms.inspire.geoportail.lu/geoserver/am/wms?SERVICE=WMS&service=WMS&version=1.3.0&request=GetCapabilities,https://wms.inspire.geoportail.lu/geoserver/am/wms?SERVICE=WMS&request=GetCapabilities&service=WMS&version=1.3.0,200,
0173f963-11aa-458a-a913-10e97326e48e,PASS,ATOM Syndication Format,https://catalog.inspire.geoportail.lu/geonetwork/srv/atom/describe/service?uuid=9e6557c7-b797-46c0-93fe-915a85913ac4,https://catalog.inspire.geoportail.lu/geonetwork/srv/atom/describe/service?uuid=9e6557c7-b797-46c0-93fe-915a85913ac4,200,
