UUID,URL Status,Identified Protocol,URL,Final URL,Final URL Response Status Code,HTTP Exception
fileidentifier,indicator_linkresolves,protocol,rawurl,finalurl,linkhttpstatuscode,linkhttpexception
1603266462118r5529200772640291,FAIL,wms,https://gis.apia.org.ro/server/rest/services/INSPIRE/AF_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=GetCapabilities,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - connect timed out
1603266462118r5529200772640291,FAIL,atom,https://gis.apia.org.ro/server/rest/directories/arcgisforinspire/INSPIRE/AF_Download_MapServer/Main_ATOM_AF.xml,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - connect timed out
1603273567504r832912130215991,FAIL,atom,https://gis.apia.org.ro/server/rest/directories/arcgisforinspire/INSPIRE/OI_Download_MapServer/Main_ATOM_OI.xml,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - connect timed out
1603273567504r832912130215991,FAIL,wms,https://gis.apia.org.ro/server/rest/services/INSPIRE/OI_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=GetCapabilities,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - connect timed out
1686205543361r5190780700490629,PASS,wms,https://inspire.mmap.ro/server/rest/services/INSPIRE/PS_view/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/PS_view/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
1686205543361r5190780700490629,PASS,atom,https://inspire.mmap.ro/server/rest/directories/arcgisforinspire/INSPIRE/PS_download_MapServer/Main_ATOM_ps.xml,https://inspire.mmap.ro/server/rest/directories/arcgisforinspire/INSPIRE/PS_download_MapServer/Main_ATOM_ps.xml,200,
1686209893927r10050934302934,PASS,wfs,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distribution_download/MapServer/exts/InspireFeatureDownload/service?VERSION=2.0.0&SERVICE=WFS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distribution_download/MapServer/exts/InspireFeatureDownload/service?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,200,
1686209893927r10050934302934,PASS,wms,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distribution_view/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distribution_view/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
1686211248844r3066339459820855,PASS,wfs,https://inspire.mmap.ro/server/rest/services/INSPIRE/BR_download/MapServer/exts/InspireFeatureDownload/service?VERSION=2.0.0&SERVICE=WFS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/BR_download/MapServer/exts/InspireFeatureDownload/service?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,200,
1686211248844r3066339459820855,PASS,wms,https://inspire.mmap.ro/server/rest/services/INSPIRE/BR_view/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/BR_view/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
1713260872749r6184148841172581,FAIL,wms,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distributionSensitive_view/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distributionSensitive_view/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,401,
1713260872749r6184148841172581,FAIL,wfs,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distributionSensitive_download/MapServer/exts/InspireFeatureDownload/service?VERSION=2.0.0&SERVICE=WFS&REQUEST=getCapabilities,https://inspire.mmap.ro/server/rest/services/INSPIRE/SD_art12_distributionSensitive_download/MapServer/exts/InspireFeatureDownload/service?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0,401,
1715859862546r11284672458815148,PASS,wms,http://geoportal.ancpi.ro/inspireview/rest/services/GG/GG_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,http://geoportal.ancpi.ro/inspireview/rest/services/GG/GG_View/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
1715861663437r13292313297014302,PASS,wms,http://geoportal.ancpi.ro/inspireview/rest/services/RS/RS_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,http://geoportal.ancpi.ro/inspireview/rest/services/RS/RS_View/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
{17918830-9442-4EF1-BDE3-EDDC9C757DF6},PASS,wms,https://gis.cestrin.ro/inspire/rest/services/TN_Roads/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=GetCapabilities%0D%0A&FORMAT=&EXCEPTIONS=&LANGUAGE=&LAYERS=&STYLES=&CRS=&BBOX=&WIDTH=&HEIGHT=&TRANSPARENT=&BGCOLOR=&TIME=&ELEVATION=&f=image,https://gis.cestrin.ro/inspire/rest/services/TN_Roads/MapServer/exts/InspireView/service?BBOX=&BGCOLOR=&CRS=&ELEVATION=&EXCEPTIONS=&FORMAT=&HEIGHT=&LANGUAGE=&LAYERS=&REQUEST=GetCapabilities&SERVICE=WMS&STYLES=&TIME=&TRANSPARENT=&VERSION=1.3.0&WIDTH=&f=image,200,
