uuid,data
a8b1c110-34df-486d-83cb-587f196a7223,https://geoportal.mzcr.cz/server/services/VerejneAplikace/KoupaciVody/MapServer/WFSServer?request=GetCapabilities&service=WFS
58c019da-b14c-4325-937e-0149c0a80138,https://geoportal.gov.cz/php/micka/record/atom/657188b0-4144-4399-85e5-3797c7c0a8017c
60fa901e-05b8-484b-a5b7-60af0a02080d,http://gis.nature.cz/inspire/atomst/atom.xml
61b1e765-f6d0-4a4f-b0b3-31dac0a8017c,https://geoportal.kr-karlovarsky.cz/arcgis/services/UAP/ZUR_DataVyuzitiUzemi2018/MapServer/WFSServer?request=GetCapabilities&service=WFS
55672b7d-6e34-4fba-9777-7a590a010852,https://m4eu.geology.cz/m4eu/services/m4eu?service=WFS&request=GetCapabilities
{775E6600-B6DB-416C-B7C7-186C1B582865},https://gis.kraj-jihocesky.gov.cz/gis/services/VyuzitiUzemiZUR/MapServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities
585b8837-13a8-4c38-a1ee-4243c0a80137,https://gis.cenia.cz/geoserver/urady_verejne_spravy/wfs?SERVICE=WFS&request=GETCapabilities
58492ee3-35dc-4c57-9ffa-5265c0a80138,https://mapy2.jmk.cz/ogc/wfs/jmk_inspire_wfs?service=WFS&request=GetCapabilities
CZ-VUV-MD-UWWTD_VYP,https://ags.vuv.cz/arcgis/services/inspire/UWWTD_DischargePoint/MapServer/WFSServer?request=GetCapabilities&service=WFS
CZ-VUV-MD-UWWTD_VYP,https://heis.vuv.cz/xmicka/record/atom/CZ-VUV-MD-ATOM-Inspire-UWWTD_DischargePoints
CZ-VUV-MD-UWWTD_VYP,https://www.dibavod.cz/data/download/atom/inspire_priority_ds/uwwtd_dischargepoint.zip
CZ-CUZK-GN-V,https://geoportal.cuzk.cz/wfs_inspire_gn/WFService.aspx?service=WFS&request=getcapabilities
CZ-CUZK-GN-V,https://geoportal.cuzk.cz/Default.aspx?mode=TextMeta&side=wfs.INSPIRE&metadataID=CZ-CUZK-WFS-GN&metadataXSL=metadata.sluzba&head_tab=sekce-03-gp&menu=3343
CZ-CUZK-GN-V,https://atom.cuzk.cz/GN/GN.xml
CZ-CUZK-GN-V,https://ags.cuzk.cz/geoprohlizec/?atom=gn
58511e32-f73c-432e-a69b-4a0dc0a80138,https://geoportal.gov.cz/php/micka/record/atom/5851230d-6510-4c50-80ff-4b38c0a80138
58511e32-f73c-432e-a69b-4a0dc0a80138,https://maparcgis.kraj-lbc.cz/App/OUPSR/INSP_ATOM/ZUR_INSPIRE_EPSG5514.ZIP
58511e32-f73c-432e-a69b-4a0dc0a80138,https://maparcgis.kraj-lbc.cz/App/OUPSR/INSP_ATOM/ZUR_INSPIRE_EPSG3035.ZIP
5a01c35f-5a40-43d1-80c3-2fe00a02080a,https://gis.nature.cz/inspire/atom/atom.xml
61b0c41d-a074-4665-a894-28f3c0a8017c,https://ags.kr-ustecky.cz/arcgis/services/UAP/ZUR_INSPIRE/MapServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities
61b0c41d-a074-4665-a894-28f3c0a8017c,https://geoportal.gov.cz/php/micka/record/atom/61a86b3f-eaf4-476d-9000-084fc0a8017c
61b1f499-c8e4-40c8-920a-3b26c0a8017c,https://geoportal.gov.cz/php/micka/record/atom/61b9fe42-e83c-4fc3-a520-485cc0a8017c
61b1f499-c8e4-40c8-920a-3b26c0a8017c,https://mapy.pardubickykraj.cz/data/atom/inspire/lu/inspire_lu_5514.zip
61b1f499-c8e4-40c8-920a-3b26c0a8017c,https://mapy.pardubickykraj.cz/data/atom/inspire/lu/inspire_lu_gml_5514.zip
61b1f499-c8e4-40c8-920a-3b26c0a8017c,https://mapy.pardubickykraj.cz/data/atom/inspire/lu/inspire_lu_4258.zip
61b1f499-c8e4-40c8-920a-3b26c0a8017c,https://mapy.pardubickykraj.cz/data/atom/inspire/lu/inspire_lu_4258.zip
