uuid,data
ES_SDGC_AD,https://ovc.catastro.meh.es/INSPIRE/wfsAD.aspx?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0
ES_SDGC_AD,https://www.catastro.minhap.es/INSPIRE/Addresses/ES.SDGC.AD.atom.xml
inspire-installacions-observacio-mediambient,https://geoserveis.ide.cat/servei/catalunya/inspire-installacions-observacio-mediambient/atom/inspire-installacions-observacio-mediambient.atom.xml
spamfomplaneamientourbanistico2015,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC_SIU/MapServer/WFSServer?request=GetCapabilities&service=WFS
inspire-pla-espais-interes-natural,https://geoserveis.ide.cat/servei/catalunya/inspire-pla-espais-interes-natural/atom/inspire-pla-espais-interes-natural.atom.xml
inspire-natura-2000,https://geoserveis.ide.cat/servei/catalunya/inspire-natura-2000/atom/inspire-natura-2000.atom.xml
inspire-espais-naturals-proteccio-especial,https://geoserveis.ide.cat/servei/catalunya/inspire-espais-naturals-proteccio-especial/atom/inspire-espais-naturals-proteccio-especial.atom.xml
inspire-elevacions,https://geoserveis.ide.cat/servei/catalunya/inspire-elevacions/atom/inspire-elevacions.atom.xml
BU_building_dataset,https://geo.araba.eus/WFS_INSPIRE_BU?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
BU_building_dataset,https://geo.araba.eus/WFS_EXT2D_INSPIRE_BU?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
inspire-coberta-terrestre,https://geoserveis.ide.cat/servei/catalunya/inspire-coberta-terrestre/atom/inspire-coberta-terrestre.atom.xml
900df0de-be87-11e0-8e37-00261812f484_NGA,http://idearagon.aragon.es/toponimiaWFS?service=WFS&request=GetCapabilities
900df0de-be87-11e0-8e37-00261812f484_NGA,http://idearagon.aragon.es/inspireIdearagon/services/wfsGN?service=WFS&request=GetCapabilities
CP_cadastralparcel_dataset,https://geo.araba.eus/WFS_INSPIRE_CP?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
086DEA60-3BF1-4DC6-8ACA-8D54BD20FACE_1200011_es,https://www.ideandalucia.es/wfs-nga-inspire/services?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
{309e871c-e108-426d-ab0f-f8aa46117574}_200001_es,https://www.juntadeandalucia.es/institutodeestadisticaycartografia/geoserver-ieca/grid/wfs?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
inspire-unitats-administratives,https://geoserveis.ide.cat/servei/catalunya/inspire-unitats-administratives/atom/inspire-unitats-administratives.atom.xml
25818080-5500-4fff-848e-03c638e351c7,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml
25818080-5500-4fff-848e-03c638e351c7,https://www.mapama.gob.es/ide/inspire/atom/CategAgua/downloadservice.xml
inspire-zones-riscos-naturals-allaus,https://geoserveis.ide.cat/servei/catalunya/inspire-zones-riscos-naturals/atom/inspire-zones-riscos-naturals.atom.xml
engSITNAINSPIRE_ES_SITNA_AD,https://inspire.navarra.es/services/AD/wfs?service=WFS&request=getcapabilities
inspire-sol,https://geoserveis.ide.cat/servei/catalunya/inspire-sol/atom/inspire-sol.atom.xml
engSITNAINSPIRE_ES_RRTN_BU,https://inspire.navarra.es/services/BU/wfs?service=WFS&request=getcapabilities
md_ideeu_mdt_lidar_2017_es,https://www.geo.euskadi.eus/WCS_KARTOGRAFIA?request=getcapabilities&service=wcs
spaihmLC,http://ideihm.covam.es/ihm-inspire/wfs-hidrografia-p?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
spaihmLC,http://ideihm.covam.es/ihm-inspire/wfs-regionesmarinas?REQUEST=GetCapabilities&SERVICE=WFS&VERSION=2.0.0
887ca76a-0adc-45f9-bbc6-89905e092f26,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml
887ca76a-0adc-45f9-bbc6-89905e092f26,https://www.mapama.gob.es/ide/inspire/atom/CategCostas/downloadservice.xml
inspire-edificis,https://geoserveis.ide.cat/servei/catalunya/inspire-edificis/atom/inspire-edificis.atom.xml
8a82bf1c-238f-4184-b37c-955e68ecc23d,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml
8a82bf1c-238f-4184-b37c-955e68ecc23d,https://www.mapama.gob.es/ide/inspire/atom/CategAgua/downloadservice.xml
ES.GFA.AU.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_au?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0
ES.GFA.CP.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_cp?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0
7cd6405b-9586-45be-9f5a-78bf0919a250,https://www.mapama.gob.es/ide/inspire/atom/downloadservice.xml
7cd6405b-9586-45be-9f5a-78bf0919a250,https://www.mapama.gob.es/ide/inspire/atom/CategCalidadEvalAmbiental/downloadservice.xml
ES.GFA.BU.MD,https://b5m.gipuzkoa.eus/inspire/wfs/gipuzkoa_wfs_bu?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0>
