uuid,url,url_status
ispra_rm:07Idro250N_DT,http://sdi.isprambiente.it/geoserver/hy/autorita_bacino/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
r_liguri:D.1577,https://geoservizi.regione.liguria.it/geoserver/M1577/wfs?version=2.0.0&request=getcapabilities,1
ispra_rm:QualitPesticidiSott2017_DT,https://sdi.isprambiente.it/geoserver/pf1/sqa_gw_2017/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
ispra_rm:Meta_NNB_Habitat18DT,http://geoviewer.nnb.isprambiente.it/geoserver/nnb/art17_habitats_distribution/wfs?service=wfs&version=2.0.0&request=GetCapabilities,0
c_g913:D.1891,https://geoservizi.regione.liguria.it/geoserver/M1891/wfs?version=2.0.0&request=getcapabilities,1
r_liguri:D.624,https://geoservizi.regione.liguria.it/geoserver/M624/wfs?version=2.0.0&request=getcapabilities,1
ispra_rm:MonitorPesticidiSott2011_DT,http://sdi.isprambiente.it/geoserver/ef1/anagrafica_stazioni_GW_anno_2011/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
r_basili:-3292a709:150aa3287e9:-35e0,http://rsdi.regione.basilicata.it/webGis/shape-zip/muro_sostegno.zip,1
r_basili:7ccb5ec5:15f2438228e:-7ab4,http://rsdi.regione.basilicata.it/rbgeoserver2016/b_paes_136/wfs?request=GetCapabilities&service=WFS&version=2.0.0,1
ispra_rm:QualitPesticidiSott2014_DT,https://sdi.isprambiente.it/geoserver/pf1/sqa_gw_2014/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
ispra_rm:QualitPesticidiSott2011_DT,https://sdi.isprambiente.it/geoserver/pf1/sqa_gw_2011/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
r_basili:-3292a709:150aa3287e9:-1d8e,http://rsdi.regione.basilicata.it/rbgeoserver2016/dbgt_0205/op_reg_op_reg_sup/wfs?request=GetCapabilities&service=WFS&version=2.0.0,1
ispra_rm:MonitorPesticidiSott2012_DT,http://sdi.isprambiente.it/geoserver/ef1/anagrafica_stazioni_GW_anno_2012/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
r_basili:4b738ab6:132bb8e2369:-7078,http://rsdi.regione.basilicata.it/rbgeoserver2016/alt_500_600/alt_500_a_600/wfs?request=getCapabilities&service=WFS&version=2.0.0,1
ispra_rm:MonitorPesticidiSott2009_DT,http://sdi.isprambiente.it/geoserver/ef1/anagrafica_stazioni_GW_anno_2009/wfs?service=wfs&version=2.0.0&request=GetCapabilities,1
c_a922:D.1885,https://geoservizi.regione.liguria.it/geoserver/M1885/wfs?version=2.0.0&request=getcapabilities,1
r_lombar:f843d4bf-68a5-4db9-a72b-b75207408cfd,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola1/MapServer/WFSServer?,1
r_lombar:dfa2fc67-9f1d-4435-85b0-a6aafc9f8c1d,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola11b/MapServer/WFSServer?,1
r_lombar:f6a0caca-5af2-4f30-b025-715a39146ea4,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola8/MapServer/WFSServer?,1
r_lombar:f990bd86-5863-4c0a-b494-bb1764b26f77,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola7/MapServer/WFSServer?,1
r_lombar:f05ccafc-16a0-4a00-b455-b0c290e99c6d,https://www.cartografia.servizirl.it/arcgish/services/cgr/cgr_pubblico/MapServer/WFSServer?,1
r_lombar:9fa890e3-51c8-4b47-a907-e532f1a01c55,https://www.cartografia.servizirl.it/arcgis2/services/ambiente/ptua_tavola3/MapServer/WFSServer?,1
