input_file,total_uuids,success_count,failure_count
Download_BE-VLAANDEREN.csv,254,253,1
Download_DK.csv,129,110,19
Download_AT.csv,904,897,7
Download_SK.csv,132,119,13
Download_SE.csv,213,188,25
Download_MT.csv,150,122,28
Download_PL.csv,128,112,16
Download_BE-WALLONIE.csv,171,171,0
Download_CZ.csv,87,86,1
Download_LV.csv,15,15,0
Download_LT.csv,95,94,1
Download_SI.csv,6,5,1
Download_CY.csv,43,43,0
Download_FI.csv,240,213,27
Download_EL.csv,3,2,1
Download_BG.csv,117,47,70
Download_NL.csv,185,156,29
Download_LI.csv,0,0,0
Download_IE.csv,62,62,0
Download_PT.csv,392,203,189
Download_CH.csv,5,5,0
Download_BE-GEOBRU.csv,30,30,0
Download_IT.csv,2975,2783,192
Download_HR.csv,99,98,1
Download_LU.csv,11,1,10
Download_FR.csv,129,120,9
Download_BE-GEO.csv,81,76,5
Download_ES.csv,245,242,3
Download_IS.csv,68,58,10
Download_RO.csv,11,8,3
Download_EE.csv,70,69,1
Download_NO.csv,82,81,1
Download_HU.csv,61,60,1
