uuid,data
96e94573-281c-452b-b27a-f4428bac8147,http://geoportal.ypen.gr/geoserver/wfd-rivers-line-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
c10548a7-08ea-4c99-bceb-d14b382c6315,http://geoportal.ypen.gr/geoserver/fd-hhp-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
42b6dcb3-2ee7-44e2-84a9-70f14c8e9f7e,http://geoportal.ypen.gr/geoserver/fd-apsfr-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
c515f9aa-4e9d-4ec9-9b7e-07dfd37a0868,http://geoportal.ypen.gr/geoserver/protected-areas-poly-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
3c66ab4d-96df-4c64-9c0f-976dc9d0d00b,http://geoportal.ypen.gr/geoserver/birds-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
4c9c3c7d-67df-4629-bd85-2e6b5dfdad20,http://geoportal.ypen.gr/geoserver/uwwtd-rv-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
c54f5e43-a53a-4e11-ae70-b8289f516365,http://geoportal.ypen.gr/geoserver/wfd-coastal-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
bde0b0c5-4009-4c42-aa59-d6c0c8d88996,http://geoportal.ypen.gr/geoserver/fd-hlp-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
5a8e82cf-4a76-4849-8173-d280ada9be0a,http://geoportal.ypen.gr/geoserver/fd-pfrape-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
c140c8d2-3820-4847-bfdc-1d6668d66325,http://geoportal.ypen.gr/geoserver/natura-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
c9583cfc-c014-416f-934c-2ac9b8fa7ce6,http://geoportal.ypen.gr/geoserver/wfd-ground-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
b9131df0-fd55-4b39-8d9f-4991501a244c,http://geoportal.ypen.gr/geoserver/birds-range-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
GR.HellenicCadastre_FFAC7752-D8BB-43CE-B45D-B5F4F5A6C253,http://gis.ktimanet.gr/inspire/rest/services/cadastralparcels/CadastralParcelWMS/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0
a222523d-e79f-442b-80b9-337f3991322e,http://geoportal.ypen.gr/geoserver/uwwtd-cm-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
cfe7e3b5-1e03-462c-b84c-da8e7ede0182,http://geoportal.ypen.gr/geoserver/uwwtp-plants-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
ffac0dae-570d-4403-9762-47496b10082c,http://geoportal.ypen.gr/geoserver/acc-seveso-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
87c6506a-d541-49bb-bc8c-fea61390a470,http://geoportal.ypen.gr/geoserver/habitat-range-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
dcc41c40-c2da-4738-bd36-f5981a2a4cf3,http://geoportal.ypen.gr/geoserver/wfd-lakes-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
9a957e9c-1e52-4377-8abc-7491e0643ad8,http://geoportal.ypen.gr/geoserver/uwwtd-tr-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
7e1def5b-1715-4f69-bbdd-c745468fa6d,http://geoportal.ypen.gr/geoserver/uwwtd-cs-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
edae51e2-1f1c-4a6a-acfe-c15f5f756514,http://geoportal.ypen.gr/geoserver/fd-pfrafe-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
721931c7-76a8-4e90-b1b1-5c929d0f8b3b,http://geoportal.ypen.gr/geoserver/nid-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
92010231-2ecb-4a94-9a89-0f17295ae34f,http://geoportal.ypen.gr/geoserver/uwwtd-disch-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
615fefe5-7351-4bc7-8274-3028ba457205,http://geoportal.ypen.gr/geoserver/bath_areas_wms/ows?service=wms&version=1.3.0&request=GetCapabilities
eabd2e92-ff48-47a1-80a8-9ea83e86fcbf,http://geoportal.ypen.gr/geoserver/msfd-marine-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
7729c34f-c697-4d09-b4d2-d92cb0e71386,http://geoportal.ypen.gr/geoserver/emissions-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
0d593b90-e4c7-45d4-ab6f-f1a326aa2a2b,http://geoportal.ypen.gr/geoserver/habitat-distribution-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
2d47efab-f283-40e7-9794-c994dccb9be6,http://geoportal.ypen.gr/geoserver/uwwtd-agglo-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
01e32194-c95b-4165-bb8c-12ed830b12ff,http://geoportal.ypen.gr/geoserver/fd-rzmp-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
2770f9df-daf1-4065-bce7-cb9bf2d5a482,http://geoportal.ypen.gr/geoserver/fd-rzlp-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
3311a5df-0ce2-4936-8378-94dff1c4de79,http://geoportal.ypen.gr/geoserver/protected-areas-line-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
205cb4c2-dbd8-4f38-ad4a-7147fce04e2a,http://geoportal.ypen.gr/geoserver/nid-sw-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
205cb4c2-dbd8-4f38-ad4a-7147fce04e2a,http://geoportal.ypen.gr/geoserver/nid-gw-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
d9bd8d03-2fb9-4d48-90a6-0ac42175326e,http://geoportal.ypen.gr/geoserver/fd-rzhp-wms/ows?service=wms&version=1.3.0&request=GetCapabilities
