uuid,data
ES_SDGC_AD,https://ovc.catastro.meh.es/cartografia/INSPIRE/spadgcwms.aspx?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0
inspire-installacions-observacio-mediambient,https://geoserveis.ide.cat/servei/catalunya/inspire-installacions-observacio-mediambient/wms?service=wms&request=GetCapabilities
spamfomplaneamientourbanistico2015,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC_SIU/MapServer/WMSServer?REQUEST=GetCapabilities&SERVICE=WMS
spaJEXtmexClasesSuelos,http://www.ideextremadura.com/CICTEX/urbanismo?REQUEST=GetCapabilities&SERVICE=WMS
spaINE_SeccionesPadron,https://www.ine.es/geoserver/WMS_INE_SECCIONES_G01/wms?REQUEST=GetMap&SERVICE=WMS&VERSION=1.3.0
spaINE_SeccionesPadron,http://servicios.internet.ine.es/WMS/WMS_INE_SECCIONES_G01/MapServer/WMSServer?REQUEST=GetCapabilities&SERVICE=WMS
spaJEXtmexCategoriasSuelos,http://www.ideextremadura.com/CICTEX/urbanismo?REQUEST=GetCapabilities&SERVICE=WMS
inspire-pla-espais-interes-natural,https://geoserveis.ide.cat/servei/catalunya/inspire-pla-espais-interes-natural/wms?service=wms&request=GetCapabilities
fc21c1a5-4c02-4157-9d2f-9a2cd200f908,https://wms.mapama.gob.es/sig/Biodiversidad/SD_EIDOS/wms.aspx
fc21c1a5-4c02-4157-9d2f-9a2cd200f908,https://wms.mapama.gob.es/sig/Biodiversidad/SD_EIDOS/wms.aspx?request=getcapabilities&service=wms
inspire-natura-2000,https://geoserveis.ide.cat/servei/catalunya/inspire-natura-2000/wms?service=wms&request=GetCapabilities
spaJEXtmexCalificacionSuelos,http://www.ideextremadura.com/CICTEX/urbanismo?REQUEST=GetCapabilities&SERVICE=WMS
ESIEONATURALEZAFONDOMARINO201305030050,http://barreto.md.ieo.es/arcgis/services/visorBase/Naturaleza_del_Fondo_Marino/MapServer/WMSServer?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0
inspire-espais-naturals-proteccio-especial,https://geoserveis.ide.cat/servei/catalunya/inspire-espais-naturals-proteccio-especial/wms?service=wms&request=GetCapabilities
ESIEOISOBATAS201305030016,http://barreto.md.ieo.es/arcgis/services/visorBase/isobatas_maestras/MapServer/WMSServer?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0
inspire-elevacions,https://geoserveis.ide.cat/servei/catalunya/inspire-elevacions/wms?service=wms&request=GetCapabilities
BU_building_dataset,https://geo.araba.eus/WMS_INSPIRE_BU?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0
inspire-coberta-terrestre,https://geoserveis.ide.cat/servei/catalunya/inspire-coberta-terrestre/wms?service=wms&request=GetCapabilities
900df0de-be87-11e0-8e37-00261812f484_NGA,https://idearagon.aragon.es/inspireIdearagon/services/wmsGN?SERVICE=WMS&REQUEST=GetCapabilities&VERSION=1.3.0
da9ac8ef-38a6-4b8d-b8e2-a05463122f36,https://wms.mapama.gob.es/sig/Biodiversidad/Incendios/1996_2005/wms.aspx
da9ac8ef-38a6-4b8d-b8e2-a05463122f36,https://wms.mapama.gob.es/sig/Biodiversidad/Incendios/1996_2005/wms.aspx?request=getcapabilities&service=wms
CP_cadastralparcel_dataset,https://geo.araba.eus/WMS_INSPIRE_CP?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0
ESPIGMEHIDROGEOLOGICO200CONTINUODIGITAL20100806637843,http://mapas.igme.es/gis/services/Cartografia_Tematica/IGME_Hidrogeologico_200/MapServer/WMSServer?REQUEST=GetCapabilities&SERVICE=WMS
a01cb8d6-2a8c-4041-bd92-5b8f0db67a66,https://wms.mapama.gob.es/sig/Biodiversidad/Paisaje/wms.aspx
a01cb8d6-2a8c-4041-bd92-5b8f0db67a66,https://wms.mapama.gob.es/sig/Biodiversidad/Paisaje/wms.aspx?request=getcapabilities&service=wms
023b3f71-a7ec-4566-9fa7-584fb5cb14c4,https://wms.mapama.gob.es/sig/Biodiversidad/Incendios/2006_2015/wms.aspx
023b3f71-a7ec-4566-9fa7-584fb5cb14c4,https://wms.mapama.gob.es/sig/Biodiversidad/Incendios/2006_2015/wms.aspx?request=getcapabilities&service=wms
2d477909-cfe1-4e12-bfa0-0b86ca2edcc1,https://wms.mapama.gob.es/sig/Biodiversidad/PropiedadMontes/wms.aspx
2d477909-cfe1-4e12-bfa0-0b86ca2edcc1,https://wms.mapama.gob.es/sig/Biodiversidad/PropiedadMontes/wms.aspx?request=getcapabilities&service=wms
1b225fec-03fe-413d-9621-d0c951028d4c,https://wms.mapama.gob.es/sig/Biodiversidad/PropiedadMontes_UP/wms.aspx
1b225fec-03fe-413d-9621-d0c951028d4c,https://wms.mapama.gob.es/sig/Biodiversidad/PropiedadMontes_UP/wms.aspx?request=getcapabilities&service=wms
