input_file,total_uuids,success_count,failure_count
View_MT.csv,150,148,2
View_CH.csv,132,131,1
View_PL.csv,43,43,0
View_FI.csv,269,245,24
View_BG.csv,131,56,75
View_HR.csv,126,112,14
View_FR.csv,77,73,4
View_LU.csv,288,283,5
View_LI.csv,4,1,3
View_RO.csv,20,12,8
View_IS.csv,84,82,2
View_SE.csv,140,138,2
View_LT.csv,61,60,1
View_BE-GEOBRU.csv,52,52,0
View_SK.csv,134,123,11
View_DK.csv,167,144,23
View_NL.csv,194,167,27
View_AT.csv,532,517,15
View_EE.csv,70,70,0
View_SI.csv,10,9,1
View_NO.csv,56,1,55
View_HU.csv,57,54,3
View_EL.csv,44,44,0
View_PT.csv,435,273,162
View_BE-GEO.csv,79,78,1
View_CY.csv,42,42,0
View_IE.csv,58,54,4
View_CZ.csv,89,86,3
View_IT.csv,4593,3884,709
View_BE-VLAANDEREN.csv,259,258,1
View_ES.csv,283,278,5
View_BE-WALLONIE.csv,171,80,91
View_LV.csv,48,43,5
