file_id;md_id;version;type;error_count;errors
1-20_10;127beba0-04c4-499e-8af8-2ddff7ae1107;1.3;dataset;3;a.5 c.4 f.1
1-20_1;02d65c83-102a-49e4-99e3-8d2d83a70df5;1.3;dataset;3;a.5 c.4 c.6
1-20_14;1499cfa2-0dc3-4074-a4b1-ea422f71443e;1.3;dataset;2;xml.a.1 f.1
1-20_12;131dcad9-f371-4f3e-8d10-ba2fd69c2905;1.3;dataset;2;a.5 c.4
1-20_13;1499cfa1-0dc3-4074-a4b1-ea422f71443e;1.3;dataset;2;xml.a.1 f.1
1-20_16;1499cfa4-0dc3-4074-a4b1-ea422f71443e;1.3;dataset;2;xml.a.1 f.1
1-20_17;1499cfa5-0dc3-4074-a4b1-ea422f71443e;1.3;dataset;2;xml.a.1 f.1
1-20_2;046aa375-95e8-4b9a-b0cf-1981228f3d18;1.3;service;1;d.2
1-20_4;05ad87fd-5660-4f42-9488-52433b647c36;1.3;service;1;d.3
1-20_19;1528e7a0-06cf-4645-8a98-261367869525;2.0;;10;C.10 C.11 C.15 C.17 C.18 1.1 1.3 1.6 1.10 1.11
1-20_15;1499cfa3-0dc3-4074-a4b1-ea422f71443e;1.3;dataset;2;xml.a.1 f.1
1-20_7;0d9e1410-566c-4116-add1-a13a4b6966fc;1.3;dataset;2;a.5 c.4
1-20_3;05419984-d0ee-482c-9666-2797b7fcbf12;2.0;;9;C.11 C.15 C.17 C.18 1.1 1.3 1.6 1.10 1.11
1-20_18;1501a5cf-479e-40ca-b351-d05cbf21693a;1.3;dataset;1;f.3
1-20_6;0d7d93c5-0718-4f02-98fd-c9e01d7bf482;2.0;;13;C.11 C.14 C.15 C.17 C.18 C.22 1.1 1.3 1.6 1.8 1.9 1.10 1.11
1-20_20;15f34523-67f9-435a-882a-122a263c98bb;1.3;dataset;3;a.5 c.4 c.6
101-120_1;8b7086fc-5c0e-4bf8-ba25-62e798fbed32;2.0;service;4;C.17 3.1 3.6 3.8
1-20_9;121cef8a-4ec1-4c46-8a13-15e2c909a0ec;1.3;dataset;4;a.5 c.4 c.6 f.1
101-120_11;9836fdf.xml;1.3;service;3;xml.a.1 a.11 d.2
101-120_10;977bd7a9-2197-4dba-8ce3-f3b1c28a0382;1.3;dataset;3;a.8 c.4 c.6
101-120_20;a3c3406f-caab-4ce8-9737-84976af605d1;1.3;dataset;2;xml.a.1 c.3
101-120_2;8cab53a3-242d-4330-b58f-88f2eadcf019;1.3;service;1;a.8
101-120_16;9f5210ee-f388-4e3a-8527-c03df4ae963f;1.3;dataset;2;a.5 c.4
101-120_7;92d4c24b-19fa-4f87-a5ea-da8f10210cd1;1.3;dataset;2;a.5 c.4
101-120_8;92e4b1bd-71d2-4161-b97e-4275995eb7c6;1.3;service;1;d.3
101-120_4;8f18ac17-aaab-42e0-bda5-184327b6640d;1.3;dataset;6;a.5 a.6 c.2 c.4 c.6 f.1
121-140_1;a4b0b9e3-50ba-4422-8dd8-b3cbd5c90a5a;1.3;service;1;a.8
121-140_10;b2a1d519-ffa5-4ccd-9c25-9e7fa45c1997;1.3;service;1;d.3
101-120_6;9152a3f6-9f14-4beb-96ef-005447b84216;1.3;dataset;1;f.1
121-140_13;b8f392e5-82da-4995-806c-4abc04b426d3;1.3;dataset;3;a.5 c.4 c.6
101-120_3;8d7ef848-28c5-43c4-8581-4df715053d23;2.0;;10;C.10 C.11 C.15 C.17 C.18 1.1 1.3 1.6 1.10 1.11
