file_id;md_id;version;type;error_count;errors
1-20_1;02DC718D-1D33-4C01-80EB-891FEF0184DF;1.3;dataset;3;xml.a.1 a.11 c.7
1-20_10;1854ADEC-414E-4FBD-BD1A-610E6926555D;1.3;dataset;3;xml.a.1 a.11 c.7
1-20_13;1FD87286-1114-482D-A4AF-D40EBDBBE88D;1.3;dataset;4;xml.a.1 a.11 c.3 c.7
1-20_11;1B4760FD-C51F-4D23-B3A5-D21DD7BBA3DE;2.0;dataset;9;C.14 C.17 C.18 C.20 C.21 C.22 1.7 1.10 1.11
1-20_12;1B90184E-8546-4ACA-93C3-12BF48FA0E8F;1.3;dataset;3;xml.a.1 a.11 c.7
1-20_15;241A7BD9-8A1D-4C56-B8D0-6BA8474AF628;1.3;dataset;7;xml.a.1 a.5 a.8 a.11 c.3 c.4 c.7
1-20_14;23C5FBC6-5C2A-40BD-B8B2-0514823ED034;1.3;dataset;3;xml.a.1 a.11 c.7
1-20_16;289C996B-4935-4ED2-81B4-4BBBFECD9D99;1.3;dataset;3;xml.a.1 a.11 c.7
1-20_17;2AF36BBF-AC43-4792-B38E-C54AED20EE81;1.3;dataset;5;xml.a.1 a.5 a.11 c.4 c.7
1-20_19;2F181A4B-A352-4624-8A49-9566B4A8D256;1.3;dataset;5;xml.a.1 a.5 a.11 c.4 c.7
1-20_18;2E489142-6766-41C1-9094-B8CF61B403E9;2.0;dataset;9;C.14 C.17 C.18 C.20 C.21 C.22 1.7 1.10 1.11
1-20_2;03E06F89-C853-4F3C-952E-3BF63C7B9DB6;1.3;dataset;5;xml.a.1 a.5 a.11 c.4 c.7
1-20_20;34A4DC96-602E-491F-83BA-10EE9D097356;2.0;dataset;9;C.14 C.17 C.18 C.20 C.21 C.22 1.7 1.10 1.11
1-20_5;06D00885-3CA1-4344-A4A8-D1C78E87DB89;1.3;dataset;5;xml.a.1 a.5 a.11 c.4 c.7
1-20_6;0BDE5503-65E5-4B1A-926D-F5815A80D121;2.0;dataset;9;C.14 C.17 C.18 C.20 C.21 C.22 1.7 1.10 1.11
1-20_3;04922044-AD33-4313-B80B-2969DB403484;1.3;dataset;4;xml.a.1 a.4 a.11 c.7
1-20_9;1786A54D-F8A0-4DD0-B7F3-3559D043253F;1.3;dataset;4;xml.a.1 a.11 c.3 c.7
1-20_8;10333E32-0AF9-4E80-82E7-C76831176356;1.3;dataset;2;c.3 c.7
1-20_4;05c60a9e3550ccb2c282d1237c8f8008f204422a;2.0;service;12;C.1 C.17 C.18 C.20 C.21 C.22 3.1 3.4 3.5 3.6 3.8 4.1
101-120_13;EE780511-CC9A-4774-BDFD-7A10930D1F27;1.3;dataset;5;xml.a.1 a.5 a.11 c.4 c.7
101-120_1;D4538A08-323C-468D-9A87-3382AA18924C;1.3;dataset;3;xml.a.1 a.11 c.7
1-20_7;0E9B6A3F-04D8-45A2-BC66-77FDF77E358F;2.0;dataset;9;C.14 C.17 C.18 C.20 C.21 C.22 1.7 1.10 1.11
