file_id;md_id;version;type;error_count;errors
1-20_11;460bd932.xml;1.3;service;2;d.2 d.3
1-20_1;10140653-geoloogilised_kaardid_400000;1.3;dataset;1;c.3
1-20_10;40bc6545_3.xml;1.3;service;1;d.3
1-20_12;547703e.xml;1.3;service;2;d.2 d.3
1-20_14;547703e2.xml;1.3;service;2;d.2 d.3
1-20_13;547703e1.xml;1.3;service;2;d.2 d.3
1-20_16;547703e4.xml;1.3;service;2;d.2 d.3
1-20_17;547703e5.xml;1.3;service;2;d.2 d.3
1-20_2;161387e.xml;1.3;service;2;d.2 d.3
1-20_4;2af8e971_3.xml;1.3;service;1;d.3
1-20_19;547703e7.xml;1.3;service;2;d.2 d.3
1-20_3;2af8e971.xml;1.3;service;1;d.3
1-20_15;547703e3.xml;1.3;service;2;d.2 d.3
1-20_20;5f64b4cc.xml;1.3;service;1;d.3
101-120_1;{3B72703A-26A8-4FC4-8157-117274CD2106};1.3;dataset;2;a.5 c.4
1-20_18;547703e6.xml;1.3;service;2;d.2 d.3
1-20_9;40bc6545_11.xml;1.3;service;1;d.3
101-120_11;{500224CB-FF66-43F9-B84F-ACB9DCAC293A};1.3;service;2;d.2 d.3
101-120_14;{67612A8F-B270-4B5A-8DCA-980C2E04A032};1.3;service;2;d.2 d.3
1-20_8;40bc6545_10.xml;1.3;service;1;d.3
101-120_15;{69DCCEB3-EE93-4C97-9B97-5C3E2C23AF95};1.3;service;2;d.2 d.3
101-120_12;{57B175F6-D6A8-4825-8A57-827D37BCD30A};1.3;dataset;2;a.5 c.4
101-120_10;{4D76852B-547E-4EB0-8B5B-7E912FF8EEFA};1.3;service;2;d.2 d.3
101-120_18;{7E3126DE-197D-4D67-8A71-DDBBBB343D30};1.3;service;2;d.2 d.3
101-120_20;{903B116A-BBFE-4B74-BDF5-38DE1609EEB4};1.3;service;1;d.2
101-120_13;{5C497E89-E646-4834-B891-BD1BAA1C512C};1.3;service;2;d.2 d.3
101-120_4;{3FB2BEAF-4577-406F-9195-202AE9F39B8A};1.3;dataset;1;c.3
101-120_5;{422151C6-08E8-4ADB-97C5-2A1BB367B7B8};1.3;dataset;2;a.8 c.3
101-120_19;{8209010E-816A-4E4B-B8D8-42F2518669FC};1.3;service;2;d.2 d.3
101-120_3;{3DAB1069-B6C5-44DA-8E2B-021E45070EFC};1.3;service;1;d.3
101-120_7;{42FB49F7-5976-4A65-BB1E-166F749CF466};1.3;service;1;d.3
121-140_13;{C24822EF-BF02-492C-9E6D-AEEC08DB48C1};1.3;service;2;d.2 d.3
121-140_10;{B847545D-5350-4CA3-9D8B-CED174826ACC};1.3;dataset;1;c.3
101-120_9;{48AAD452-DE42-4677-AA0E-419473CC1274};1.3;service;2;d.2 d.3
121-140_1;{9144A449-CA37-454E-8B00-4EBB2559F1A7};1.3;service;2;d.2 d.3
121-140_12;{BFD1468D-428C-4E8A-AF00-1E6748D6D293};1.3;service;2;d.2 d.3
121-140_15;{C419ADF2-4F16-4825-AEC2-7D05F0461270};1.3;service;2;d.2 d.3
121-140_11;{BC2CD5E3-191E-4FC4-AB37-C89FE392D3D8};1.3;service;2;d.2 d.3
121-140_14;{C27E7958-4767-4B1F-8D04-A78B00111490};1.3;dataset;2;a.5 c.4
121-140_19;{D0C0044D-C610-4690-B369-55534A3AEB5D};1.3;service;1;d.2
121-140_16;{C63F3D45-BE5D-4297-8C8D-E4DBA7DF3179};1.3;service;2;d.2 d.3
121-140_18;{CE1D3187-9E1A-4730-88A4-BDD61AA40028};1.3;service;2;d.2 d.3
121-140_17;{C7FCE374-D3B1-4BEF-9260-97B95CD7ACBB};1.3;dataset;2;a.5 c.4
121-140_3;{A0659DC9-778D-4443-B4C3-C03F55742CEB};1.3;dataset;2;a.5 c.4
121-140_2;{99F025E8-58C5-4F26-941B-5534AA8838C8};1.3;service;2;d.2 d.3
121-140_9;{B629A41C-0E04-4084-998A-460BA54862FD};1.3;service;2;d.2 d.3
141-155_10;{E99B6BDF-A44C-43B6-970F-833E5AE13D4D};1.3;service;2;d.2 d.3
121-140_7;{A73B15B1-7557-4E12-BAFA-05D948938B26};1.3;service;2;d.2 d.3
141-155_2;{D746BBF4-D390-4CA8-8A74-C0F81A2FAD46};1.3;dataset;2;a.5 c.4
141-155_14;{FBB185A0-DAFA-4E8F-B8E1-43E8AC6442CF};1.3;service;2;d.2 d.3
141-155_11;{EC9B1EE4-7988-42AC-AC7C-729A14F8A713};1.3;dataset;2;a.5 c.4
141-155_3;{D9A8AEC4-9360-4E84-A971-9C24FF7D3CBF};1.3;service;2;d.2 d.3
141-155_6;{E29F4AAE-5824-4808-ACA3-0B073AD579F3};1.3;service;2;d.2 d.3
141-155_15;{FBB6DABE-362E-45E5-997B-F95DFC7236F3};1.3;service;2;d.2 d.3
141-155_8;{E3C06727-3B91-4764-B313-4BD37820DEB7};1.3;service;2;d.2 d.3
141-155_4;{DA3C3577-A8FC-49DE-ADAD-9A49EBCA2336};1.3;service;2;d.2 d.3
21-40_11;70009540-KKR-kaitstavate_loodusobjektide_nimistu;1.3;dataset;1;c.3
141-155_9;{E65180ED-142A-457B-89A8-0D496A40585D};1.3;service;2;d.2 d.3
141-155_7;{E31A2513-18B1-4171-A97F-1DCA4EFACD32};1.3;service;2;d.2 d.3
21-40_10;70003098_KPOIS_tehnovorgud;1.3;dataset;1;c.3
21-40_1;6f83aa32.xml;1.3;dataset;2;a.5 c.4
21-40_17;KAUR_V‰‰riselupaigad;1.3;dataset;2;a.5 c.4
21-40_12;8877d02.xml;1.3;service;2;d.2 d.3
21-40_4;70003098-ETAK-transport;1.3;dataset;1;c.3
21-40_2;70003098-ETAK-ajakohane_ortofoto;1.3;dataset;1;c.3
21-40_18;KAUR_joad;1.3;dataset;2;a.5 c.4
21-40_19;KAUR_pohjaveemaardlad;1.3;dataset;2;a.5 c.4
21-40_15;EANS_AIM_data;1.3;dataset;1;c.3
21-40_3;70003098-ETAK-ehitised;1.3;dataset;1;c.3
41-60_12;maaamet_ADS_haldussysteem;1.3;dataset;1;c.3
41-60_1;KAUR_reoveek‰itlusnimistu;1.3;dataset;2;a.5 c.4
21-40_6;70003098-ETAK_maakate;1.3;dataset;1;c.3
21-40_9;70003098-geoloogilise_bk_maavarad;1.3;dataset;1;c.3
21-40_5;70003098-ETAK-vesi;1.3;dataset;1;c.3
41-60_15;maaamet_haldus_asustus;1.3;dataset;1;c.3
21-40_8;70003098-epk10_horisontaalid_korguspunktid;1.3;dataset;1;c.3
41-60_11;ilmateenistus_ilmajaamad;1.3;dataset;2;a.5 c.4
41-60_14;maaamet_geoloogiline_baaskaart;1.3;dataset;1;c.3
41-60_20;maaamet_maaregister;1.3;dataset;1;c.3
41-60_19;maaamet_maardlad;1.3;dataset;1;c.3
41-60_7;KTK_KKR_veekogud;1.3;dataset;1;c.3
41-60_3;KAUR_valgalad;1.3;dataset;2;a.5 c.4
41-60_8;KTK_PRTR;1.3;dataset;2;a.5 c.4
41-60_6;KTK_KKR_keskkonnaseire;1.3;dataset;1;c.3
61-80_12;stat_statistika_kaardirakendus_allalaadimine;1.3;service;1;d.3
61-80_15;veeteede_amet_navigatsioonimargid;1.3;dataset;1;c.3
61-80_1;maaamet_muld;1.3;dataset;1;c.3
61-80_18;{052B340B-3567-4833-AAAD-7C83E0A05AA3};1.3;dataset;2;a.5 c.4
61-80_19;{097F6496-E221-4319-8A99-CB1A0376CB44};1.3;service;2;d.2 d.3
61-80_11;stat_statistika_kaardirakendus;1.3;service;1;d.3
61-80_17;{002F8C73-BF14-4F6D-9D4D-56765FDB5E94};1.3;service;2;d.2 d.3
61-80_7;siseministeerium_knr;1.3;dataset;1;c.3
61-80_4;muinsuskaitseamet_muinas;1.3;dataset;1;c.3
81-100_10;{26B834E0-DAC2-4E13-87DF-7ACB412BC5DF};1.3;service;2;d.2 d.3
81-100_17;{35476F74-C718-4148-B3D0-120BF6273087};1.3;service;2;d.2 d.3
81-100_13;{282DA4EC-977C-43F2-903E-B00DA4ECF18A};1.3;service;2;d.2 d.3
81-100_16;{2F8F4DAA-ADE0-43CB-A375-8A80ED28A9A7};1.3;service;2;d.2 d.3
81-100_12;{273BEDB4-470B-4578-BADB-9853DFB14303};1.3;service;2;d.2 d.3
81-100_3;{1692522E-F884-41BF-8ACA-BCDA375C627A};1.3;service;2;d.2 d.3
81-100_19;{380C01E6-510E-4DFA-83CB-55560E3DDFE3};1.3;service;2;d.2 d.3
81-100_2;{14C90C3A-7F91-415F-A5EA-0132DA1A372F};1.3;service;2;d.2 d.3
81-100_4;{185C2C2B-6F11-478C-ABE4-CB4DD5465A8A};1.3;dataset;2;a.5 c.4
81-100_18;{37928E83-3AFA-4552-A51A-281FCAD4C53F};1.3;dataset;2;a.5 c.4
81-100_15;{2DC672CF-666E-47E7-9C85-944558FF9209};1.3;dataset;2;a.5 c.4
81-100_6;{1FE8564D-8035-4CD1-BD98-FEB53C93554A};1.3;service;2;d.2 d.3
81-100_5;{18BED4ED-8739-4ED4-B995-C0A64BFC8EE3};1.3;service;2;d.2 d.3
81-100_9;{24AA7CDC-51F2-44FB-A99B-C0B60A5CD13C};1.3;service;1;d.3
81-100_20;{38B207B1-4B26-4152-980D-5E17391D8223};1.3;service;2;d.2 d.3
81-100_8;{24266975-1013-441E-9DF3-F2D36D9CABD4};1.3;service;1;d.3
