file_id;md_id;version;type;error_count;errors
1-20_18;GeoportalIE_CSW;1.3;service;1;d.3
41-60_10;{30FAA46D-028B-45C2-B79A-18D1C5754C08};1.3;dataset;1;c.3
41-60_17;{493D80DA-9603-47C5-A38B-C88DFA56E69C};1.3;dataset;1;c.3
41-60_15;{44AD05DB-50C9-47DB-8FCB-BB1153720C79};1.3;service;1;d.2
41-60_16;{467CB317-2FB3-40E4-8109-45A1FFC9B3D1};1.3;service;2;d.2 f.2
41-60_19;{4B59B74E-5A8C-47B8-8ADD-085C14FF1F8E};1.3;dataset;2;a.5 c.4
41-60_3;{0CD532EA-1AD7-44CE-8AAE-7E5A3F586C16};1.3;service;3;xml.a.1 d.2 f.2
41-60_6;{229402A1-46FA-4E5F-B940-6F3EBCA61ADF};1.3;service;2;d.2 f.2
41-60_7;{230A3121-F6A7-4210-AE7C-7FCD75F6EA8A};1.3;dataset;1;c.3
41-60_9;{30EE3CB2-0894-4487-B5B5-3CB35EB0A768};1.3;service;3;xml.a.1 d.2 f.2
61-80_1;{4F8C122E-61C7-4821-A10B-E30D5B18BFD8};1.3;dataset;1;c.3
61-80_12;{9255A7B3-3813-4EB1-9290-37B1BFD285DC};1.3;dataset;2;a.5 c.4
61-80_13;{98AF2D08-54DF-40FE-B78F-38893BA1D829};1.3;service;3;xml.a.1 d.2 f.2
61-80_14;{9E7D4574-4D08-4FE4-8C04-9A7FDCD9684A};1.3;dataset;2;a.5 c.4
61-80_17;{B5300063-591D-4F05-8FED-480BA23E3BEC};1.3;dataset;2;a.5 c.4
61-80_2;{549C0BC2-F1C5-4442-8500-EDB055D5892E};1.3;service;1;d.2
61-80_18;{BB4A22F3-83D5-46D5-9F76-7FFD77EF1F86};1.3;service;1;d.2
61-80_4;{5AB9E6CA-4F04-4E8E-B5DA-35E3CE686320};1.3;service;2;d.2 f.2
61-80_5;{5F03018E-BCA3-4173-A4F4-DCC784F19DFA};1.3;dataset;1;c.3
81-92_1;{C1BB5941-DCE0-4F3E-AF00-CEBF080E4468};1.3;dataset;2;a.5 c.4
61-80_6;{5F330F10-3B2F-41F1-9C53-B61FE4DCE5CE};1.3;dataset;1;c.3
81-92_11;{F3C30F30-3602-4ECE-9FBC-83767E83D33C};1.3;service;2;d.2 f.2
61-80_8;{6FFE6EE1-5237-4E06-9C75-CA41EEE2A71B};1.3;dataset;3;a.5 c.4 c.6
81-92_10;{F2510724-060D-4FD1-B76D-79860605F7F4};1.3;service;2;d.2 f.2
81-92_4;{CC4FD40F-5BB9-4A62-80D3-CC7B13A48E33};1.3;service;3;xml.a.1 d.2 f.2
81-92_7;{DE653B10-65C8-4BCE-921A-29EAEF145CCC};1.3;service;1;d.2
81-92_8;{E49466FD-8CAD-4127-8CF5-E8E5E6F7E9FF};1.3;service;2;d.2 f.2
