file_id;md_id;version;type;error_count;errors
1-20_1;32ce5c82-6262-43e9-bedb-14e9d35cc25d;1.3;dataset;3;a.8 c.3 c.4
1-20_11;PerimetreMiniereExplorare;1.3;dataset;2;c.3 c.4
1-20_10;PerimetreMiniereExploatare;1.3;dataset;2;c.3 c.4
1-20_14;ZRRRUR;1.3;dataset;2;c.3 c.4
1-20_13;ZARRUR;1.3;dataset;2;c.3 c.4
1-20_17;f739804c-0851-4a16-8d18-08b4e36996fb;1.3;dataset;2;c.4 f.1
1-20_16;e21c37b4-2b07-4cf3-a28e-0574da5fca2f;1.3;dataset;1;c.4
1-20_12;RO.AFDJ.;1.3;dataset;3;a.8 c.3 c.4
1-20_15;cb6ee92c-9664-446c-8baf-7bda82daacd8;1.3;dataset;2;c.3 c.4
1-20_18;http://gmlid.eu/RO/ENV/ART12BD/MD;1.3;dataset;1;c.4
1-20_2;EL.Elevatie;1.3;dataset;3;a.8 c.3 c.4
1-20_3;HB.Habitate;1.3;series;2;c.4 f.1
1-20_20;http://gmlid.eu/RO/ENV/ART17HD/MD;1.3;dataset;1;c.4
1-20_4;HY.Baraje;1.3;dataset;1;c.4
101-120_1;{96123DC5-A299-402C-83BD-88B7C03FFFDC};1.3;dataset;1;c.4
1-20_5;HY.Diguri;1.3;dataset;1;c.4
1-20_6;HY.Lacuri;1.3;dataset;1;c.4
1-20_7;MCO00_RO;1.3;dataset;2;a.5 c.4
1-20_9;MalApa;1.3;dataset;3;a.5 a.8 c.4
1-20_8;MCO06_RO;1.3;dataset;2;a.5 c.4
101-120_12;{A645FF88-4BD0-484D-91F2-D555E54FDB5A};1.3;dataset;2;a.5 c.4
101-120_10;{A06F08BB-764D-4E9D-95C4-E82E1C5C81C1};1.3;dataset;3;a.5 c.3 c.4
101-120_11;{A4AC115F-68F8-4E48-9705-C2741D49D1BB};1.3;dataset;2;c.4 f.1
101-120_15;{A96D59C4-0420-4104-9D68-DF318F77904C};1.3;dataset;2;c.3 c.4
101-120_16;{A9CFE26C-240F-4D84-9D04-0B3B1197E953};1.3;dataset;2;c.4 f.1
101-120_18;{AA3A39D5-B7D6-4297-8CB9-6BE9E470A1BE};1.3;dataset;2;c.3 c.4
101-120_17;{A9F9A39F-A991-461A-A3C8-8DA8A9664BC0};1.3;dataset;3;a.5 c.4 c.6
101-120_20;{B1350768-D158-4665-9E7D-4C3A6CD70682};1.3;dataset;1;c.4
101-120_2;{977A592A-E0A3-4DE8-B185-5BE00019B27E};1.3;dataset;1;c.4
101-120_19;{ACBFC834-E283-413A-A671-38A37AE59954};1.3;series;2;c.4 f.1
101-120_4;{9869D58C-2D44-44AB-A60C-D693D6DCA77B};1.3;dataset;2;c.4 f.1
101-120_5;{9AE38CAA-F2EC-4A99-A9D4-F7A14F298D11};1.3;dataset;2;c.4 f.1
101-120_8;{9E0D2260-72F8-4897-8B5D-2ACC957416AD};1.3;dataset;3;a.5 c.4 f.1
101-120_7;{9D9A9AEE-1AAB-4DEA-A3AF-05B9CAEF1A9B};1.3;dataset;1;c.4
101-120_3;{97C84727-1EF8-4532-82F6-E4FF64277816};1.3;dataset;2;c.4 f.1
121-140_1;{B1B5E1E4-F107-426B-B89F-CA353F5A45F6};1.3;service;1;a.8
121-140_10;{C037A93E-0B5A-4FF0-B70C-E9E373B88881};1.3;dataset;1;c.4
121-140_12;{C7E1F5B5-3786-45DC-970E-20F0F5DFD0A8};1.3;dataset;4;a.5 a.8 c.4 c.6
121-140_11;{C749F13E-2A9A-4900-8658-55FF52A921FD};1.3;service;1;d.3
121-140_16;{CFA3C0B6-121A-40B8-8DF8-52295ABCF765};1.3;dataset;2;a.8 c.4
121-140_18;{D1A36273-402A-42B3-9CC0-01B39DF98F70};1.3;dataset;3;a.5 c.4 f.1
121-140_2;{B2948600-AECD-4AB6-9EA2-C7A652D439D4};1.3;dataset;2;c.4 f.1
121-140_17;{D156F365-9B28-43BD-9A19-F0C59B474678};1.3;dataset;2;c.4 f.1
121-140_20;{D4A16F64-DD5F-41FC-8863-CB4491ED058B};1.3;dataset;1;c.4
121-140_3;{B5881FB0-EB68-445B-96DC-43841C7159FD};1.3;dataset;2;c.4 f.1
121-140_5;{BBCD485D-EAE8-4945-BB5A-AFAE209044A3};1.3;dataset;2;c.4 f.1
121-140_9;{BF5FF1A9-0FC4-4866-BFAE-522DA1AE0F49};1.3;dataset;2;c.4 f.1
121-140_6;{BBD4959B-159E-47AC-9635-997EFBD28123};1.3;dataset;2;c.4 f.1
141-160_10;{E5F2A942-F9B8-4D2F-B8C6-62F79FDE8422};1.3;dataset;2;c.3 c.4
121-140_7;{BC9E982B-6681-4EC9-B584-A92A774D4803};1.3;service;1;d.2
141-160_13;{EBCAF28F-61A7-4EC4-8CC9-07B54406F918};1.3;dataset;1;c.4
141-160_12;{EAB9EE47-5D97-4345-9C0A-0D716184CA15};1.3;dataset;1;c.4
141-160_11;{E8C3A51A-955B-416E-8100-2783FB0AE203};1.3;service;1;a.8
141-160_15;{EF2288C9-E05C-4674-AC9E-56DA840857FA};1.3;dataset;2;c.4 f.1
141-160_16;{F276DA5A-C772-4FE5-9807-C37745E14BA1};1.3;dataset;3;c.3 c.4 f.1
141-160_18;{FAEACC94-B4F4-4320-8BAA-0B2BEB691B5C};1.3;dataset;1;c.4
141-160_14;{ECBE4738-D12D-4207-9F9E-3851E5419419};1.3;dataset;1;c.4
141-160_20;{FB9F48E6-4C6C-44CD-B4E5-64EB2CD76E01};1.3;dataset;1;c.4
141-160_17;{F60180F5-68C9-4EB8-9A3B-3989729E91FE};1.3;series;2;c.4 f.1
141-160_6;{E0497D55-8D69-49E6-9C0E-FD90291018F9};1.3;dataset;2;c.4 c.6
141-160_9;{E536A550-1D53-40D6-8BFC-DBD6A9CB284A};1.3;dataset;2;c.4 f.1
141-160_2;{D94CEB00-D47F-4E05-BCB5-477F86EB1CE4};1.3;dataset;1;c.4
141-160_4;{DFB2E605-0AC9-4364-B4A7-C8624B57FE06};1.3;dataset;1;c.4
21-40_11;{024A6373-F69F-46C4-A7D3-FEE21F2521E5};1.3;dataset;3;a.5 c.4 f.1
161-163_3;{FF5DAE75-503C-427C-8FCB-6C7DB643350B};1.3;dataset;2;a.8 c.4
161-163_1;{FBEA17A7-926D-42B8-89DC-3A22D967148F};1.3;dataset;3;a.8 c.4 f.1
161-163_2;{FF1054B1-D82C-4059-961A-DE9DB20760B3};1.3;dataset;2;c.4 f.1
21-40_14;{0617FAB8-463B-4023-B828-ED7AC7C6066A};1.3;dataset;1;c.4
21-40_17;{0A457717-88FE-436B-9C4F-8BD58C627DCB};1.3;dataset;2;c.4 f.1
21-40_10;{01EFBCD2-584F-44A7-881F-4BEA6A7CA31A};1.3;dataset;2;c.4 f.1
21-40_15;{0897D15C-9969-4AEA-B2B3-0795A58F2DBF};1.3;dataset;2;c.4 f.1
21-40_19;{0E25277D-5053-47BD-97D4-7271DD75100F};1.3;dataset;2;c.4 f.1
21-40_16;{091FCD61-ACBF-4A3B-ADDC-BF6008839E91};1.3;dataset;1;c.4
21-40_3;http://gmlid.eu/RO/ENV/PADS/MD/WFS;1.3;service;1;d.2
21-40_20;{0EF475DE-7206-4EF4-B31D-BF3AFA47636B};1.3;dataset;2;c.4 f.1
41-60_1;{17918830-9442-4EF1-BDE3-EDDC9C757DF6};1.3;dataset;2;c.4 f.1
