file_id;md_id;version;type;error_count;errors
1-146_1;0096b2fc-c5c6-11e5-9912-ba0be0483c18;1.3;dataset;2;a.5 c.4
1-146_10;1a3c6961-9334-11e9-a25b-482ae30f98d9;1.3;service;2;d.3 f.4
1-146_106;c504a2b8-2aec-4819-b0c7-3e33cc46ddc5;1.3;dataset;2;a.5 c.4
1-146_107;c6c6d674-e3c5-47a9-8398-f4e1082d3e8e;1.3;dataset;2;c.3 f.4
1-146_11;1b69c5cf-9334-11e9-abaf-482ae30f98d9;1.3;service;1;f.4
1-146_112;d68c5d6b-13df-4fe1-8b4a-4a7a8219ea45;1.3;dataset;1;f.4
1-146_105;bmdc.be:dataset:2260;1.3;dataset;1;f.1
1-146_108;d074fa7a-8307-4ba5-b192-f9155fea44ec;1.3;service;3;xml.a.1 d.2 f.2
1-146_111;d6073bb967a44d1e9eb80a7e2f20d9ca;1.3;dataset;2;a.5 c.4
1-146_118;f5606457-7084-41e3-b095-7730bc6adf10;1.3;dataset;2;xml.a.1 a.8
1-146_113;e2aaecaf-b555-405e-ae77-dfe1b07e0f17;1.3;dataset;1;xml.a.1
1-146_110;d5f503fe-c228-48a6-9f00-927c95bbd450;1.3;dataset;2;f.1 f.4
1-146_117;f432b696-ac1a-4971-acc8-184bc79e9b7f;1.3;dataset;1;xml.a.1
1-146_116;ee87e68e-123d-4d6f-a48f-57220c611908;1.3;service;3;xml.a.1 d.2 f.2
1-146_122;ff830ba1b3884ff398126eed4f5b3942;1.3;dataset;2;a.5 c.4
1-146_12;1f4296b0-76f6-4f1b-8880-315406b367e1;1.3;dataset;2;c.3 f.4
1-146_119;f98d0d0f-cb75-4055-b8e4-d3c31cb96d34;1.3;dataset;1;xml.a.1
1-146_126;RMI_AWS_10MIN_WFS;1.3;service;3;xml.a.1 d.2 d.3
1-146_129;RMI_AWS_1DAY_WMS;1.3;service;3;xml.a.1 d.2 d.3
1-146_125;RMI_ALARO_WMS;1.3;service;2;d.2 d.3
1-146_128;RMI_AWS_1DAY_WFS;1.3;service;3;xml.a.1 d.2 d.3
1-146_130;RMI_AWS_1HOUR_WFS;1.3;service;3;xml.a.1 d.2 d.3
1-146_124;RMI_ALARO_WCS;1.3;service;3;xml.a.1 d.2 d.3
1-146_134;RMI_DATASET_AWS_1DAY;1.3;dataset;1;xml.a.1
1-146_133;RMI_DATASET_AWS_10MIN;1.3;dataset;1;xml.a.1
1-146_131;RMI_AWS_1HOUR_WMS;1.3;service;3;xml.a.1 d.2 d.3
1-146_127;RMI_AWS_10MIN_WMS;1.3;service;3;xml.a.1 d.2 d.3
1-146_132;RMI_DATASET_ALARO;1.3;dataset;1;c.3
1-146_137;RMI_DATASET_EXTREME_PRECIPITATIONS;1.3;dataset;2;xml.a.1 c.3
1-146_135;RMI_DATASET_AWS_1HOUR;1.3;dataset;1;xml.a.1
1-146_139;RMI_DATASET_LIDAR;1.3;dataset;2;xml.a.1 c.3
1-146_136;RMI_DATASET_CLIMATE_STATISTICS;1.3;dataset;2;xml.a.1 c.3
1-146_142;RMI_LIDAR_WMS;1.3;service;3;xml.a.1 d.2 d.3
1-146_138;RMI_DATASET_GRIDDEDOBS;1.3;dataset;1;xml.a.1
1-146_141;RMI_LIDAR_WFS;1.3;service;3;xml.a.1 d.2 d.3
1-146_16;244aed7fbff34aaaab5014826681bc83;1.3;dataset;2;a.5 c.4
1-146_145;X69GF0K7-970Q-48B1-W5N2-2A78P462122C;1.3;service;1;d.3
1-146_140;RMI_DATASET_SYNOP;1.3;dataset;1;xml.a.1
1-146_15;232844d3-26c5-47e4-9dae-1386fc4647e9;1.3;dataset;1;c.5
1-146_21;2cadfdc0-ebf0-4f53-b572-09f7235aaec4;1.3;service;1;f.4
1-146_23;33b0a929-402c-468e-b41f-c4038cbcc363;1.3;service;1;xml.a.1
1-146_17;24c018e0-e9bd-4315-8e64-b9dbe724710c;1.3;dataset;1;c.3
1-146_20;29f40b0d-2a3e-49a8-870a-e9b4acd4d1e3;1.3;dataset;2;xml.a.1 a.8
1-146_24;38fe6fee-0ac7-11ea-b2e4-34e12d0f0423;1.3;dataset;1;f.4
