file_id;md_id;version;type;error_count;errors
1-50_10;ARLPA_TO:01.02.10_D_2012-01-18-11:30;1.3;dataset;3;c.3 c.4 f.1
1-50_11;ARLPA_TO:01.02.12-D_2011-06-21-16:23;1.3;dataset;2;c.3 c.4
1-50_1;0216c195-60f8-456e-8d2e-1b5e59052268;1.3;service;3;d.2 d.3 f.3
1-50_17;ARLPA_TO:01.03.02_D_2011-11-09-15:00;1.3;dataset;4;c.3 c.4 f.1 f.3
1-50_14;ARLPA_TO:01.02.17-D_2016-05-09-17:07;1.3;dataset;1;c.4
1-50_2;0dac4719-9d05-415a-a0be-e0e2da3cb056;1.3;dataset;2;c.3 c.4
1-50_13;ARLPA_TO:01.02.17-D_2016-05-09-16:16;1.3;dataset;1;c.4
1-50_12;ARLPA_TO:01.02.15_D_2012-01-16-15:00;1.3;dataset;4;c.3 c.4 f.1 f.3
1-50_16;ARLPA_TO:01.03.01_D_2012-01-19-10:00;1.3;dataset;4;c.3 c.4 f.1 f.3
1-50_19;ARLPA_TO:01.03.08_D_2011-11-09-15:00;1.3;dataset;4;c.3 c.4 f.1 f.3
1-50_22;ARLPA_TO:04.01.03-D_2014-09-19-14:45;1.3;dataset;1;c.4
1-50_18;ARLPA_TO:01.03.04_D_2011-11-09-15:00;1.3;dataset;4;c.3 c.4 f.1 f.3
1-50_15;ARLPA_TO:01.02.17-D_2016-05-09-18:00;1.3;dataset;1;c.4
1-50_25;ARLPA_TO:04.02.01-D_2011-11-14-11:35;1.3;dataset;1;c.4
1-50_20;ARLPA_TO:04.01.01-D_2015-07-13-11:46;1.3;dataset;1;c.4
1-50_21;ARLPA_TO:04.01.01-D_2015-07-13-14:03;1.3;dataset;1;c.4
1-50_28;ARLPA_TO:04.02.01_i_ar-D_2011-07-05-15:24;1.3;dataset;1;c.4
1-50_23;ARLPA_TO:04.01.04-D_2014-09-19-14:45;1.3;dataset;1;c.4
1-50_30;ARLPA_TO:04.02.01_n_ar-D_2011-07-05-15:22;1.3;dataset;1;c.4
1-50_24;ARLPA_TO:04.01.07-D_2018-05-30-19:40;1.3;dataset;1;c.4
1-50_33;ARLPA_TO:04.02.01_t-D_2011-06-14-15:29;1.3;dataset;1;c.4
1-50_27;ARLPA_TO:04.02.01_i-D_2011-07-05-12:45;1.3;dataset;1;c.4
1-50_3;ARLPA_TO:01-02-16-D_2015-10-15-10:30;1.3;dataset;2;c.3 c.4
1-50_36;ARLPA_TO:04.02.01_v_ar-D_2011-07-05-15:34;1.3;dataset;1;c.4
1-50_26;ARLPA_TO:04.02.01_ar-D_2011-10-11-12:35;1.3;dataset;1;c.4
1-50_32;ARLPA_TO:04.02.01_p_ar-D_2011-07-05-15:30;1.3;dataset;1;c.4
1-50_29;ARLPA_TO:04.02.01_n-D_2011-07-05-12:52;1.3;dataset;1;c.4
1-50_39;ARLPA_TO:04.02.02_ar-D_2011-11-09-15:22;1.3;dataset;1;c.4
1-50_31;ARLPA_TO:04.02.01_p-D_2011-07-05-12:36;1.3;dataset;1;c.4
1-50_37;ARLPA_TO:04.02.02-D_2011-07-07-11:15;1.3;dataset;1;c.4
1-50_38;ARLPA_TO:04.02.02-D_2011-11-09-15:22;1.3;dataset;2;c.3 f.3
1-50_41;ARLPA_TO:04.02.05-D_2013-10-01-16:44;1.3;dataset;1;c.4
1-50_34;ARLPA_TO:04.02.01_t_ar-D_2011-07-05-15:37;1.3;dataset;1;c.4
1-50_35;ARLPA_TO:04.02.01_v-D_2011-07-05-12:49;1.3;dataset;1;c.4
1-50_4;ARLPA_TO:01-05-01-D_2019-02-15_14:45;1.3;dataset;2;c.3 c.4
1-50_44;ARLPA_TO:05.03.04_it-D_2011-06-17-17:14;1.3;dataset;2;c.3 c.4
1-50_42;ARLPA_TO:04.03.01-D_2013-04-12-15:22;1.3;dataset;1;c.4
1-50_40;ARLPA_TO:04.02.04-D_2012-10-18-10:14;1.3;dataset;2;c.3 c.4
1-50_45;ARLPA_TO:05.03.07-D_2011-06-20-14:36;1.3;dataset;2;c.3 c.4
1-50_48;ARLPA_TO:05.03.15-D_2011-06-20-15:41;1.3;dataset;2;c.3 c.4
1-50_43;ARLPA_TO:05.03.04-D_2014-09-19-14:45;1.3;dataset;2;c.3 c.4
1-50_5;ARLPA_TO:01.01.01-D_2011-06-16-16:34;1.3;dataset;4;c.3 c.4 f.1 f.3
1-50_47;ARLPA_TO:05.03.11-D_2011-06-20-15:39;1.3;dataset;2;c.3 c.4
1-50_7;ARLPA_TO:01.01.06-D_2016-06-23-14:42;1.3;dataset;1;c.4
1-50_50;ARLPA_TO:05.03.21-D_2011-06-20-17:09;1.3;dataset;2;c.3 c.4
1-50_46;ARLPA_TO:05.03.09-D_2011-06-20-15:19;1.3;dataset;2;c.3 c.4
1-50_6;ARLPA_TO:01.01.04-D_2011-06-14-16:09;1.3;dataset;1;c.4
10001-10050_1;c_G220:92566;1.3;dataset;1;c.6
1-50_49;ARLPA_TO:05.03.17-D_2011-06-21-10:00;1.3;dataset;2;c.3 c.4
10001-10050_12;c_a028:911619ad-4813-4f51-afe8-eea780ac04c3;1.3;service;2;f.3 f.4
10001-10050_15;c_a056:20d40a6a-d2df-4dea-a996-6fcc96de2813;1.3;service;3;d.2 f.3 f.4
1-50_9;ARLPA_TO:01.02.03-D_2011-02-24-15:41;1.3;dataset;3;c.3 c.4 f.1
10001-10050_10;c_a007:f4e720a5-fb77-424f-bc4a-23e78b4636d4;1.3;service;2;f.3 f.4
10001-10050_13;c_a028:925f69dd-6a8f-49d1-be25-66db1b04f9cc;1.3;service;2;f.3 f.4
10001-10050_14;c_a028:b7f85eaf-727e-48bb-a368-eccb44bbaa99;1.3;service;2;f.3 f.4
10001-10050_18;c_a089:87b38490-efda-4fd5-950d-4a0010d6160d;1.3;service;2;f.3 f.4
10001-10050_23;c_a393:00003:20140919:081802_DS3;1.3;dataset;1;f.1
10001-10050_11;c_a028:6bede6d8-4d84-4034-ab26-06ae2e0dae24;1.3;service;2;f.3 f.4
10001-10050_20;c_a393:00003:20140919:081802;1.3;series;1;f.1
10001-10050_26;c_a474:11997fa9-c879-4ead-81f2-5b3015775df8;1.3;dataset;1;c.3
10001-10050_16;c_a056:3520c9f7-db19-4d06-b967-8e6c9744da06;1.3;service;3;d.2 f.3 f.4
10001-10050_29;c_a474:4efaed01-16c2-465d-8097-186e07b47bbf;1.3;dataset;3;c.3 f.1 f.4
10001-10050_21;c_a393:00003:20140919:081802_DS1;1.3;dataset;1;f.1
10001-10050_24;c_a393:00003:20140919:081802_DS4;1.3;dataset;1;f.1
10001-10050_22;c_a393:00003:20140919:081802_DS2;1.3;dataset;1;f.1
10001-10050_31;c_a474:6d4bf998-5067-4e1b-8e11-8e969d5bdf4b;1.3;dataset;1;c.3
10001-10050_25;c_a474:04a80bfb-f595-4eb5-9acb-54b36de2be7f;1.3;dataset;1;c.3
10001-10050_27;c_a474:1de4e203-d0ca-4756-9d77-2ee4eb577220;1.3;dataset;1;c.3
10001-10050_3;c_H223:20923;1.3;dataset;1;f.1
10001-10050_34;c_a474:a92fa85d-b520-4a27-9ec0-450119d6d158;1.3;dataset;3;c.3 f.1 f.4
10001-10050_28;c_a474:32bcaa70-cd49-433a-a13f-4f920135c5a8;1.3;dataset;1;c.3
10001-10050_32;c_a474:74524cad-0c8e-4fa3-b50b-6d8be371a2df;1.3;dataset;1;c.3
10001-10050_30;c_a474:6a416aff-f474-4c8b-ab90-afb1bad2ebcc;1.3;dataset;1;c.3
10001-10050_35;c_a474:af0faeb1-a6f8-4abc-88b5-01e82e480287;1.3;dataset;1;c.3
10001-10050_37;c_a474:b957ed49-580e-4057-ac46-3a974265c00d;1.3;dataset;1;c.3
10001-10050_38;c_a474:bd5a7887-0660-4310-9295-36081d0f9dd3;1.3;dataset;1;c.3
10001-10050_33;c_a474:97682dca-de06-43cc-8231-f596bed834e0;1.3;dataset;1;c.3
10001-10050_36;c_a474:b3750cb9-6099-41a7-a3ed-adeed04a07fe;1.3;dataset;1;c.3
