file_id;md_id;version;type;error_count;errors
1-20_10;https://data.gov.sk/set/rpi/gmd/00156884/8723848b-2ba1-4fb5-bcf8-06f233441a15;1.3;dataset;3;a.4 a.5 c.4
1-20_11;https://data.gov.sk/set/rpi/gmd/00156884/9ca50c27-a9ae-4bbd-8e0b-b35c0d0b8e2e;1.3;dataset;3;a.4 a.5 c.4
1-20_16;https://data.gov.sk/set/rpi/gmd/00626031/a8e48ab3-9878-45b5-84e4-c42e4d56bbcc;1.3;dataset;3;c.3 f.1 f.3
1-20_14;https://data.gov.sk/set/rpi/gmd/00626031/a1d653f2-b4b8-4b6b-bc08-11e0f7f53c27;1.3;service;2;d.2 f.3
1-20_17;https://data.gov.sk/set/rpi/gmd/00626031/b7a2de23-33f4-4ea0-a50c-0f5df335f878;1.3;service;3;d.2 d.3 f.3
1-20_2;https://data.gov.sk/set/rpi/gmd/00156884/d5094c4a-7550-4a3a-9ab1-23e4a9458eec;1.3;dataset;3;a.4 a.5 c.4
1-20_19;https://data.gov.sk/set/rpi/gmd/00626031/0b0142b9-71d4-4315-a3c9-5d5bcce46585;1.3;dataset;2;f.1 f.3
1-20_3;https://data.gov.sk/set/rpi/gmd/00156884/d6d426e4-81b7-41fe-b0e6-1acbff5df7df;1.3;dataset;3;a.4 a.5 c.4
1-20_4;https://data.gov.sk/set/rpi/gmd/00156884/f5a95d56-b960-4604-aa27-cf32494ca33b;1.3;dataset;3;a.4 a.5 c.4
1-20_6;https://data.gov.sk/set/rpi/gmd/00156884/3960d86c-48e3-496c-8788-49da3ece94e7;1.3;dataset;4;a.4 a.5 c.3 c.4
1-20_7;https://data.gov.sk/set/rpi/gmd/00156884/4ce5f483-c35b-4ced-a385-668cdf3f6993;1.3;dataset;3;a.4 a.5 c.4
101-120_11;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_AP-K;1.3;series;1;c.4
1-20_9;https://data.gov.sk/set/rpi/gmd/00156884/841bcbfa-d48f-4ffd-a647-2e665b6d39a0;1.3;dataset;3;a.4 a.5 c.4
101-120_12;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_AP-K_DO;1.3;dataset;1;c.4
101-120_18;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_GNN;1.3;dataset;2;c.4 f.1
101-120_14;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_AP-K_SKO;1.3;dataset;1;c.4
101-120_15;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_DBO;1.3;dataset;1;c.4
101-120_17;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_GN;1.3;series;2;c.4 f.1
101-120_20;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_HRANICA;1.3;series;2;c.4 f.1
101-120_5;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_INSPIRE_WMS_CP_UO;1.3;service;1;d.2
121-140_10;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_INSPIRE_OI;1.3;dataset;2;a.5 c.4
121-140_13;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT01_DMP1.0;1.3;dataset;1;c.4
