file_id;md_id;version;type;error_count;errors
1-20_11;001525358c82c010804cd2460edfc186;1.3;dataset;7;a.5 a.7 a.10 c.3 c.4 f.1 f.4
1-20_1;00012dee-9dbd-403d-b447-3a03ffa7e4ac;1.3;dataset;4;a.5 c.4 f.1 h.1
1-20_14;00185584-d5b2-46b7-9071-ebae09ef388f;1.3;dataset;2;a.5 c.4
1-20_10;00131d42b7526da369b86389c9a0b8d0;1.3;dataset;3;a.5 c.4 f.1
1-20_12;001567531eb5d5947469730ba134daf89ed1e085;1.3;dataset;2;a.5 c.4
1-20_13;001831d7-b5a7-43a0-bc51-6d0d0d053589;1.3;dataset;2;a.5 c.4
1-20_15;00185590-537e-40e4-969c-039f44b4dad9;1.3;dataset;3;a.5 c.4 f.1
1-20_17;001a5de5-357e-1cf6-e054-002128a47908;1.3;dataset;1;f.1
1-20_16;00188df7-c8ea-34f8-bcc7-9028c4471485;1.3;dataset;1;c.3
1-20_2;00013b1e-cfe1-433a-927b-2054c486b5a4;1.3;dataset;2;a.5 c.4
1-20_18;001b7f34-e60b-4549-9805-3aaa42789812;1.3;dataset;2;a.5 c.4
1-20_7;000acfe0-ce6a-40b4-afff-d694227ef994;1.3;dataset;2;a.5 c.4
1-20_4;00025f5dba72e66bda0efaf28bd83d87;1.3;dataset;7;a.5 a.7 a.10 c.3 c.4 f.1 f.4
1-20_19;001c00be-0533-32af-ba13-0aa3f4512a27;1.3;dataset;2;c.3 c.4
1-20_20;001e0076-2dbc-4d21-afe5-c87a5eb578ac;1.3;dataset;3;a.5 c.4 c.6
1-20_3;00025b52-c5a7-3e92-aea2-e546f74d5ff3;1.3;dataset;2;c.3 c.4
1-20_5;0004b309-7ece-4a63-baa7-ea2685c7f104;1.3;dataset;2;c.3 c.4
1-20_8;000f2c3d-961e-498d-a580-01e457489cc0;1.3;dataset;3;a.5 c.4 f.1
1-20_6;000a6fb78e0b0d0383b511fba7866401;1.3;dataset;4;a.5 c.3 c.4 f.1
10001-10020_1;7d5668ee-52a0-4078-ac9b-d79238e94fc6;1.3;dataset;4;a.5 c.3 c.4 f.1
10001-10020_12;7d7ccd72-5424-4ade-90e6-3d80e840c378;1.3;dataset;3;a.5 c.4 f.1
