file_id;md_id;type;error_count;errors
1-100/100;{44A69936-FC68-4FEB-9E10-F01454D46F26};service;7;C.5 C.14 C.15 C.17 3.1 3.7 3.8
1-100/1;{0160A23E-5E38-4B3E-ADD3-9FBF68E96530};dataset;8;C.5 C.14 C.15 C.17 1.6 1.9 1.10 M.2
1-100/11;{0634F178-A110-4916-BAA6-B5A1D16975B3};service;6;C.5 C.14 C.15 C.17 3.1 3.8
1-100/14;{08025DCD-D48B-444D-89FA-F3EFF609B965};service;5;C.5 C.14 C.17 3.1 3.8
1-100/10;{06097AA6-4CCE-4BCD-82BB-A3E86D881786};dataset;6;C.5 C.14 C.15 C.17 1.6 1.9
1-100/12;{06B4567C-4C32-408D-91F6-6FCB7D589F92};dataset;7;C.5 C.14 C.15 C.17 C.22 1.6 1.9
1-100/15;{08221E29-8F93-4593-B2D3-5F06CB907C5F};service;5;C.5 C.14 C.17 3.1 3.8
1-100/18;{09BA4650-16F7-4ACF-9510-CFA480BB8913};service;5;C.5 C.14 C.17 3.1 3.8
1-100/13;{077C56C5-73A5-4CEE-B6A5-2D5CA7499C1D};service;2;C.14 C.17
1-100/19;{0ABE21BB-BF8F-4DAA-B0B0-3367F39AA9FA};service;5;C.5 C.14 C.17 3.1 3.8
1-100/16;{097B7EBC-2A76-430C-8375-6E418F49511D};service;8;C.5 C.14 C.15 C.17 C.21 3.1 3.6 3.8
1-100/21;{0C20CDB3-BF58-48FB-B7E3-00EDDFB0B366};service;6;C.5 C.14 C.15 C.17 3.1 3.8
1-100/17;{09A059F9-F062-4B52-8A86-3188D1367F6A};dataset;6;C.5 C.14 C.15 C.17 1.6 1.9
1-100/25;{0E7F32FC-6C80-41E8-B666-6D6545D0C7A7};service;2;C.14 C.17
1-100/22;{0DCA2A7D-B581-436B-8D94-B40591909797};dataset;6;C.5 C.14 C.15 C.17 1.6 1.9
1-100/2;{0188460B-4226-48E9-94AC-41AD42D616E6};service;5;C.5 C.14 C.17 3.1 3.8
1-100/23;{0E144647-831A-44DF-8B84-777C8387A1F3};service;5;C.5 C.14 C.17 3.1 3.8
1-100/20;{0B88FD7F-C8EA-4F9B-9291-81BAE5B2D767};dataset;7;C.5 C.14 C.15 C.17 1.6 1.9 M.2
1-100/29;{0F3F5C2D-ADC4-4482-A0ED-058F1224E079};service;6;C.5 C.14 C.15 C.17 3.1 3.8
1-100/26;{0EA99527-EEE8-49FD-9C3E-4E5DEF766071};dataset;9;C.1 C.5 C.14 C.15 C.17 1.5 1.6 1.9 M.2
1-100/32;{0FA510FE-D1E4-4B8A-BDCC-B47F6863EDD5};service;5;C.5 C.14 C.17 3.1 3.8
1-100/3;{01B108B8-853F-4BF9-844F-BCD1DE860E2D};service;5;C.5 C.14 C.17 3.1 3.8
1-100/24;{0E40F9A6-08EC-41AE-A642-6B5A9F275F2B};dataset;7;C.5 C.11 C.14 C.15 C.17 1.6 1.9
1-100/33;{0FC96B4F-FF80-48E3-BAF9-E1F114EC223E};dataset;7;C.5 C.14 C.15 C.17 1.6 1.9 M.2
