file_id;md_id;type;error_count;errors
21-40/10;{E5CC5CD1-22C5-4BE6-80A7-26DFEC107F85};service;1;3.6
21-40/12;{30EE3CB2-0894-4487-B5B5-3CB35EB0A768};service;1;3.6
21-40/14;{DE653B10-65C8-4BCE-921A-29EAEF145CCC};service;1;3.6
21-40/11;{F3C30F30-3602-4ECE-9FBC-83767E83D33C};service;1;3.6
21-40/16;{229402A1-46FA-4E5F-B940-6F3EBCA61ADF};service;1;3.6
21-40/15;{98AF2D08-54DF-40FE-B78F-38893BA1D829};service;1;3.6
21-40/13;{BB4A22F3-83D5-46D5-9F76-7FFD77EF1F86};service;1;3.6
21-40/8;{0CD532EA-1AD7-44CE-8AAE-7E5A3F586C16};service;1;3.6
21-40/9;{44AD05DB-50C9-47DB-8FCB-BB1153720C79};service;1;3.6
61-80/10;{E49466FD-8CAD-4127-8CF5-E8E5E6F7E9FF};service;1;3.6
61-80/12;{5AB9E6CA-4F04-4E8E-B5DA-35E3CE686320};service;1;3.6
61-80/11;{F2510724-060D-4FD1-B76D-79860605F7F4};service;1;3.6
61-80/19;LandWaterBoundary_INSPIRE_View_Service;service;1;3.6
61-80/18;LandWaterBoundary_INSPIRE_Download_Service;service;1;3.6
61-80/9;{CC4FD40F-5BB9-4A62-80D3-CC7B13A48E33};service;1;3.6
61-80/17;{467CB317-2FB3-40E4-8109-45A1FFC9B3D1};service;1;3.6
81-98/12;AWS_EPA_INSPIRE_WMS;service;1;3.6
81-98/11;AWS_EPA_INSPIRE_ATOM;service;1;3.6
81-98/15;{8984EE3D-9E82-4E2B-9E8E-99BFBE1A38C5};dataset;1;1.8
81-98/16;{4F8C122E-61C7-4821-A10B-E30D5B18BFD8};dataset;1;1.8
81-98/14;EPA_INSPIRE_WMS;service;1;3.6
81-98/18;AWS_DCHG_INSPIRE_WMS;service;1;3.6
81-98/13;EPA_INSPIRE_WFS;service;1;3.6
81-98/17;{02BF7275-083C-4B87-911F-7081D2998CCC};dataset;1;1.8
