file_id;md_id;type;error_count;errors
1-20/15;ba6f0ed5-77aa-42aa-ae13-e3e16d7e033a;;7;C.10 C.17 C.18 1.1 1.3 1.4 1.6
1-20/10;{A75FF5E0-0090-48D3-8B96-978A6484448F};dataset;7;C.6 C.15 C.17 C.22 1.4 1.8 1.10
1-20/19;2f6a1c5c-cabf-4691-85cd-5d8e365a4658;dataset;5;C.10 C.17 C.18 1.3 1.4
1-20/14;07355581-d7ff-45ce-8fa8-cb550e150a0f;dataset;5;C.10 C.17 C.18 1.3 1.4
1-20/12;a7421f84-81b5-4534-8213-d80ed35ed1d9;;9;C.17 C.18 C.22 1.1 1.3 1.4 1.6 1.8 1.10
1-20/16;bd808198-51a8-477f-928a-8f1b0d0e47d9;;8;C.10 C.17 C.18 1.1 1.3 1.4 1.5 1.6
1-20/3;{AFD58A41-4ACC-48AD-8993-0A3974A9C7BE};dataset;5;C.6 C.17 C.22 1.4 1.10
1-20/2;b7b8db37-8369-43c0-a99d-d9245c519327;dataset;9;C.6 C.17 C.20 C.21 C.22 1.3 1.4 1.6 1.10
101-120/10;{BF06DAE8-E8D6-480F-AA83-B402D6955679};;4;C.17 1.1 1.4 1.10
101-120/11;dff9b3f2-6efa-4477-89cf-9ef9331712c7;;8;C.17 C.18 C.22 1.1 1.3 1.4 1.6 1.10
101-120/15;{4C0F16D6-5FB6-4429-9D33-B54E30ABB177};dataset;8;C.5 C.15 C.17 C.20 C.21 C.22 1.4 1.10
1-20/13;0c5c109e-b21a-4f79-baf7-f2cf399ad9e8;dataset;4;C.17 C.18 1.3 1.4
101-120/14;ae591f15-386d-44a1-9e23-b3a542700d7e;;7;C.17 C.18 C.22 1.1 1.3 1.4 1.10
101-120/19;{D426C6C9-DEB6-4819-A16F-5996F301F112};dataset;6;C.5 C.6 C.17 C.22 1.4 1.10
101-120/12;4182b7dd-f5f7-47c9-9ac7-02ed5e47539c;dataset;15;C.5 C.6 C.10 C.15 C.17 C.18 C.20 C.21 C.22 1.3 1.4 1.8 1.9 1.10 1.11
101-120/4;d06a1bdf-1547-46b7-8e06-fda900ca29da;dataset;8;C.5 C.17 C.20 C.21 C.22 1.3 1.4 1.10
101-120/8;389b6ef3-780d-4e35-b98b-2b6cc19e8b04;;7;C.17 C.18 C.22 1.1 1.3 1.4 1.10
101-120/18;{3AB02083-F8A8-4E06-856C-F46C4908C0E0};dataset;6;C.5 C.17 C.21 C.22 1.4 1.10
101-120/16;{C931226C-2B7C-4FC8-881B-DA0B5D27BE2B};dataset;5;C.5 C.17 C.22 1.4 1.10
101-120/3;{25C0686A-FF76-4A12-B6BA-38A9B0DF400B};dataset;7;C.5 C.6 C.17 C.21 C.22 1.4 1.10
