file_id;md_id;type;error_count;errors
1-20/10;c15dad46-b20b-4100-a638-e4f85189c69d;service;2;C.5 C.17
1-20/12;e2d3167f-0add-433b-b33c-42e169516e31;service;3;C.5 C.17 3.6
1-20/14;83d8b91d-1491-4aec-b4c8-a9450a86b95d;service;2;C.5 C.17
1-20/11;6e755acc-9d80-4715-95ce-5aff34aac8c3;service;2;C.5 C.17
1-20/18;65014cc7-f9f0-4747-a013-dbfe4d7a9734;service;3;C.5 3.6 3.7
1-20/15;0c0f114d-a8ee-444d-8a88-93459bccf506;service;2;C.5 C.17
1-20/16;666e4559-60bf-4a1d-9e72-c43502a9a58b;service;3;C.5 C.17 3.6
1-20/3;7dc3bb2a-8929-49d5-a465-9af965fb556a;service;3;C.5 C.17 3.6
1-20/19;57c7fca8-c652-44f0-9762-688614891286;service;3;C.5 C.17 3.6
1-20/2;50263c33-74bc-4ea8-b44e-a0c470e57904;service;3;C.5 C.17 3.6
1-20/1;aac7c7d9-5101-49f2-870e-6e88c9633a38;service;2;C.5 C.17
1-20/7;8c2c434b-07f7-4ebc-9bc6-9c15cdd75c4c;service;3;C.5 C.17 3.6
1-20/5;66a366e5-59c0-45fe-8750-dbf8a92594de;service;2;C.5 C.17
1-20/4;5247832f-9f6d-46c6-a1ff-9d0fa5371ec1;service;2;C.5 C.17
101-120/10;56d76f1c-0bee-4775-b2f4-4af06322449c;service;2;C.5 C.17
1-20/9;7ef006f0-8229-4ba3-a3b6-06249fbd1a72;service;2;C.5 C.17
101-120/18;ba518936-f9b3-4363-b5c6-9118acb1d88c;service;2;C.5 C.17
1-20/13;a5222afa-3a85-4ad8-81a1-c638497482be;service;2;C.5 C.17
101-120/12;9bb12a44-8f3a-469c-b78f-676e6e5f6a48;service;2;C.5 C.17
1-20/8;010e6d6b-5ba7-4d1c-9b2e-e5dc6133fc79;service;3;C.5 C.17 3.6
1-20/17;640297dc-0fbf-49c1-9266-1f82ac545260;service;2;C.5 3.6
101-120/11;7790f618-eb6a-4c4a-a925-8a605565ae92;service;3;C.5 C.17 3.6
101-120/3;d89437af-03ba-40c4-bc9d-c977e9787636;service;3;C.5 C.17 3.6
101-120/16;c1f5f3de-ce2d-4104-bee3-2560c5a5a948;service;2;C.5 C.17
101-120/15;725712bc-2084-45df-b85e-2f64bd80ed1b;service;3;C.5 C.17 3.6
1-20/20;44eeffdc-6069-4000-a49b-2d6bfc59ac61;service;2;C.5 5.3
101-120/19;010c3fc4-3551-47aa-b10a-e01735bd1c0f;service;3;C.5 C.17 3.6
101-120/2;8406c157-70cc-40bc-999d-87ebdb94dcdb;service;3;C.5 C.17 3.6
101-120/5;de394500-fd30-405c-ab1d-e3be54d01126;service;3;C.5 C.17 3.6
101-120/7;00f64065-9035-4ff4-8f99-c17d50227247;service;2;C.5 C.17
101-120/4;290e3e93-2811-4859-9b5b-08c608e4678f;service;2;C.5 C.17
1-20/6;113f3651-cfbd-4a9e-b9fe-54d49021c87f;service;2;C.5 C.17
101-120/9;f6451bea-403e-4fa3-9648-a87d542e9a33;service;2;C.5 C.17
121-140/10;d6aebd82-dc35-4181-a825-beee78e62d8d;service;1;C.5
