file_id;md_id;type;error_count;errors
101-120/1;https://data.gov.sk/set/rpi/gmd/156850/e0b39c05-114d-428f-a41f-d37a3af341b5;service;3;5.2 5.4 5.5
101-120/18;https://data.gov.sk/set/rpi/gmd/156850/590f7542-5c50-4eba-90ef-639fde8cf48b;service;1;3.6
121-140/12;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_CSKN_VMUO;dataset;1;1.10
161-180/10;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_AP-K_DO;dataset;1;1.10
161-180/12;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_AP-K_SKO;dataset;1;1.10
161-180/16;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_GNN;dataset;1;1.10
161-180/14;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_DMR3.5;dataset;1;1.10
161-180/18;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_Hm-3VM-raster;dataset;4;C.20 C.21 C.22 1.10
161-180/9;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_AP-K;series;1;1.10
181-200/12;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_KladyZBGISraster;dataset;4;C.20 C.21 C.22 1.10
161-180/13;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_DBO;dataset;1;1.10
181-200/16;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT02;dataset;1;1.10
161-180/17;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_GNS;dataset;1;1.10
161-180/20;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_HRANICA_KR;dataset;1;1.10
181-200/2;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_HRANICA_OK;dataset;1;1.10
181-200/14;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT01_DMP1.0;dataset;1;1.10
181-200/18;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT02_DMR5.0;dataset;1;1.10
181-200/1;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_HRANICA_OB;dataset;1;1.10
201-220/12;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT08_DMP1.0;dataset;1;1.10
181-200/3;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_HRANICA_SR;dataset;1;1.10
181-200/13;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT01;dataset;1;1.10
181-200/17;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT02_DMP1.0;dataset;1;1.10
181-200/20;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT03_DMP1.0;dataset;1;1.10
201-220/10;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT07_DMR5.0;dataset;1;1.10
201-220/16;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT09_DMR5.0;dataset;1;1.10
201-220/14;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT09;dataset;1;1.10
201-220/2;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT04;dataset;1;1.10
201-220/18;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT10_DMP1.0;dataset;1;1.10
201-220/5;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT05;dataset;1;1.10
201-220/3;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT04_DMP1.0;dataset;1;1.10
201-220/9;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT07_DMP1.0;dataset;1;1.10
201-220/1;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT03_DMR5.0;dataset;1;1.10
201-220/7;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT05_DMR5.0;dataset;1;1.10
201-220/13;https://data.gov.sk/set/rpi/gmd/17316219/SK_UGKK_ZBGIS_LiDAR_LOT08_DMR5.0;dataset;1;1.10
21-40/12;https://data.gov.sk/set/rpi/gmd/00156884/2a253844-edd9-499a-a44b-40e183f270f8;dataset;8;C.5 C.17 C.18 C.20 C.21 C.22 1.6 1.10
21-40/10;https://data.gov.sk/set/rpi/gmd/00156884/d6d426e4-81b7-41fe-b0e6-1acbff5df7df;dataset;8;C.5 C.17 C.18 C.20 C.21 C.22 1.6 1.10
