file_id;md_id;type;error_count;errors
21-40/1;{3D9A6BAB-8289-4FDF-A773-AE9FAC20E7EB};service;4;C.5 C.17 3.1 3.8
21-40/13;{5BAF8548-38E2-4C71-BFC6-7D5196F4F604};dataset;3;C.5 C.17 1.6
21-40/19;{6B3DB77C-7ED5-4A5D-863A-0F2CE6AAC2FA};dataset;3;C.5 C.17 1.6
21-40/14;{5D162423-733E-4B00-B987-965F8E7B4253};service;4;C.5 C.17 3.1 3.8
21-40/10;{54B2F519-ED41-4643-A900-931D5567350D};dataset;3;C.5 C.17 1.6
21-40/2;{3DB4F361-DF93-4B8B-9682-1CCC0DAD5AF0};dataset;3;C.5 C.17 1.6
21-40/15;{5FF0256E-25AC-45C6-9316-E930C537F489};service;4;C.5 C.17 3.1 3.8
21-40/12;{5A6BA53A-ED84-4B1C-AB84-77A3B345AEAF};service;4;C.5 C.17 3.1 3.8
21-40/6;{4A977170-1DB0-422D-8785-B7A56F114EF0};service;4;C.5 C.17 3.1 3.8
21-40/11;{55C3E752-F5B0-436D-A0BD-57AB0E8A615B};service;4;C.5 C.17 3.1 3.8
21-40/16;{6475AA26-405B-46E3-8EC9-DACBB109AE15};service;5;C.5 C.17 3.1 3.6 3.8
21-40/18;{690E5D74-5B02-4023-9B3C-A1723C135E53};service;4;C.5 C.17 3.1 3.8
21-40/20;{6E850088-2B24-419F-A89A-BAE083768A67};dataset;3;C.5 C.17 1.6
21-40/8;{4C9320CE-C286-4304-90C4-566072B97D2E};service;5;C.5 C.17 3.1 3.6 3.8
21-40/3;{42F44F65-F937-45CC-B6F0-19FC0AA0F18B};dataset;3;C.5 C.17 1.6
21-40/7;{4C79CAD9-C567-4780-A74B-FEF8944FA3FE};service;5;C.5 C.17 3.1 3.6 3.8
41-60/11;{910D3597-19EA-4506-8588-A2070CC94BBA};dataset;3;C.5 C.17 1.6
21-40/9;{52B81654-4FBC-4639-96E8-07DDD5171198};service;5;C.5 C.17 3.1 3.6 3.8
21-40/5;{47A0B4A5-DF13-4AB7-A956-2B6A27CABEF7};dataset;3;C.5 C.17 1.6
41-60/12;{92FF1934-8B6B-4FE9-9B89-A00E67C5709F};dataset;3;C.5 C.17 1.6
41-60/17;{9B769ED0-9F20-46E6-A3BB-8895CF5D959F};dataset;3;C.5 C.17 1.6
