file_id;md_id;type;error_count;errors
1-20/14;000336b4-b015-4b2c-87fa-87100a8f34c5;dataset;5;C.5 C.17 C.18 1.6 2.4
100001-100020/12;846e0914-15b2-4547-88e8-524add39d4ad;dataset;5;C.5 C.17 C.18 1.6 2.4
100041-100060/5;847b4ca7-2aa9-4167-91b9-df93cc11de07;service;1;3.6
10001-10020/4;0d2c0b81-a7bc-48c4-a1b1-0685af4de504;dataset;5;C.5 C.17 C.18 1.6 2.4
100061-100080/5;8480b9c4-cf68-4149-acde-fa2cbcfac197;dataset;4;C.5 C.14 C.17 1.6
100081-100100/12;848d33d6-7987-5803-8f61-70f733f84d6e;service;1;3.6
100041-100060/10;847d1355-706b-49cf-8e9a-6cf1894fa314;dataset;2;C.17 2.4
100101-100120/16;849497eb-9600-4339-8083-2ada17ff2a85;dataset;4;C.5 C.17 C.18 1.6
100101-100120/9;8491e1f7-58fc-48e2-a409-bcba6aa664aa;dataset;4;C.5 C.17 C.18 1.6
100121-100140/16;849aef71-cb4e-39ae-4704-f47022c2ac6c;dataset;4;C.10 C.14 C.16 C.17
100141-100160/12;849ff678-89d0-4998-a821-89565e12de38;dataset;5;C.5 C.17 C.18 1.6 2.4
100141-100160/5;849e7c60-bb1d-4421-ac3c-786cc8ddd2eb;dataset;5;C.5 C.17 C.18 1.6 2.4
100001-100020/10;846d59cc-2225-0002-995e-0c8455959213;service;1;3.6
100001-100020/11;846d59cc-2225-9995-5ca0-49dcddbf351e;service;1;3.6
100281-100300/5;84cdfb44-4298-438b-bbae-bb0ba1c42c54;dataset;4;C.5 C.14 C.17 1.6
100281-100300/9;84cffe3e-eca9-4f22-9956-7166aa2a0d9f;service;1;3.6
100021-100040/4;84738f66-5aa6-445d-9d1a-9e859b364941;service;1;3.6
100301-100320/5;84d58937-805b-4325-99c2-7db11138bd32;service;1;3.6
100041-100060/18;847ef374-06d7-4f44-bb40-82d6cb3211a4;dataset;4;C.5 C.14 C.17 1.6
100321-100340/5;84de5e42-b67e-4d4d-ad3a-f104dc4fe3c7;dataset;5;C.5 C.14 C.17 C.19 1.6
100341-100360/12;84e3f590-c560-4a19-99c2-9577159a2d34;dataset;2;C.17 2.4
100061-100080/13;848509ad-954b-4aa3-b98c-d835ae8ba793;service;1;3.6
100361-100380/16;84edf254-be97-4bcb-822c-32a7765048c6;dataset;1;C.17
100381-100400/5;84f0dd44-96fe-42b8-a661-a41a325e2925;dataset;5;C.5 C.14 C.17 C.18 1.6
100081-100100/19;848f9a3e-4aa7-413b-b291-ce5d2e824d95;dataset;4;C.5 C.17 C.18 1.6
1001-1020/10;01535bcd-68d1-45fa-a809-02c2dfd8cb02;dataset;3;C.17 1.6 2.4
10041-10060/12;0d3bb9c5-cd93-cd4a-01cf-066c10580957;dataset;2;C.6 C.10
1001-1020/7;0150f544-bc7d-451e-b2cf-f36fd5270f08;dataset;5;C.5 C.17 C.18 1.6 2.4
1001-1020/4;014f8882-22e2-40ca-929c-162f17c71265;dataset;5;C.5 C.17 C.18 1.6 1.10
100101-100120/18;84958dcb-2745-44c9-afba-ca02bfa8777d;dataset;5;C.5 C.17 C.18 1.6 2.4
100101-100120/17;84951a44-e7b8-4649-9233-efcfe2e92c34;dataset;3;C.17 1.6 2.4
100461-100480/2;850b5df8-bb3a-47d0-b666-8b4ccaac0805;service;1;3.6
100121-100140/1;849632fa-fa05-41fa-b544-c34e8ab15dc2;dataset;5;C.5 C.17 C.18 1.6 2.4
100141-100160/18;84a49289-8e39-43f9-8ecb-3a05782ca88c;dataset;6;C.5 C.17 1.6 2.1 2.3 2.4
100541-100560/2;8522d8c6-1687-da21-6852-73b96245c39d;dataset;2;C.6 C.10
100141-100160/6;849ec3c1-e0b8-4853-acbc-1c279aa1801e;dataset;5;C.5 C.17 C.18 1.6 2.4
100561-100580/5;85281b9a-545d-4f14-922a-85850ffb3f17;dataset;2;C.17 2.4
100581-100600/9;8530eb13-d79a-4a36-b546-fabfc18c6714;dataset;5;C.5 C.17 C.18 1.6 2.4
100161-100180/6;84a72d0f-7056-4a6f-bbed-8c9ae354b18d;dataset;5;C.5 C.14 C.17 C.18 1.6
100181-100200/10;84acf43d-1ff2-4d5d-8969-921744518d9a;dataset;4;C.5 C.17 C.18 1.6
10061-10080/12;0d44f9a2-2d8a-4fd9-98e2-f32ddeeaf3c9;dataset;4;C.5 C.17 C.18 1.6
10061-10080/2;0d410e3c-7fa8-47f7-ae5d-c4db9992f663;dataset;7;C.5 C.14 C.17 C.18 1.6 1.8 1.10
10061-10080/5;0d41cd18-3eb7-4b29-8880-fe434e358506;service;3;C.15 C.17 3.8
100181-100200/7;84abfa34-427f-417d-a71c-2d509c568653;dataset;6;C.5 C.17 C.18 1.6 2.4 2.6
100621-100640/2;853a955e-03e9-4f72-b69b-1f8e1416dca2;dataset;5;C.5 C.17 C.18 1.6 2.4
100641-100660/12;8543d8a7-af6f-44e8-af2e-ea21983fec19;dataset;5;C.5 C.17 C.18 1.6 2.4
100181-100200/8;84ac2013-8927-44ca-9580-f9389e66bc0e;dataset;5;C.5 C.14 C.17 C.18 1.6
100641-100660/16;854468eb-a835-ad30-9cec-24c8a32db53d;dataset;1;C.17
100201-100220/13;84b6a310-b868-461f-acf2-da61eefa480f;dataset;2;C.17 2.4
100201-100220/17;84b874f5-bcbd-4d7f-b878-2a0769002a60;service;1;3.6
100201-100220/15;84b74048-130f-4f3f-bfef-553e52278a13;service;1;3.6
10021-10040/11;0d33686c-2867-a065-3ab4-c27ada63a743;service;1;3.6
100221-100240/1;84b96151-912a-d329-2853-a4faf3e3b934;dataset;2;C.6 C.10
100721-100740/2;855e23d6-6beb-4b6f-ac88-abbc969d787c;dataset;5;C.5 C.17 C.18 1.6 2.4
100761-100780/16;857189cf-2940-4b6c-830b-763cbca93bf0;service;1;3.6
100221-100240/8;84bb25eb-227c-4742-9369-34d05ea47cac;dataset;4;C.5 C.17 1.6 2.4
100241-100260/6;84c15db8-6d71-41a7-8df5-16c726977d7e;dataset;5;C.5 C.17 C.18 1.6 2.4
100261-100280/13;84c982e1-4b6b-4152-808a-b6a87732a04f;service;4;C.15 C.17 3.6 3.8
100241-100260/19;84c582f1-c10d-4c87-ae7e-092bcd03031a;service;1;3.6
100261-100280/11;84c8ce6a-8b27-4891-9317-c32eeffad26c;dataset;3;C.17 1.6 2.4
100281-100300/14;84d08b55-d46d-4493-9445-41152c06c393;service;2;C.17 3.8
100841-100860/5;858ca7e0-862e-4f80-9505-aa0a39292fb0;dataset;5;C.5 C.14 C.17 C.18 1.6
100281-100300/7;84ce60f5-ac21-42bc-98f6-b065f7d2fb8a;service;1;3.6
100861-100880/9;85941a63-266f-40ed-be29-0f6bd9d51166;dataset;5;C.5 C.17 C.18 1.6 2.4
100901-100920/2;859dedb9-501f-4d7f-89af-f2a05120ace1;dataset;6;C.5 C.6 C.14 C.17 C.18 1.6
100901-100920/9;85a1d598-287e-4efd-8799-c655b59d4453;dataset;1;2.4
100321-100340/18;84e1595a-0baa-6f71-530a-41f5e570371f;dataset;1;C.17
100941-100960/12;85b1e41b-2b7e-4333-a858-a6026935a289;dataset;5;C.5 C.17 C.18 1.6 1.10
100341-100360/14;84e4dded-cf0c-4e82-8299-c305ffc0124d;dataset;5;C.17 C.18 1.10 2.1 2.3
100361-100380/14;84edc830-9f61-465e-a1af-60ec7e58f909;dataset;5;C.5 C.16 C.17 1.6 2.4
101-120/5;0023127d-279e-4a9a-ab7b-8bb67722d485;dataset;3;C.17 1.6 2.4
