file_id;md_id;type;error_count;errors
1-20/12;{1F0C5883-9DF7-4C46-801B-E15B9635878B};service;1;3.6
1-20/3;{0B6920AA-F7DB-4699-8400-D4FB0B9183B4};service;1;3.6
1-20/5;{1557EBA1-D0DF-4C27-9E03-A1D1B1961A19};service;1;3.6
101-120/11;70003098-ETAK-ajakohane_ortofoto;dataset;1;M.1
121-140/10;9c8f4aa4-afb2-4290-8604-b283bdf4574b;service;1;3.6
121-140/13;a7cb22ce-f532-4e81-8212-72acb00124a6;service;1;3.6
101-120/19;7d6865aa-f792-4aae-877a-eb17d41d23e6;service;1;3.6
101-120/3;5def450a-3991-4afa-89aa-f25ba92bd20e;service;1;3.6
121-140/11;9d46cd3f-3f25-4bb7-aee5-55fca6744c3f;service;1;3.6
121-140/9;9b3bc243-8fbb-4e96-871c-856e1849045d;service;1;3.6
121-140/14;ab699534-25b1-49ec-a3f2-1744ba7827a8;service;1;3.6
141-160/14;f8f3392d-0a64-4f75-96e4-2366fbae0835;service;1;3.6
141-160/13;ee3ce4f1-175d-4cbe-95d9-89a1add5cfb0;service;1;3.6
161-180/18;maaamet_muld;dataset;1;M.1
141-160/3;ce3ec331-6ab2-4390-9827-b3363fb25e76;service;1;3.6
181-199/4;pollud_wms.xml;service;1;3.6
21-40/18;{7CE5C798-E4BD-4524-B342-DAE744130733};service;1;3.6
181-199/15;stat_rahvastikutihedus;dataset;1;M.1
21-40/5;{3FD71030-4552-4554-A53C-09F3012C81CE};service;1;3.6
41-60/13;{C0F81D70-5B0E-4025-AA89-4F9F86ED52C7};service;1;3.6
41-60/6;{9F21422C-9F49-429F-B702-5794361ACB2F};service;1;3.6
21-40/9;{448A5BD5-9ED4-47E0-A4A3-99A939986466};service;1;3.6
21-40/17;{7BF84D11-1FD5-4B44-8C78-14B07BD4EDBD};service;1;3.6
41-60/2;{89CF0B9F-8194-4F95-99BD-31D792B18227};service;1;3.6
41-60/1;{889362F4-D86B-4135-81AB-73B707887832};service;1;3.6
61-80/1;{D15252CB-06C5-4DFE-97C9-7EAEAC59B67E};service;1;3.6
41-60/18;{CD6154CE-DDBC-4B75-AC9B-C5D9A52D2E54};service;1;3.6
41-60/20;{D11C538F-D257-4348-BCB3-56741D0E69A8};service;1;3.6
61-80/15;06147016-33c7-4d8f-8290-103c79b22fda;service;1;3.6
81-100/13;42b75ebb-7b60-4900-979d-b9abd854ff1d;service;1;3.6
81-100/5;2af8e971_3.xml;service;1;3.6
81-100/8;31078b99-87d2-400f-a38e-067d6634c66a;dataset;1;M.1
61-80/3;{D3A7EEE8-813B-43AA-97E7-3229AAA3E8EE};service;1;3.6
81-100/11;404848dc-e90a-41e9-9376-16bb6ddc02bd;service;1;3.6
81-100/9;37eda4de-d978-4d82-9c9c-e7b0a997afaa;service;1;3.6
