file_id;md_id;type;error_count;errors
1-20/4;1612962963111r7092030960141382;service;1;3.6
1-20/5;1612961335978r5649704689624544;service;1;3.6
1-20/7;1612963361279r1510945931975367;service;1;3.6
101-120/12;{1A7DA612-B279-432C-8F46-BD6DB4E5FF66};dataset;1;2.6
101-120/18;http://gmlid.eu/RO/ENV/ART12BD/MD;dataset;1;2.2
1-20/6;1612960698701r14324171547162834;service;1;3.6
101-120/1;{4103EA13-09AC-4555-81F3-87ECF0EB9D57};dataset;1;2.6
101-120/13;{EF2288C9-E05C-4674-AC9E-56DA840857FA};dataset;4;2.1 2.3 2.4 2.6
101-120/7;{A4AC115F-68F8-4E48-9705-C2741D49D1BB};dataset;1;2.6
121-140/10;{C7E1F5B5-3786-45DC-970E-20F0F5DFD0A8};dataset;1;2.6
101-120/17;{BBD4959B-159E-47AC-9635-997EFBD28123};dataset;3;2.1 2.3 2.6
121-140/14;{0407148E-0DFA-4277-8D87-66BDF631150B};dataset;4;2.2 2.4 2.6 M.2
121-140/2;{DBC03720-1B7A-458F-BFA3-4F65C2D9F81F};service;1;C.1
101-120/20;{86C6505A-D945-411C-8A03-6F329A33702F};dataset;1;2.6
121-140/8;{6846C67A-8D11-410F-B7A7-F23859EA2973};dataset;2;2.4 2.6
121-140/1;{C83DE480-CF87-4941-BF69-3CDF12756CAF};service;1;3.6
121-140/9;{977A592A-E0A3-4DE8-B185-5BE00019B27E};dataset;1;2.6
121-140/3;{024A6373-F69F-46C4-A7D3-FEE21F2521E5};dataset;2;2.4 2.6
121-140/7;ZARRUR;dataset;1;2.4
121-140/13;{36B00D79-7CAC-44D0-8B06-84C3B4789D6C};dataset;4;2.1 2.3 2.4 2.6
141-160/15;{37457D52-AA27-4FD9-89F7-D472A25AA920};dataset;1;2.6
121-140/17;{FF1054B1-D82C-4059-961A-DE9DB20760B3};dataset;2;2.2 2.6
141-160/14;{369AD4BD-40BC-443E-B851-4C3A0CCC588D};dataset;1;2.6
141-160/4;{FF5DAE75-503C-427C-8FCB-6C7DB643350B};dataset;1;2.6
141-160/8;{BF5FF1A9-0FC4-4866-BFAE-522DA1AE0F49};dataset;4;2.1 2.3 2.4 2.6
141-160/1;{69F31134-166F-49D8-BF1E-3BCFEB52DF54};dataset;3;2.1 2.3 2.6
141-160/3;{0897D15C-9969-4AEA-B2B3-0795A58F2DBF};dataset;4;2.1 2.3 2.4 2.6
141-160/7;{D1A36273-402A-42B3-9CC0-01B39DF98F70};dataset;3;2.1 2.3 2.6
161-179/12;{E0497D55-8D69-49E6-9C0E-FD90291018F9};dataset;1;2.6
161-179/14;{79C2E499-1D3D-486A-B5D5-5E6A0419AF8F};dataset;1;2.6
141-160/20;{D4A16F64-DD5F-41FC-8863-CB4491ED058B};dataset;1;2.6
161-179/16;{548E7A4C-7F57-4EEF-B174-DDC2A657EE2D};dataset;3;2.2 2.6 M.2
161-179/2;{3E996DE5-8B66-4EDB-B3F8-E00EB97CCDD1};dataset;1;2.2
161-179/18;{755F5889-0CFD-41BF-AC72-9B61ACFA9558};dataset;2;2.4 2.6
141-160/6;ZRRRUR;dataset;1;2.4
161-179/5;{B5881FB0-EB68-445B-96DC-43841C7159FD};dataset;1;2.6
161-179/4;{2DFBA335-5730-43E5-8DE4-FD25A5420DEB};dataset;1;2.2
21-40/12;PerimetreMiniereExplorare;dataset;1;2.4
161-179/17;PerimetreMiniereExploatare;dataset;1;2.4
21-40/16;{0E25277D-5053-47BD-97D4-7271DD75100F};dataset;1;2.6
21-40/13;{3A2744FE-5C8A-4010-A088-63B03AE96704};dataset;1;2.2
21-40/19;{A9F9A39F-A991-461A-A3C8-8DA8A9664BC0};dataset;1;2.6
21-40/17;{649BD1A7-A090-4ACE-B794-469EBE69E2B6};dataset;1;2.6
21-40/6;{69E9057E-3C78-49AE-A563-50F35FF71CAF};dataset;1;2.2
21-40/9;{E536A550-1D53-40D6-8BFC-DBD6A9CB284A};dataset;4;2.1 2.3 2.4 2.6
41-60/1;{97C84727-1EF8-4532-82F6-E4FF64277816};dataset;2;2.2 2.6
41-60/12;{43848749-8CC7-4C73-A229-355E90AE0AED};dataset;1;2.2
41-60/13;{3272D13B-E22B-4038-B556-6BD3D3593189};dataset;1;2.6
41-60/4;{A645FF88-4BD0-484D-91F2-D555E54FDB5A};dataset;4;2.1 2.3 2.4 2.6
41-60/5;{A06F08BB-764D-4E9D-95C4-E82E1C5C81C1};dataset;2;2.4 2.6
61-80/15;{0EF475DE-7206-4EF4-B31D-BF3AFA47636B};dataset;2;2.2 2.6
41-60/10;{E345FEDF-11F1-43C7-8C1A-7DD18C4CFE39};service;1;3.6
41-60/14;{58A5960D-901A-47E4-9CEA-FB6F29D15E64};dataset;2;2.2 2.6
41-60/9;{FAEACC94-B4F4-4320-8BAA-0B2BEB691B5C};dataset;1;2.6
61-80/19;{4B28B6ED-D630-4105-9C31-6ED46C0D3242};service;1;3.6
41-60/6;{9D9A9AEE-1AAB-4DEA-A3AF-05B9CAEF1A9B};dataset;2;2.2 2.6
41-60/18;{FB9F48E6-4C6C-44CD-B4E5-64EB2CD76E01};dataset;1;2.2
61-80/4;{ECBE4738-D12D-4207-9F9E-3851E5419419};dataset;2;2.2 2.6
61-80/1;MCO06_RO;dataset;1;2.4
61-80/16;{A0511B76-B467-443C-9029-A43D21F57D41};service;1;3.6
61-80/13;{D156F365-9B28-43BD-9A19-F0C59B474678};dataset;1;2.6
61-80/5;{9E0D2260-72F8-4897-8B5D-2ACC957416AD};dataset;2;2.4 2.6
81-100/11;HB.Habitate;series;1;2.4
81-100/12;{6AFFFE3F-D9A9-4EFC-8D36-8DA008C435D2};dataset;4;2.1 2.3 2.4 2.6
81-100/19;{80DB0090-CAB3-49FF-AE56-9343EE088356};dataset;4;2.1 2.3 2.4 2.6
81-100/4;{A96D59C4-0420-4104-9D68-DF318F77904C};dataset;1;2.2
61-80/6;http://gmlid.eu/RO/ENV/ART17HD/MD;dataset;1;2.2
61-80/14;{703647AD-AD6A-45D1-AFCC-42143FDC9781};dataset;2;2.2 2.6
81-100/20;{EBCAF28F-61A7-4EC4-8CC9-07B54406F918};dataset;2;1.10 2.6
81-100/10;{96123DC5-A299-402C-83BD-88B7C03FFFDC};dataset;2;2.2 2.6
81-100/3;{85A92289-BB7A-4715-8D17-86853BE34044};dataset;1;2.2
81-100/7;{B1B5E1E4-F107-426B-B89F-CA353F5A45F6};service;1;3.6
