file_id;md_id;type;error_count;errors
1261-1280/12;cmfi:2b151ea0-1647-4262-b7bb-5d455acc5860;dataset;1;M.2
1261-1280/6;cmfi:1fa4a141-9859-4544-adcd-71a2ff92b651;dataset;1;M.2
1281-1300/12;cmfi:54b7be99-986e-4d24-b2cd-0f36500c7657;dataset;1;M.2
1241-1260/19;cmfi:11997fab-b3e9-4b62-9f39-da419df9f50a;dataset;1;M.2
1301-1320/12;cmfi:78267c4f-2a7a-4c5b-b43a-488de31c91a5;dataset;1;M.2
1281-1300/6;cmfi:42834af9-3231-4650-be9f-6aa195c5f7a7;dataset;1;M.2
1261-1280/19;cmfi:3b897d05-650c-40f5-8423-2b7a179cd753;dataset;1;M.2
1281-1300/10;cmfi:4bfb50ef-c85b-4dda-a2e3-68d3115f52d4;dataset;1;M.2
1321-1340/13;cmfi:9939f088-ff4f-4b37-863b-757384905249;dataset;1;M.2
1301-1320/10;cmfi:75cd474c-d576-4c33-96b4-cbe472e6fd50;dataset;1;M.2
1341-1360/20;cmfi:b728cba8-1fcc-4b46-af6e-8f6c1a3d5385;dataset;1;M.2
1321-1340/18;cmfi:9fcf0a3f-2051-4844-a4be-f85dba7fcec4;dataset;1;M.2
1361-1380/13;cmfi:d9b3749d-ad91-4dfa-9549-ffaf5c69bca1;dataset;1;M.2
1341-1360/10;cmfi:aeddad87-eb34-47b8-8fdc-29313a7b459f;dataset;1;M.2
1361-1380/17;cmfi:e049c149-faa4-4ad2-8f70-75c9fa93c9e2;dataset;1;M.2
1321-1340/15;cmfi:9b97579d-1e24-4071-bac7-a6e13ae13f4e;dataset;1;M.2
1381-1400/1;cmfi:e803c123-0a63-46b9-9158-1a090c919b2a;dataset;1;M.2
1341-1360/19;cmfi:b6fc5948-7511-4d99-b1a7-94929895cf96;dataset;1;M.2
1341-1360/8;cmfi:aacc1ddc-b011-48bb-93f5-7ef2b127d125;dataset;1;M.2
1361-1380/15;cmfi:db861e52-5982-48a9-ac2c-773546134924;dataset;1;M.2
1581-1600/2;ispra_rm:Meta_MSFD2018_SubReg;dataset;1;M.2
1561-1580/20;ispra_rm:Meta_MSFD2018_Reg;dataset;1;M.2
1581-1600/1;ispra_rm:Meta_MSFD2018_SubDiv;dataset;1;M.2
1581-1600/6;ispra_rm:Meta_NNB_Habitat18DT;dataset;1;M.2
1561-1580/19;ispra_rm:Meta_IED_LCP_2017;dataset;1;M.2
1581-1600/8;ispra_rm:Meta_NNB_Specart17DT;dataset;1;M.2
2361-2380/9;r_emiro:2011-03-23T133326;dataset;1;1.5
2601-2620/19;r_emiro:2015-03-06T183300;dataset;1;1.8
2621-2640/1;r_emiro:2015-03-11T175214;dataset;1;1.8
4421-4440/9;r_friuve:m9221-cc-i7661;dataset;1;M.2
5061-5080/15;r_lombar:17D4656F-2E9D-4951-9DC1-4AD32C0959B1;series;1;M.2
5241-5260/17;r_piemon:507dac27-fec5-42c9-8b1f-e0333d327a01;service;1;3.6
5081-5100/19;r_lombar:837BDA40-DD5E-472F-96F9-0F18E0512790;dataset;1;M.2
5081-5100/8;r_lombar:45E333AC-F967-49C6-A92B-2140F2DCB60B;series;1;M.2
5221-5240/2;r_piemon:3d66aa35-ec44-4d27-812d-687f6e91d15a;dataset;1;C.16
5321-5340/4;r_piemon:7fb2b763-9dc3-465c-b234-f9ce2f21e624;service;2;C.16 3.6
5501-5520/7;r_piemon:e2c6b6cc-e4af-4d8e-b3b1-7fc1102b7d3a;dataset;1;C.16
5581-5600/13;r_toscan:e2b206f6-c3cb-4942-9dd6-c62893ce6198;dataset;1;M.2
5461-5480/19;r_piemon:d1ac5052-59cb-4137-ac0f-f8ce7f11c982;service;1;3.6
5921-5940/6;r_vda:02992-META:20161026:094500;service;1;3.6
5921-5940/8;r_vda:02995-META:20161027:091000;service;1;3.6
5921-5940/10;r_vda:03254-META:20170323:094500;service;1;3.6
5921-5940/5;r_vda:02989-META:20161025:114500;service;1;3.6
5921-5940/9;r_vda:03253-META:20170322:101000;service;1;3.6
5921-5940/3;r_vda:02979-META:20161024:083000;service;1;3.6
5941-5960/1;r_vda:03564-META:20171018:144200;service;1;3.6
5921-5940/7;r_vda:02993-META:20161026:095500;service;1;3.6
5921-5940/4;r_vda:02984-META:20161025:103000;service;1;3.6
701-720/11;arlpa_to:01.02.12-D_2011-06-21-16:23;dataset;1;M.2
841-860/19;arpa_09:03151-META:20170302:081500;dataset;1;M.2
861-880/4;arpa_09:03582-META:20171130:083000;dataset;1;M.2
861-880/3;arpa_09:03155-META:20170302:095000;dataset;1;M.2
