file_id;md_id;type;error_count;errors
1-20/10.iso19139;c30a0cd6-de1c-492c-9e6b-fa28877133cd;dataset;1;1.4
1-20/12.iso19139;066d9bff-a5be-4bef-a7d5-bcf5c9516d87;dataset;1;1.4
1-20/1.iso19139;1c128799-b6cd-4c8a-8859-8addec012dec;dataset;1;1.4
1-20/11.iso19139;8cd0d3d8-a6ff-4e96-8c1c-8bdc495ebd85;dataset;1;1.4
1-20/16.iso19139;0e8807d3-f8f2-407d-90a5-13b4b832762e;dataset;1;1.4
1-20/15.iso19139;bac5c95c-6e7d-4b5f-b2a2-a4003f0ea6ba;dataset;1;1.4
1-20/2.iso19139;IGNF_Contours-IRISr_2-1.xml;series;4;C.18 C.19 1.4 M.1
1-20/14.iso19139;2aaa6104-4479-4230-9aeb-3653d8ba1790;dataset;1;1.4
1-20/13.iso19139;31cff8f2-3b17-408c-9b12-75b4fc187afd;dataset;1;1.4
1-20/18.iso19139;b5ac497f-34cf-4e0b-b6e4-69e9b5981f86;dataset;1;1.4
1-20/19.iso19139;2b303804-e15b-45ea-ab04-bde026820681;dataset;1;1.4
1-20/5.iso19139;814ada90-c186-4a72-8c6e-d6d1c63e4a2f;dataset;1;1.4
1-20/17.iso19139;f2f86512-8a02-45d4-879d-ca0c416d7cb7;dataset;1;1.4
1-20/3.iso19139;IGNF_RGEALTIr_2-0.xml;series;2;C.19 1.4
1-20/4.iso19139;IGNF_BDALTIr_2-0.xml;series;4;C.18 C.19 1.4 M.1
1-20/20.iso19139;fe4778ad-1365-4fe8-8497-bb8b9b5aeec5;dataset;1;1.4
1-20/6.iso19139;dbae92c9-93ce-41fe-9a66-8c4a0ce3a2d4;dataset;1;1.4
1-20/7.iso19139;14cf5199-0b70-4642-95ad-145d3f709d1a;dataset;1;1.4
1-20/9.iso19139;c248febf-da3b-43b9-8e0a-b98f0a0cc5e9;dataset;1;1.4
101-120/12.iso19139;6b880348-e0b9-4056-814b-e72dee431936;dataset;1;1.4
101-120/10.iso19139;d06d9ff5-de7f-4e09-a329-4c9509ea8148;dataset;2;1.4 2.6
101-120/13.iso19139;1a444a87-5e9b-409c-8471-751070b3f189;dataset;1;1.4
101-120/14.iso19139;BDML_DST.xml;series;1;C.19
101-120/17.iso19139;fa77aab3-946a-400f-9ac7-eb2ac9ba40ba;dataset;2;1.4 2.6
101-120/18.iso19139;IGNF_ELF_TransportNetworks_1-0.xml;series;2;C.18 M.1
1-20/8.iso19139;9b96d068-13d5-4409-adfb-bd0d874ec9ee;dataset;1;1.4
101-120/11.iso19139;ef0e5795-b6da-4409-a18b-c4371217115d;dataset;7;C.5 C.15 C.16 C.17 C.19 1.4 1.6
101-120/20.iso19139;4c304016-e1ac-4f07-9a94-68d9296189aa;dataset;4;C.14 C.21 1.4 1.10
101-120/9.iso19139;af19681a-a59e-415e-96e7-329dea1df138;dataset;2;C.14 1.4
101-120/7.iso19139;c365f580-4882-426e-b2da-a3d7f1909af3;dataset;1;1.4
121-140/12.iso19139;e12f94f0-fe9b-11eb-b3c0-7478273ff935;dataset;2;2.1 2.3
101-120/15.iso19139;d28caf03-3e69-40de-976a-5d897dbf90c0;dataset;1;1.4
121-140/16.iso19139;4940fc6e-fe95-11eb-b9a9-7478273ff935;dataset;2;2.1 2.3
101-120/19.iso19139;IGNF_HISTOLITTr_1-0.xml;series;4;C.18 C.19 1.4 M.1
121-140/1.iso19139;6775f31d-c963-49dc-9f8e-f7b86c21c730;dataset;4;C.14 C.21 1.4 1.10
121-140/10.iso19139;78f2e340-fe98-11eb-b8e9-7478273ff935;dataset;3;1.7 2.1 2.3
121-140/13.iso19139;a6d0be1e-1f9c-11ec-871d-7478273ff935;dataset;2;2.1 2.3
121-140/14.iso19139;4dabc05e-1fa1-11ec-84b5-7478273ff935;dataset;3;1.7 2.1 2.3
121-140/2.iso19139;IGNF_BDCARTOr_EM_1-0.xml;series;2;C.18 M.1
121-140/17.iso19139;2366286e-fe92-11eb-980c-7478273ff935;dataset;2;2.1 2.3
121-140/20.iso19139;IGNF_GP_Autocomp.xml;service;7;C.17 C.21 3.6 3.8 5.2 5.4 5.5
121-140/18.iso19139;a64fd4ae-1fa4-11ec-8223-7478273ff935;dataset;3;1.7 2.1 2.3
121-140/5.iso19139;b13746d0-b90a-4546-b79a-1f90cd63f200;dataset;7;C.5 C.15 C.16 C.17 1.4 1.6 M.2
101-120/8.iso19139;de6f681c-27c3-4beb-b028-098c4690f58a;dataset;1;1.4
121-140/9.iso19139;fc2d4a0f-fe99-11eb-8bd3-7478273ff935;dataset;2;2.1 2.3
121-140/3.iso19139;IGNF_ELF_Adresses_1-0.xml;series;2;C.18 M.1
121-140/6.iso19139;3cef08f1-d59b-478b-8606-1b7cd01cd168;dataset;11;C.5 C.15 C.16 C.17 C.19 C.20 C.21 C.22 1.4 1.6 1.10
141-160/1.iso19139;IGNF_GP_Altimetrie.xml;service;7;C.17 C.21 3.4 3.8 5.2 5.4 5.5
141-160/12.iso19139;a47788b6-cce4-4252-8e7f-d188806a90ca;dataset;7;C.5 C.15 C.16 C.17 1.4 1.6 M.2
121-140/11.iso19139;9c825211-1f94-11ec-bd9c-7478273ff935;dataset;3;1.7 2.1 2.3
141-160/16.iso19139;2eca5c1a-4c0b-4480-b9a2-4e70fbd55b0c;series;13;C.5 C.14 C.15 C.16 C.17 C.19 C.20 C.21 C.22 1.4 1.6 1.10 M.2
141-160/10.iso19139;IGNF_INSPIRE_WFS.xml;service;3;C.17 3.6 3.8
121-140/15.iso19139;790547ae-fe75-11eb-b7c8-7478273ff935;dataset;2;2.1 2.3
141-160/2.iso19139;IGNF_GP_R_WMS.xml;service;2;C.17 3.8
141-160/14.iso19139;ebfcd3c5-ea59-4b1a-8ba5-a49038a44e4a;dataset;8;C.5 C.15 C.16 C.17 C.19 1.4 1.6 M.2
121-140/19.iso19139;1ed8a000-d41f-11eb-a4fd-7478273ff935;dataset;2;2.1 2.3
141-160/17.iso19139;30b12e06-3dc8-4763-bd7d-71959c93b242;service;1;C.17
141-160/5.iso19139;IGNF_GP_Isochrone.xml;service;7;C.17 C.21 3.4 3.8 5.2 5.4 5.5
141-160/18.iso19139;IGNF_ADRESSE_PREMIUM_3-1.xml;series;4;C.20 C.21 C.22 1.10
121-140/4.iso19139;IGNF_Iris-GE_2-0.xml;series;4;C.18 C.19 1.4 M.1
121-140/8.iso19139;MNT_NC100m_WGS84_ZNEG.xml;series;2;C.19 M.1
141-160/11.iso19139;IGNF_GP_WFS.xml;service;3;C.17 C.21 3.8
141-160/3.iso19139;IGNF_GP_V_WMS.xml;service;3;C.17 C.21 3.8
141-160/20.iso19139;IGNF_BDCARTOr_4-0.xml;series;4;C.20 C.21 C.22 1.10
141-160/7.iso19139;IGNF_INSPIRE_V_WMS.xml;service;3;C.17 3.6 3.8
141-160/6.iso19139;IGNF_GP_Itineraire.xml;service;7;C.17 C.21 3.4 3.8 5.2 5.4 5.5
141-160/9.iso19139;IGNF_INSPIRE_R_WMS.xml;service;3;C.17 3.6 3.8
161-180/1.iso19139;eba94105-8b60-4731-9720-19f8331b70e9;dataset;6;C.11 C.17 C.18 C.19 1.4 M.2
141-160/4.iso19139;IGNF_GP_OLS.xml;service;7;C.17 C.21 3.6 3.8 5.2 5.4 5.5
161-180/12.iso19139;55668b4c-29f6-4b03-9b5f-2da7394237fd;dataset;8;C.5 C.14 C.15 C.16 C.17 1.4 1.6 M.2
161-180/13.iso19139;9aca5c68-f671-454c-9609-410fe2693b09;dataset;8;C.5 C.14 C.15 C.16 C.17 1.4 1.6 M.2
161-180/10.iso19139;21dee24f-7fa9-4375-8a3e-ce8905a12a65;dataset;9;C.5 C.11 C.14 C.15 C.16 C.17 1.4 1.6 M.2
141-160/8.iso19139;IGNF_WMTS.xml;service;4;C.17 C.21 3.6 3.8
161-180/17.iso19139;37ab340c-46cc-4130-aedf-f1c3a61dcb24;dataset;9;C.5 C.11 C.14 C.15 C.16 C.17 1.4 1.6 M.2
161-180/16.iso19139;c69acf16-af45-47d1-a07b-381326496bbc;dataset;8;C.5 C.11 C.14 C.15 C.16 C.17 1.4 1.6
161-180/2.iso19139;ebef2115-bee5-40bb-b5cc-4593d82ba334;dataset;7;C.1 C.17 C.19 1.4 1.8 2.2 M.2
161-180/14.iso19139;42896f46-e1ea-47c2-ad1d-cd7cfec23f9b;dataset;9;C.5 C.11 C.14 C.15 C.16 C.17 1.4 1.6 M.2
161-180/11.iso19139;b0df884b-6756-4843-9d29-09f695144517;dataset;9;C.5 C.11 C.14 C.15 C.16 C.17 1.4 1.6 M.2
