file_id;md_id;type;error_count;errors
1-20/10;05b0927b-549a-49ae-83d8-32bd4ca6d884;service;5;C.5 C.17 C.18 3.1 3.8
1-20/1;045d3292-ffdc-4474-b090-e7e7d6ceaeb0;dataset;9;C.1 C.5 C.14 C.15 C.17 C.18 C.22 1.6 2.4
1-20/13;0f0f3502-0d93-4b02-8946-04e3831062e2;dataset;10;C.1 C.5 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/11;9cdcab87-7c7e-44a5-8750-e136fef5653a;dataset;10;C.1 C.5 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/16;8ca6ec64-0da5-4c04-b7a8-5f260baf4c2c;dataset;10;C.1 C.5 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/14;c2df41ee-5fd7-48b7-baa9-55e1f34a9d9d;dataset;10;C.1 C.5 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/12;4d113ed7-2989-45d7-a248-3a28ce21d922;dataset;11;C.1 C.5 C.11 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/19;3da254a0-0925-4d44-8ffa-11c03dceb16c;dataset;9;C.1 C.5 C.17 C.22 1.6 2.1 2.3 2.4 2.6
1-20/17;6ea168ea-67a1-497b-b373-d4effb3c3e29;dataset;11;C.1 C.5 C.14 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/15;7d2a999e-5795-426a-b342-42a3f280e518;dataset;11;C.1 C.5 C.17 C.18 C.22 1.6 1.8 2.1 2.3 2.4 2.6
1-20/2;3febf5ce-f94c-4c6e-bece-902ae69db721;dataset;10;C.1 C.5 C.17 C.18 C.22 1.6 2.1 2.3 2.4 2.6
1-20/18;92f8451e-2ed4-4f08-8e70-c3c8e5b2666a;dataset;9;C.1 C.5 C.17 C.22 1.6 2.1 2.3 2.4 2.6
1-20/3;fc1b8edd-a796-4106-b992-7e531f26cfb1;dataset;11;C.1 C.5 C.17 C.18 C.22 1.4 1.6 2.1 2.3 2.4 2.6
1-20/20;38c0a099-ac09-4463-bf6b-b32e56a0619c;dataset;10;C.1 C.5 C.6 C.14 C.15 C.17 C.18 C.22 1.6 2.4
1-20/4;51c6c91e-0222-4df2-b2a7-5c8d88bf0c52;dataset;10;C.1 C.5 C.6 C.17 C.22 1.6 2.1 2.3 2.4 2.6
