file_id;md_id;type;error_count;errors
1-100/12.iso19139;A3932BAB-1DF2-412C-979D-3EFFC97C4EE9;dataset;1;1.7
1-100/2.iso19139;eb5d0db227fe0e9e97c4f3117e50e572f8f86369;service;3;3.4 3.6 3.7
1-100/1.iso19139;d452e5b9-f231-4b97-9486-01f1a13b9c60;service;2;3.4 3.6
1-100/26.iso19139;bd06edc0-cebf-4266-90c7-a815fdb99397;service;1;3.6
1-100/40.iso19139;a03ad76a-b38e-4aea-b95e-264ebad4f090;service;1;3.6
1-100/38.iso19139;a53b417475f0106b560389eede28c97d7a32fa76;service;1;3.6
1-100/63.iso19139;e64fff8c-510d-48a7-b52c-136b95cb3656;service;1;3.6
1-100/45.iso19139;F3DA9428-895E-4637-B480-4D7624DC7171;dataset;1;M.1
1-100/78.iso19139;92398239-87f0-487a-bc18-15f8b4dce2b4;dataset;1;M.2
1-100/39.iso19139;a1385c5a-6c7a-49d0-8e1c-ef9f77a6dc76;service;12;C.5 C.6 C.10 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/67.iso19139;daf1f65c-a1af-4b41-8023-e6910d12ee45;service;12;C.5 C.6 C.10 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
101-200/23.iso19139;6372594d-03ed-4270-97a1-58d43a8a2df6;service;1;3.4
1-100/99.iso19139;98db9c59-3537-4347-b4e3-b1d01ce9a81a;service;1;3.6
101-200/11.iso19139;76f9fc8d-6cac-4fd2-8c22-4ee0d60021ae;dataset;1;M.2
1-100/11.iso19139;B1530091-F07F-4A96-BDE0-91212128B826;dataset;2;M.1 M.2
101-200/21.iso19139;666f31d2-6d43-4329-b52c-eadf7f8eeae4;service;12;C.5 C.6 C.10 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/100.iso19139;9890ec68-fc87-4905-b5f6-5f80a40626ac;dataset;1;M.1
1-100/19.iso19139;c62ddc69-aac1-4737-bd32-a75d681369a1;dataset;7;C.6 C.17 C.18 1.3 1.4 1.11 M.2
1-100/13.iso19139;86371F09-96FD-4645-9E59-2F1184B48639;dataset;1;C.14
1-100/21.iso19139;c3b441cc-3d49-4576-a596-6366ded9d1e0;dataset;1;M.2
1-100/20.iso19139;c56d8289-c61c-4233-9803-fe30c6ba81de;dataset;1;M.2
1-100/33.iso19139;af65874b-17f1-4434-846f-3d655d5d9f87;dataset;1;M.2
101-200/32.iso19139;4f27bbfd-3551-4241-8bc8-34005b7ca952;service;1;3.6
1-100/30.iso19139;b4a3d23a-4bf9-4cb5-8f7d-48d89c4bebcc;dataset;12;C.5 C.6 C.17 C.19 C.20 C.21 C.22 1.3 1.4 1.6 1.10 2.8
1-100/28.iso19139;b6b9a2c1-391e-461c-aa1b-dc3ba69b5899;dataset;1;M.2
1-100/36.iso19139;a8f5d60c-d228-4f1a-9a96-f8ae20fe350d;dataset;1;M.2
1-100/49.iso19139;E63C3FAC-764F-4400-B304-53BDA16F3665;dataset;2;C.10 1.11
1-100/48.iso19139;EC8D41E4-C5E9-4877-803E-CA016622CFB6;dataset;2;1.11 2.4
1-100/56.iso19139;CF7295E1-5C74-497C-8F66-BD7210D3659C;dataset;2;1.11 2.4
101-200/66.iso19139;2931b748-253b-4a1e-92fb-e018a169a5e3;service;1;3.6
1-100/42.iso19139;F89911BB-5893-48E8-9E12-FA6C68B63D7D;dataset;2;1.11 2.4
1-100/85.iso19139;8C2070AB-2D0C-4758-AEE1-6068E813D094;dataset;1;M.1
1-100/46.iso19139;F31C9896-AE59-4784-A18C-56A69A1A701D;dataset;4;C.1 C.10 1.11 2.4
1-100/50.iso19139;E2890526-5821-4548-BF72-0EA52707095D;dataset;4;C.1 C.10 1.11 2.4
1-100/51.iso19139;DD157277-270F-4934-AE54-6EC27CDC6D59;dataset;5;C.1 C.10 1.11 2.2 2.4
1-100/52.iso19139;D92EF091-0E72-44B4-A165-30A15D3C8B5F;dataset;4;C.1 C.10 1.11 2.4
1-100/47.iso19139;EC9CAB0B-58D3-4F45-ADB5-E7BD52F67677;dataset;2;C.10 1.11
1-100/59.iso19139;CC5314D9-549F-404D-BF57-46AD77688BAF;dataset;4;C.1 C.10 1.11 2.4
1-100/58.iso19139;CC6B6FAB-0B0E-404F-AD37-34F2B8FA7E9D;dataset;4;C.1 C.10 1.11 2.4
1-100/6.iso19139;F3F53DCB-F1C7-4ACF-B1CB-7142DCF9D51F;dataset;2;C.14 2.6
1-100/77.iso19139;93DF287F-56A4-4659-A1F2-5789118CA4C9;dataset;5;C.1 C.10 1.11 2.2 2.4
1-100/92.iso19139;BB1A19E1-F4B9-4D0A-9027-6DE8C726864B;dataset;2;1.11 2.4
1-100/57.iso19139;CDAC42B8-A50C-4C3D-AAD7-692727543143;dataset;1;M.1
1-100/54.iso19139;D07F9708-B310-42A1-BC99-EFF9E197AB19;dataset;4;C.1 C.10 1.11 2.4
1-100/65.iso19139;dff067ef-3f35-4921-8f3f-040a745550ae;dataset;1;M.2
101-200/63.iso19139;3510f1f63816bd647006b3cf189ac956d93e0467;service;1;3.6
1-100/64.iso19139;e25d1a52-c99a-4e07-b9c1-fcc7dfa4efd9;collectionSession;17;C.6 C.10 C.17 C.18 C.22 1.1 1.3 1.4 1.6 1.7 1.9 1.10 1.11 2.1 2.3 2.4 2.6
1-100/72.iso19139;d3e19b4f-26da-4684-9182-cc7af6447752;dataset;1;M.2
101-200/95.iso19139;ef47286a-188a-4ee6-9af2-a40f7610a27e;service;1;3.6
1-100/84.iso19139;8DE7BDC8-8C5C-4071-8986-5D5E50EE6220;dataset;2;C.10 1.11
1-100/8.iso19139;E3D9D787-8FBA-45B0-B437-60B118F9B0D0;dataset;4;C.6 1.4 M.1 M.2
1-100/60.iso19139;CB2431BF-9A66-4EFF-8C4C-DBE49DC467FC;dataset;4;C.1 C.10 1.11 2.4
1-100/81.iso19139;918B0F01-CE0B-403A-9EF3-C205EE4E0A86;dataset;5;C.1 C.10 1.11 2.2 2.4
101-200/16.iso19139;6f5c44c0-155d-43a5-9296-39df84ff0637;dataset;12;C.5 C.6 C.17 C.19 C.20 C.21 C.22 1.3 1.4 1.6 1.10 2.8
1-100/83.iso19139;8e4be5f4-0959-4fdf-98bd-a0842f14504b;dataset;1;M.2
1-100/87.iso19139;895EEFD4-FEC8-4116-9DAD-5968949DB1F7;dataset;4;C.1 C.10 1.11 2.4
1-100/90.iso19139;BF3263C5-C63F-40E0-91B4-876372A12FC5;dataset;4;C.1 C.10 1.11 2.4
1-100/68.iso19139;da165110-88fd-11da-a88f-000d939bc5d8;;10;C.10 C.17 C.18 C.19 C.22 1.1 1.3 1.4 1.6 1.10
1-100/80.iso19139;919D0B8E-ED1E-4A2D-A549-13CA9124DD08;dataset;4;C.1 C.10 1.11 2.4
101-200/15.iso19139;7410124c-b9a4-4060-8989-080395d17441;dataset;2;C.1 C.11
1-100/88.iso19139;86200614-9dd1-47e0-91bd-453aea80bd98;dataset;12;C.5 C.6 C.17 C.19 C.20 C.21 C.22 1.3 1.4 1.6 1.10 2.8
101-200/91.iso19139;2534b581-1c25-4110-a957-b58c886c4f30;dataset;3;C.6 C.14 C.17
101-200/68.iso19139;2888dd26-15a5-43fb-92a6-c0a027bdcf05;service;1;3.6
1-100/98.iso19139;99243919-FEAA-4B85-A48F-19785EB8088A;dataset;4;C.1 C.10 1.11 2.4
1-100/94.iso19139;A6717FA6-B0E8-4829-9261-40D95373825A;dataset;2;1.11 2.4
101-200/14.iso19139;743D458F-1CD6-47FC-AEB7-41C8BFE6F7B0;dataset;5;C.1 C.10 1.11 2.2 2.4
201-300/1.iso19139;483c81bf-3e63-4c16-9f9c-68b820e55e6d;service;1;3.6
1-100/82.iso19139;9088F5F0-D20D-41DE-BCA5-5A05C53948F4;dataset;1;2.4
101-200/29.iso19139;5DEBF8FD-1849-40BD-8C50-43969553048F;dataset;5;C.1 C.6 C.10 1.11 2.4
1-100/9.iso19139;CEB2E0B0-9654-4288-A6EA-5793615FF7E8;dataset;1;C.14
101-200/3.iso19139;8182C045-01F1-4F92-8C21-EA6922E3D4B3;dataset;4;C.1 C.10 1.11 2.4
101-200/96.iso19139;e7ddc9fe-66b8-4150-983a-e2ff2d67a934;service;1;3.6
101-200/36.iso19139;480491FB-ED92-4583-A250-4E289F7FCDFF;dataset;2;C.10 1.11
101-200/38.iso19139;46775AD7-904F-4DE9-B62A-9B6C5B86DD01;dataset;4;C.1 C.10 1.11 2.4
101-200/18.iso19139;6878E0FD-058D-437A-BAC1-2EE2D9D32BEA;dataset;4;C.1 C.10 1.11 2.4
1-100/97.iso19139;9C0653AD-A4C5-4A73-8563-1570E48FB826;dataset;5;C.1 C.10 1.11 2.2 2.4
