file_id;md_id;type;error_count;errors
1-100/29.iso19139;3911d57f-2e78-2bba-6014-423e8fb9efbe;service;2;C.17 3.8
1-100/42.iso19139;6f30659a-595e-4a67-bd5e-83338178953c;service;1;3.6
1-100/69.iso19139;6f0767b6-1a52-39a4-a89d-dbf4ca45a5b2;service;1;3.6
100001-100100/2.iso19139;df1c97de-caa6-0493-bab1-f6fb8360da75;service;2;C.17 3.8
100001-100100/50.iso19139;df104a93-b1e7-4634-b463-6a9f85257409;dataset;1;1.5
10001-10100/24.iso19139;44c18155-0074-4926-abad-b1930c91325b;service;1;C.17
100001-100100/33.iso19139;df13d4cd-39e8-484b-94f6-94f613977e63;service;1;C.17
1-100/36.iso19139;6f4c0acb-968e-46c3-bc9d-632402f35e39;dataset;4;C.5 C.17 1.6 2.4
10001-10100/75.iso19139;44bec381-1ec0-7350-65a0-4fa15f029bb7;service;1;3.6
100001-100100/89.iso19139;df041aa0-cccd-5a6f-efa5-f6d041300739;service;2;C.17 3.8
10001-10100/76.iso19139;44bec381-1ec0-0002-f3d3-c86199dd3c3f;service;1;3.6
1-100/57.iso19139;390dd017-a677-4005-9985-32d4ec68ead8;dataset;1;1.5
1-100/80.iso19139;390ab532-c51a-42da-b6cc-d8cfe49c2837;dataset;4;C.16 C.17 C.18 2.4
1-100/82.iso19139;390a80e6-4678-48ae-bd4b-f9cf426a061a;dataset;2;C.17 2.4
10001-10100/57.iso19139;33359e68-f48e-352e-ae76-5643b489cc30;service;1;3.6
10001-10100/74.iso19139;44BED4A2-75B4-47AF-AF9E-969CB248CAB4;service;1;3.6
100001-100100/99.iso19139;df00afb7-5e6a-c0a0-67f6-8a59f6b394d6;service;2;C.17 3.8
1001-1100/41.iso19139;38730240-2AC3-43E6-86A2-6093BF71A136;service;1;3.6
1001-1100/18.iso19139;387bc327-18b8-4b64-ab53-a4e0a04fea0f;service;2;3.6 3.8
100001-100100/7.iso19139;df1b7598-7945-45c8-a852-9f8a9f90ea7c;dataset;4;C.16 C.17 C.18 2.4
10001-10100/96.iso19139;44ba66de-ef44-4835-849d-16adca7a9391;dataset;1;1.8
100101-100200/67.iso19139;dee8cc8c-4684-443f-81ba-9c7f5a53ef6d;dataset;3;C.17 1.6 2.4
100201-100300/86.iso19139;debbec7a-8801-494f-aacb-ed32a1e63c03;service;2;C.13 3.8
100301-100400/79.iso19139;de9d9596-b2ea-4f43-b647-80e7d97d3ca3;service;1;3.6
100201-100300/83.iso19139;debc2939-b6e4-a987-89fd-c8803749fb80;service;2;C.17 3.8
100401-100500/39.iso19139;de8e7d66-0a67-436f-bf35-a92eb0423c1f;dataset;2;C.17 2.4
100401-100500/35.iso19139;de8c4850-e847-9c8b-4d19-a9005c883522;service;2;C.17 3.8
100501-100600/35.iso19139;de6bb2dd-be3b-3d44-8a44-e55e5f119c23;service;1;3.6
100201-100300/34.iso19139;decfe8a6-0cbe-84a6-9cdc-48901e1290fa;dataset;1;C.17
100501-100600/17.iso19139;de70c047-d60c-4821-a55c-b847705b29b0;service;1;3.6
100501-100600/39.iso19139;de6959db-2d14-454c-a997-cc6e96a28b1b;service;1;3.6
100401-100500/99.iso19139;de7566ec-c5f6-464b-896b-68b6673e3988;dataset;1;1.5
100701-100800/3.iso19139;de31f0db-26da-38c4-bd01-512adbae768e;service;1;3.6
100501-100600/34.iso19139;de6c1132-a586-41cc-8ea0-185be40d6eff;service;2;C.17 3.8
100101-100200/78.iso19139;dee454db-8fe8-4d3e-add2-d71fd07942e4;dataset;4;C.5 C.17 1.6 2.4
100401-100500/17.iso19139;de90350c-045e-664a-42e0-3f3dc20fb33c;dataset;1;C.17
100501-100600/7.iso19139;de73d823-22cb-42b4-84e1-47e3bf5ffe29;dataset;3;C.17 1.6 2.4
100501-100600/66.iso19139;de5fee8c-08a7-4644-bb64-d5508b1ca575;dataset;1;M.1
100201-100300/81.iso19139;debd17af-05dc-4cbc-8d51-44d6a3ba1e5c;dataset;1;1.8
100201-100300/89.iso19139;debaf05a-0258-4668-81a2-06f2c417c026;dataset;4;C.16 C.17 C.18 2.4
100301-100400/75.iso19139;de9e9000-c1a9-4e69-806f-56623bb0035b;dataset;3;2.1 2.2 2.3
100601-100700/76.iso19139;de3c6232-c4ff-367d-ad91-e23e7ee3fec4;service;1;3.6
100201-100300/36.iso19139;decf511e-fd92-4d37-81e9-d6aa4d5030e3;dataset;3;C.17 1.6 2.4
100601-100700/74.iso19139;de3ca78d-87e3-3f0e-8115-451be16057d0;service;1;3.6
