file_id;md_id;type;error_count;errors
1-100/28.iso19139;c2d1c8bc-1a08-45c6-b6b3-a325900cdb85;service;3;C.5 C.17 3.8
1-100/79.iso19139;99b44c13-4da7-4f6d-b371-bf2dc9a553d4;service;3;C.5 C.17 3.8
1-100/96.iso19139;8a0f42ca-2e9b-4a2e-a241-b23d8e0a4c77;service;3;C.5 C.17 3.8
101-200/39.iso19139;4b19df69-1da8-435e-b048-30bece9e8e36;service;1;3.6
101-200/95.iso19139;06dfb422-24e8-4b86-a6ba-179699648d33;service;3;3.5 3.6 4.1
1-100/100.iso19139;821014fd-279c-4615-9b97-4bbcc89f664c;dataset;14;C.1 C.11 C.14 C.17 C.19 C.20 C.21 C.22 1.8 1.9 1.10 1.11 2.4 2.6
1-100/16.iso19139;d6300454-a6ad-4c12-8efb-945d975c3d41;dataset;3;C.17 1.8 2.4
1-100/17.iso19139;d5e502b7-6f42-415e-bff6-15c840fb2b18;dataset;2;1.10 M.1
1-100/18.iso19139;d4458df1-b7b9-4de4-8e0b-08701ce80569;dataset;6;C.1 C.16 C.17 C.18 1.4 2.4
1-100/12.iso19139;dba7d8a3-9f66-4f68-b08f-91b59886208f;dataset;5;C.1 C.17 C.18 1.8 2.4
1-100/14.iso19139;d9f65961-a2e3-4216-b807-75cf45042f38;dataset;4;C.17 C.18 1.8 2.4
1-100/20.iso19139;cf20dfd9-0a73-4f8d-ab1b-8c741387620f;dataset;1;M.1
1-100/27.iso19139;c2d39741-a5d5-4498-8154-cd0f9e3765a3;dataset;1;M.1
1-100/40.iso19139;ff3b701d-f43f-4d2c-a68f-3ae9cd173eb5;dataset;3;C.17 1.8 2.4
1-100/55.iso19139;efb3bde8-c5fd-43da-a4d7-02675311dc58;dataset;4;C.17 C.18 1.8 2.4
1-100/34.iso19139;b605b3c3-c314-458f-8e5f-99fe58db3d3a;dataset;5;C.1 C.17 C.18 1.8 2.4
1-100/44.iso19139;fbf953c5-66f6-4a14-b265-181f4851c8b7;dataset;3;C.17 1.8 2.4
1-100/36.iso19139;b228ff10-1951-4f02-9896-04239603d7be;dataset;2;1.10 M.1
1-100/47.iso19139;faab9d3d-ca22-402b-987b-85f25bd2a1ac;dataset;4;C.17 C.18 1.8 2.4
1-100/38.iso19139;b05268ea-8cab-42ab-8c4e-b212cffad46d;dataset;4;C.17 C.18 1.8 2.4
1-100/59.iso19139;ea30fd31-198a-4dcb-9028-8a0b7ba38e3e;dataset;5;C.1 C.17 C.18 1.8 2.4
1-100/7.iso19139;de799711-4bec-4944-92c9-1ee4644ef7ae;dataset;7;C.14 C.16 C.17 C.18 1.8 2.4 M.1
101-200/87.iso19139;111911a9-1e2a-4203-8795-77f127c1443a;service;4;C.17 3.1 3.4 3.8
101-200/94.iso19139;07e51b01-1903-4693-96ef-1284f747dc9e;dataset;4;C.17 C.18 1.8 2.4
1-100/49.iso19139;f886a955-cdc3-4fba-a2bd-5c88f17d5a75;dataset;4;C.17 C.18 1.8 2.4
1-100/39.iso19139;ffe3d438-b164-4951-8205-017652f685f1;dataset;5;C.17 1.8 1.11 2.2 2.4
1-100/66.iso19139;aa3a7589-9759-453b-b679-711bc73d97e1;dataset;1;C.17
1-100/46.iso19139;fac7a26b-52fa-461b-a12a-3c937a211280;dataset;4;C.17 C.18 1.8 2.4
1-100/43.iso19139;fe55c3bc-ef11-4276-8708-545df35aa5b0;dataset;2;C.17 C.18
1-100/58.iso19139;ed309bc7-02f3-4dd2-8deb-f2c422577a27;dataset;3;C.17 1.8 2.4
1-100/80.iso19139;997a39f7-5436-41e0-be97-3886a4cd5daa;dataset;4;C.17 1.8 1.11 2.4
1-100/71.iso19139;a1b21c8e-2276-4386-abd2-3ef4ca5698b8;dataset;1;C.18
101-200/93.iso19139;091f6dde-4a35-4c8e-9299-3a9c28fca703;dataset;5;C.1 C.17 C.18 1.8 2.4
