file_id;md_id;type;error_count;errors
1-100/15.iso19139;d91b4676-ae8d-473c-8372-f44554808da7;service;10;C.6 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/13.iso19139;d92cac20-8741-49f5-b7d0-86f8db506e55;service;10;C.16 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/3.iso19139;e663692b-731a-49de-8058-2aab333689c0;service;10;C.6 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/21.iso19139;d5517e5e-1cc0-45d1-8839-54f9da4f5ebe;service;9;C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/5.iso19139;e44b3414-176d-458c-8af1-703d6ecf0ecb;service;4;C.16 C.17 C.18 3.6
1-100/27.iso19139;d1359dad-6edf-4275-ada0-2e33be8945b2;dataset;8;C.17 C.20 C.21 C.22 1.9 1.10 1.11 2.4
1-100/57.iso19139;ef48fce3-6b6c-4cb6-a573-7626f0949ff7;service;10;C.6 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/66.iso19139;bd71e3e3-88cb-4cad-9ad3-f02a0e23aac9;service;2;C.17 C.18
1-100/41.iso19139;ffc0267e-aca8-49ac-8f3e-86c9beca51f2;dataset;6;C.17 C.18 C.20 C.21 C.22 1.10
1-100/100.iso19139;99eb4571-4c34-48cc-bd6a-32fd9decc2a7;dataset;6;C.17 C.18 C.20 C.21 C.22 1.10
1-100/49.iso19139;f6416e51-bf55-445a-946e-3eee2134d131;dataset;8;C.11 C.17 C.18 C.20 C.21 C.22 1.10 2.4
1-100/74.iso19139;b7ec84ac-3e34-48fe-85eb-ecf5e81de26c;service;10;C.6 C.17 C.18 C.20 C.21 C.22 3.4 3.5 3.8 4.1
1-100/11.iso19139;db5a52b4-0f5f-4998-a9a8-dd9539f93809;dataset;6;C.17 C.18 C.20 C.21 C.22 1.10
1-100/12.iso19139;d960a5c8-44e4-4d10-a9f6-95f58568563c;dataset;10;C.16 C.17 C.20 C.21 C.22 1.7 1.9 1.10 1.11 2.4
1-100/10.iso19139;dda92878-86a1-4191-a073-9721671d6bc1;;8;C.17 C.18 C.22 1.1 1.4 1.9 1.10 1.11
