file_id;md_id;type;error_count;errors
1-100/28.iso19139;14b3f603-e6ac-4343-aeae-befe4bba5d55;dataset;1;C.14
101-200/57.iso19139;25c093e9-8ae1-4a66-883b-f696a0343811;dataset;6;C.17 C.18 2.1 2.3 2.4 2.6
101-200/64.iso19139;246b1192-e76a-4501-85e4-80f245d0ef40;service;1;5.2
101-200/79.iso19139;15dca649-1024-43c5-969d-e76bd9909dad;service;1;C.17
101-200/78.iso19139;1610bd04-6324-4eeb-beb6-7e42398ab189;service;1;C.17
201-300/30.iso19139;e16ef750-0c3c-4d9e-ab88-5d6496c5a2d6;dataset;14;C.17 C.18 C.20 C.21 C.22 1.3 1.4 1.8 1.10 1.11 2.1 2.3 2.6 M.1
101-200/87.iso19139;0da4abd0-34b9-4d76-aa5e-c2b566de24fe;dataset;13;C.1 C.5 C.6 C.14 C.17 1.4 1.6 1.10 1.11 2.1 2.3 2.4 2.6
101-200/94.iso19139;08a0c192-bc74-4876-a2bb-fdfb8af7e618;series;3;C.17 C.18 2.4
201-300/69.iso19139;b5948321-f251-4337-8bb0-f3fb4b097e65;dataset;6;C.17 C.18 2.1 2.3 2.4 2.6
1-100/54.iso19139;f321f8eb-cc4b-4c4d-ac8a-0dc97306119c;series;1;C.1
201-300/67.iso19139;ceedcf2e-0229-404c-ae71-1c1b42ca5179;series;3;C.17 C.18 2.4
1-100/89.iso19139;7379e99e-37b4-4d39-945d-0ff06d84fabe;dataset;2;C.14 2.2
201-300/98.iso19139;a9b7081a-8177-4497-bf0e-f4b175656c15;service;4;C.5 C.17 3.1 3.8
101-200/97.iso19139;05b0927b-549a-49ae-83d8-32bd4ca6d884;service;2;C.17 C.18
1-100/90.iso19139;4ea25690-3d66-4284-a0bc-96b0825b082a;dataset;2;C.14 2.2
1-100/51.iso19139;c830f58a-a67c-43c0-aeba-c584f5677be4;dataset;2;C.14 2.2
301-400/42.iso19139;9bd18ea0-6b7a-431d-b8f7-5253434ad211;dataset;3;C.17 C.18 2.4
1-100/73.iso19139;b492b141-4c51-4d6b-81aa-cc468ddd154e;dataset;2;C.14 2.2
201-300/44.iso19139;c5b2b69c-67ae-46fa-95e2-fad587ef4bff;service;1;5.2
301-400/70.iso19139;90e8e5ad-3ead-406b-8520-a86f6747ea27;service;1;5.2
301-400/19.iso19139;b2854b2e-f543-4be6-95e1-bee064a1fea2;service;1;C.17
401-500/23.iso19139;6cbdb30f-7753-4313-ae13-4c594fb71520;service;1;5.2
101-200/80.iso19139;140fab11-27eb-4b32-a7ad-e9afc88db541;service;1;C.17
301-400/33.iso19139;950aad8f-f399-45ef-ae85-3d1ca74f9ecb;service;12;C.1 C.6 C.8 C.9 C.10 C.17 C.18 3.2 3.4 3.5 3.8 4.1
101-200/60.iso19139;24e6a5a3-36d3-48b1-a53c-81ca65e2b9c1;dataset;6;C.17 C.18 2.1 2.3 2.4 2.6
201-300/52.iso19139;d27df8c0-de86-4d13-a06d-35a8f50b16fa;dataset;3;C.14 C.17 2.2
101-200/68.iso19139;20c4d1cc-8ee4-48ba-a7b7-396e0ea171f8;dataset;6;C.17 C.18 2.1 2.3 2.4 2.6
101-200/7.iso19139;236416cc-382d-4475-8f47-5ce2762252f9;dataset;2;C.14 2.2
201-300/81.iso19139;c0c1329e-b749-4cea-ab91-ed296e1421ab;dataset;2;1.3 2.6
301-400/53.iso19139;854239cf-e3cd-4229-81ac-7662ca8fc315;service;1;C.17
301-400/27.iso19139;983739ee-f153-4d45-8d83-e9034c43795e;;10;C.6 C.17 C.18 1.1 1.3 1.4 1.7 1.11 2.6 M.1
201-300/56.iso19139;d04c6201-ea5a-4865-a9eb-3341e6c15a8a;service;3;C.1 C.17 3.8
101-200/1.iso19139;562b0259-8e8f-447a-933a-aa27d57ef8d9;dataset;1;M.1
101-200/15.iso19139;34af5151-8372-495c-a423-4f8de4bde152;dataset;1;M.1
301-400/15.iso19139;a07e0c99-9250-42af-960d-7269eb8b6620;service;1;5.2
501-600/65.iso19139;388b14a5-fb96-4526-9b7f-6505708013a0;dataset;3;C.17 1.4 2.2
101-200/3.iso19139;4dae5686-2a8c-40d8-837f-ce6f5547dba2;dataset;1;M.1
301-400/71.iso19139;909cf5a9-f39b-4869-8484-6709585111d9;dataset;3;C.17 2.4 2.6
301-400/8.iso19139;a363625e-6907-4d3a-9e28-e0b742256777;dataset;4;C.17 1.3 2.4 2.6
201-300/57.iso19139;ce6cb0f6-5285-4ead-bebf-6d5a92ab8b68;dataset;9;C.6 C.17 C.18 1.4 1.8 2.1 2.3 2.6 M.1
301-400/16.iso19139;9f985acf-9a3e-47e7-9136-b5114adfc9d0;service;2;C.17 3.6
301-400/56.iso19139;83e32d31-cd73-483e-8f4b-9f3299a8f9e8;dataset;4;C.17 C.19 2.4 2.6
101-200/45.iso19139;1e528427-5268-40d2-ab76-98dffae48d61;dataset;10;C.6 C.10 C.17 C.18 1.3 1.4 1.8 1.11 2.6 M.1
601-700/1.iso19139;f2b550a2-cdc6-4e20-abff-903994e2c2d5;dataset;1;C.14
201-300/95.iso19139;ba3ba71c-0cd8-4659-bdeb-06f5f7d1ec8e;dataset;6;C.17 C.18 2.1 2.3 2.4 2.6
401-500/32.iso19139;59b1a01f-0cf0-4ba6-9c3d-8fbfebea0be2;dataset;5;C.17 2.1 2.3 2.4 2.6
401-500/95.iso19139;ee20ad8b-c826-4561-b63a-bf203bb481b9;dataset;3;C.17 1.4 2.2
301-400/11.iso19139;a30a77d1-12b6-47b4-a520-a54331bdbf41;dataset;3;C.17 1.4 2.2
401-500/16.iso19139;620dbb8a-90ef-4f4f-aa69-5f53ac65d35f;dataset;4;C.17 C.18 2.4 2.6
201-300/93.iso19139;bb7afec2-1e3c-48a5-bc32-88174451b1f4;dataset;4;C.17 C.18 2.4 2.6
401-500/17.iso19139;61ac1c58-a51c-4354-9c02-daa65f06b435;dataset;6;C.17 C.18 2.1 2.3 2.4 2.6
401-500/54.iso19139;5f0dc908-3b3d-4db5-8eac-ebd173f93421;dataset;1;C.13
501-600/26.iso19139;478d52dd-08b7-4777-b879-8806b1188b27;dataset;3;C.17 1.4 2.2
301-400/40.iso19139;9cf164ed-3f8f-4a97-8b91-da7d294fc184;dataset;4;C.17 2.1 2.3 2.4
501-600/33.iso19139;44d16c6c-7819-4597-8d8b-dfea65a0c328;service;11;C.1 C.8 C.9 C.10 C.17 C.18 3.2 3.4 3.5 3.8 4.1
401-500/61.iso19139;5b68d9de-5cec-4446-aeb2-a8bd2d770979;dataset;3;C.17 2.4 2.6
301-400/24.iso19139;af5d1ee3-f16e-4843-8c66-7c3f6bd011f2;dataset;8;C.12 C.17 C.18 1.8 2.1 2.3 2.4 2.6
401-500/45.iso19139;fc1b8edd-a796-4106-b992-7e531f26cfb1;dataset;7;C.17 C.18 1.4 2.1 2.3 2.4 2.6
301-400/31.iso19139;95c5098e-3a38-48ee-ab16-b80a99f50fef;dataset;2;C.17 2.2
