file_id;md_id;type;error_count;errors
1-100/24.iso19139;MNT_ATL100m_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/45.iso19139;IGNF_GEOSUD_TELECHARGEMENT.xml;service;3;C.17 C.21 3.8
1-100/47.iso19139;IGNF_GP_IIPSRV.xml;service;3;C.17 C.21 3.8
1-100/44.iso19139;IGNF_INSPIRE_TELECHARGEMENT.xml;service;3;C.17 3.6 3.8
1-100/49.iso19139;IGNF_INSPIRE_CSW.xml;service;2;C.17 3.8
1-100/48.iso19139;IGNF_GP_TELECHARGEMENT.xml;service;3;C.17 C.21 3.8
1-100/46.iso19139;IGNF_GP_CSW.xml;service;4;C.17 C.21 3.4 3.8
1-100/88.iso19139;7c546876-b5e6-4637-8b0a-dae56b75c00f;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/90.iso19139;2491e9e7-774a-43de-9345-48846a8074dd;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/92.iso19139;4ab2430c-da26-452a-9da2-1375874e82f8;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/89.iso19139;42b0a579-3587-4b4a-862d-3cc644c7fae4;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/87.iso19139;f6da57d9-2130-47b9-a940-ffd190f3da5c;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/91.iso19139;8d446dd7-7520-4402-8dec-5bc15f8692c4;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/10.iso19139;376ac743-c21e-40ff-9943-ce481f77addd;dataset;1;1.4
1-100/11.iso19139;5671bb51-f6a6-4fce-9d7b-33f7f804eaa8;dataset;1;1.4
1-100/12.iso19139;64dc3015-8cb0-4c42-aa7a-9ccd8e34aeb5;dataset;1;1.4
1-100/100.iso19139;fa77aab3-946a-400f-9ac7-eb2ac9ba40ba;dataset;2;1.4 2.6
1-100/19.iso19139;MNT_REU100m_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/2.iso19139;BDML_LIMITE_LSE.xml;dataset;1;C.19
1-100/15.iso19139;BDML_TCH.xml;series;4;C.17 C.19 1.6 1.10
1-100/18.iso19139;MNT_MED100m_GDL_CA_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/13.iso19139;BDML_EPAVES.xml;dataset;7;C.19 C.20 C.21 C.22 1.4 1.10 M.1
1-100/16.iso19139;MNT_MED100m_CORSE_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/14.iso19139;HOM_GEOL_NATURES_FOND_500.xml;series;1;C.19
1-100/20.iso19139;MNT_ANTS100m_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/21.iso19139;MNT_ANTN100m_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/22.iso19139;MAREE_COURANTS_RAM.xml;dataset;7;C.19 C.20 C.21 C.22 1.4 1.6 1.10
101-200/36.iso19139;IGNF_GP_R_WMS.xml;service;2;C.17 3.8
101-200/38.iso19139;IGNF_GP_Isochrone.xml;service;7;C.17 C.21 3.4 3.8 5.2 5.4 5.5
101-200/40.iso19139;IGNF_INSPIRE_R_WMS.xml;service;3;C.17 3.6 3.8
101-200/34.iso19139;IGNF_GP_Autocomp.xml;service;7;C.17 C.21 3.6 3.8 5.2 5.4 5.5
101-200/37.iso19139;IGNF_GP_OLS.xml;service;7;C.17 C.21 3.6 3.8 5.2 5.4 5.5
101-200/4.iso19139;IGNF_INSPIRE_WFS.xml;service;3;C.17 3.6 3.8
101-200/35.iso19139;IGNF_GP_Altimetrie.xml;service;7;C.17 C.21 3.4 3.8 5.2 5.4 5.5
1-100/28.iso19139;MNT_MAY100m_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/23.iso19139;BDML_LIMITE_LIM.xml;dataset;1;C.19
1-100/30.iso19139;BDML_BALISAGE.xml;dataset;2;C.19 1.7
1-100/35.iso19139;mo0r89f8x401xiwd;dataset;3;1.4 2.6 M.1
1-100/25.iso19139;BDML_CABLES.xml;dataset;1;C.19
1-100/32.iso19139;BDML_RAP.xml;series;1;C.19
1-100/3.iso19139;a6f11ae0-f720-46bd-89d4-560e8cab8c70;dataset;1;1.4
1-100/29.iso19139;MNT_FACADE_PASSION_CLIPPERTON_100m_WGS84.xml;dataset;2;C.17 1.4
1-100/36.iso19139;https://cdr.eionet.europa.eu/fr/eu/eprtr_lcp_2021;dataset;2;1.4 2.6
1-100/27.iso19139;MNT_GUY100m_HOMONIM_WGS84.xml;dataset;3;C.17 C.19 1.4
1-100/34.iso19139;BDML_LIMITE_LTM.xml;dataset;1;C.19
1-100/37.iso19139;http://cdr.eionet.europa.eu/fr/eu/aqd_2021;series;11;C.5 C.10 C.14 C.17 C.20 C.21 C.22 1.4 1.6 1.10 M.2
1-100/26.iso19139;BDML_DELMAR.xml;series;2;C.19 M.1
1-100/33.iso19139;ebef2115-bee5-40bb-b5cc-4593d82ba334;dataset;4;C.1 C.17 2.2 M.2
101-200/39.iso19139;IGNF_GP_Itineraire.xml;service;7;C.17 C.21 3.4 3.8 5.2 5.4 5.5
101-200/62.iso19139;IGNF_GP_WFS.xml;service;3;C.17 C.21 3.8
101-200/74.iso19139;682277ce-cb7d-406e-b946-10ed4db543b0;dataset;10;C.5 C.15 C.16 C.17 C.20 C.21 C.22 1.4 1.6 1.10
1-100/31.iso19139;BDML_LIMITES_PECHE.xml;series;1;C.19
1-100/39.iso19139;3fe1ab94-78d5-407c-942c-ef1d26ed2afe;dataset;1;1.4
1-100/38.iso19139;3cc9aee4-25ee-473e-8139-f4ddfdcff7ba;dataset;8;C.1 C.5 C.14 C.15 C.16 C.17 1.4 1.6
1-100/42.iso19139;IGNF_ELF_Administrative_Unit_1-0.xml;series;2;C.18 M.1
1-100/5.iso19139;b50d2a4b-695f-4939-a93a-f5d66b101b98;dataset;1;1.4
1-100/4.iso19139;9433a0ca-ca3d-42eb-b79b-712ac34119b2;dataset;1;1.4
1-100/52.iso19139;IGNF_BDFORETr_2-0.xml;series;4;C.18 C.19 1.4 M.1
1-100/41.iso19139;60ca04b3-63ae-413f-8e54-7b2ce71d02aa;dataset;6;C.11 C.17 C.18 C.19 1.4 M.2
1-100/51.iso19139;IGNF_ORTHOHR_1-0.xml;series;2;C.19 1.4
1-100/43.iso19139;IGNF_ELF_Buildings_1-0.xml;series;2;C.18 M.1
1-100/54.iso19139;IGNF_BDCARTOr_3-1_HABILLAGE.xml;series;4;C.18 C.19 1.4 M.1
1-100/59.iso19139;IGNF_ADMIN_EXPRESS_COG_2-0.xml;series;4;C.18 C.19 1.4 M.1
1-100/40.iso19139;44ce425d-c3f6-4ab5-97ff-ea130fcaad36;dataset;6;C.5 C.15 C.16 C.17 1.4 1.6
1-100/50.iso19139;IGNF_SHOM_TCH_1-0.xml;series;4;C.18 C.19 1.4 M.1
1-100/56.iso19139;IGNF_BDCARTOr_3-1_RESEAU_FERRE.xml;series;4;C.18 C.19 1.4 M.1
101-200/60.iso19139;f2bffe61-a583-462c-b70d-6651a44167bb;service;12;C.10 C.15 C.17 C.18 C.20 C.21 C.22 3.1 3.4 3.5 3.8 4.1
1-100/55.iso19139;IGNF_BDCARTOr_3-1_ADMINISTRATIF.xml;series;4;C.18 C.19 1.4 M.1
101-200/80.iso19139;de9f53e2-046d-474b-b1c9-b14a891785ee;service;9;C.5 C.15 C.17 C.18 C.20 C.21 C.22 3.6 3.8
1-100/53.iso19139;IGNF_BDCARTOr_3-1_TOPONYMIE.xml;series;4;C.18 C.19 1.4 M.1
1-100/60.iso19139;IGNF_BDCARTOr_3-1_HYDROGRAPHIE.xml;series;4;C.18 C.19 1.4 M.1
101-200/89.iso19139;bd10ddfe-4b90-4172-8857-aa725c507f26;series;14;C.1 C.15 C.17 C.20 C.21 C.22 1.4 1.6 1.10 2.1 2.3 2.4 2.6 M.2
101-200/96.iso19139;8e34f063-8ef3-4294-b90b-8af9ec11b990;service;13;C.10 C.15 C.17 C.18 C.20 C.21 C.22 3.1 3.4 3.5 3.6 3.8 4.1
1-100/61.iso19139;IGNF_ADMIN_EXPRESS_2-1.xml;series;4;C.18 C.19 1.4 M.1
1-100/63.iso19139;IGNF_Contours-IRISr_2-1.xml;series;4;C.18 C.19 1.4 M.1
101-200/94.iso19139;0509ce45-2061-4c27-b519-347a658af378;service;9;C.10 C.15 C.17 3.1 3.4 3.5 3.6 3.8 4.1
201-300/11.iso19139;f8b144c6-da5b-4f9e-bdb0-c7104842b7c9;dataset;7;C.5 C.15 C.16 C.17 C.19 1.4 1.6
1-100/66.iso19139;814ada90-c186-4a72-8c6e-d6d1c63e4a2f;dataset;1;1.4
1-100/57.iso19139;IGNF_BDCARTOr_3-1_EQUIPEMENT.xml;series;4;C.18 C.19 1.4 M.1
1-100/64.iso19139;IGNF_RGEALTIr_2-0.xml;series;2;C.19 1.4
1-100/6.iso19139;3cc909f3-e138-44ef-b8d2-beeaed886e3d;dataset;1;1.4
101-200/9.iso19139;30b12e06-3dc8-4763-bd7d-71959c93b242;service;1;C.17
1-100/69.iso19139;9b96d068-13d5-4409-adfb-bd0d874ec9ee;dataset;1;1.4
1-100/73.iso19139;066d9bff-a5be-4bef-a7d5-bcf5c9516d87;dataset;1;1.4
1-100/67.iso19139;dbae92c9-93ce-41fe-9a66-8c4a0ce3a2d4;dataset;1;1.4
1-100/62.iso19139;1c128799-b6cd-4c8a-8859-8addec012dec;dataset;1;1.4
1-100/58.iso19139;IGNF_BDCARTOr_3-1_RESEAU_ROUTIER.xml;series;4;C.18 C.19 1.4 M.1
1-100/65.iso19139;IGNF_BDALTIr_2-0.xml;series;4;C.18 C.19 1.4 M.1
1-100/70.iso19139;c248febf-da3b-43b9-8e0a-b98f0a0cc5e9;dataset;1;1.4
101-200/95.iso19139;f8ee4ce7-709f-4eff-9ac1-7eda54f660af;service;9;C.10 C.15 C.17 3.1 3.4 3.5 3.6 3.8 4.1
1-100/7.iso19139;0e6818af-f0a6-4885-b3ba-aa04872207f4;dataset;1;1.4
1-100/68.iso19139;14cf5199-0b70-4642-95ad-145d3f709d1a;dataset;1;1.4
101-200/93.iso19139;9da2d6af-988d-4fe9-83b2-df3e1a90c81f;service;8;C.15 C.17 3.1 3.4 3.5 3.6 3.8 4.1
1-100/75.iso19139;2aaa6104-4479-4230-9aeb-3653d8ba1790;dataset;1;1.4
1-100/76.iso19139;bac5c95c-6e7d-4b5f-b2a2-a4003f0ea6ba;dataset;1;1.4
1-100/78.iso19139;f2f86512-8a02-45d4-879d-ca0c416d7cb7;dataset;1;1.4
1-100/80.iso19139;2b303804-e15b-45ea-ab04-bde026820681;dataset;1;1.4
1-100/71.iso19139;c30a0cd6-de1c-492c-9e6b-fa28877133cd;dataset;1;1.4
1-100/79.iso19139;b5ac497f-34cf-4e0b-b6e4-69e9b5981f86;dataset;1;1.4
1-100/83.iso19139;OCEANO_MODELE_VAGUES.xml;series;3;C.15 C.19 1.6
1-100/74.iso19139;31cff8f2-3b17-408c-9b12-75b4fc187afd;dataset;1;1.4
1-100/81.iso19139;fe4778ad-1365-4fe8-8497-bb8b9b5aeec5;dataset;1;1.4
1-100/72.iso19139;8cd0d3d8-a6ff-4e96-8c1c-8bdc495ebd85;dataset;1;1.4
1-100/95.iso19139;af19681a-a59e-415e-96e7-329dea1df138;dataset;2;C.14 1.4
1-100/8.iso19139;a2e4e762-974b-4f8a-beac-e634863a23fa;dataset;1;1.4
1-100/77.iso19139;0e8807d3-f8f2-407d-90a5-13b4b832762e;dataset;1;1.4
1-100/84.iso19139;OCEANO_MODELE_NIVEAUX.xml;series;2;C.15 C.19
1-100/82.iso19139;OCEANO_MODELE_HYDRODYN.xml;series;1;C.19
1-100/9.iso19139;80fcc4da-af64-4bd3-8d2c-8deb73d9a9aa;dataset;1;1.4
201-300/40.iso19139;3a6fbbd8-e99a-477a-9614-945ce1a21219;service;5;C.5 C.15 C.17 C.18 3.6
201-300/48.iso19139;509a7b8a-f0b5-4735-a240-e6bdf7e2d7a4;service;8;C.5 C.17 C.18 C.20 C.21 C.22 3.6 3.8
201-300/55.iso19139;90fb0145-264a-4a99-a625-2ceacb7122a1;service;1;3.6
1-100/98.iso19139;6b880348-e0b9-4056-814b-e72dee431936;dataset;1;1.4
1-100/93.iso19139;c365f580-4882-426e-b2da-a3d7f1909af3;dataset;1;1.4
101-200/14.iso19139;BDML_DST.xml;series;1;C.19
