file_id;md_id;type;error_count;errors
1-100/26.iso19139;{9E0D2260-72F8-4897-8B5D-2ACC957416AD};dataset;2;2.4 2.6
1-100/2.iso19139;1623229756893r05305119165159389;service;1;3.6
1-100/71.iso19139;{FAEACC94-B4F4-4320-8BAA-0B2BEB691B5C};dataset;1;2.6
1-100/7.iso19139;{E536A550-1D53-40D6-8BFC-DBD6A9CB284A};dataset;4;2.1 2.3 2.4 2.6
1-100/72.iso19139;{E345FEDF-11F1-43C7-8C1A-7DD18C4CFE39};service;1;3.6
101-200/38.iso19139;{EF2288C9-E05C-4674-AC9E-56DA840857FA};dataset;4;2.1 2.3 2.4 2.6
101-200/45.iso19139;http://gmlid.eu/RO/ENV/PADS/MD/WMS;service;1;3.6
101-200/12.iso19139;{C83DE480-CF87-4941-BF69-3CDF12756CAF};service;1;3.6
1-100/12.iso19139;MCO06_RO;dataset;1;2.4
1-100/15.iso19139;{3272D13B-E22B-4038-B556-6BD3D3593189};dataset;1;2.6
101-200/33.iso19139;{0407148E-0DFA-4277-8D87-66BDF631150B};dataset;4;2.2 2.4 2.6 M.2
101-200/2.iso19139;{DBC03720-1B7A-458F-BFA3-4F65C2D9F81F};service;1;C.1
1-100/27.iso19139;{A645FF88-4BD0-484D-91F2-D555E54FDB5A};dataset;4;2.1 2.3 2.4 2.6
1-100/34.iso19139;{43848749-8CC7-4C73-A229-355E90AE0AED};dataset;1;2.2
101-200/46.iso19139;{79C2E499-1D3D-486A-B5D5-5E6A0419AF8F};dataset;1;2.6
1-100/35.iso19139;{FB9F48E6-4C6C-44CD-B4E5-64EB2CD76E01};dataset;1;2.2
101-200/53.iso19139;http://gmlid.eu/RO/GeoEcoMar/EUXINUS/MD/WMS;service;1;3.6
101-200/48.iso19139;{548E7A4C-7F57-4EEF-B174-DDC2A657EE2D};dataset;3;2.2 2.6 M.2
1-100/66.iso19139;{D156F365-9B28-43BD-9A19-F0C59B474678};dataset;1;2.6
1-100/63.iso19139;http://gmlid.eu/RO/ENV/ART17HD/MD;dataset;1;2.2
101-200/62.iso19139;{FF5DAE75-503C-427C-8FCB-6C7DB643350B};dataset;1;2.6
1-100/86.iso19139;{A96D59C4-0420-4104-9D68-DF318F77904C};dataset;1;2.2
101-200/11.iso19139;{86C6505A-D945-411C-8A03-6F329A33702F};dataset;1;2.6
101-200/7.iso19139;http://gmlid.eu/RO/GeoEcoMar/EUXINUS/MD/SDS;service;1;3.6
