file_id;md_id;type;error_count;errors
1-100/10.iso19139;{42F44F65-F937-45CC-B6F0-19FC0AA0F18B};dataset;4;C.5 C.17 1.6 2.2
1-100/1.iso19139;{14750C66-3671-4AD5-A4AD-823FDD0A7857};dataset;4;C.5 C.17 1.6 2.2
1-100/11.iso19139;{0E1034CF-5253-4D33-9109-D8D0D85CF7D1};dataset;5;C.5 C.17 1.6 2.2 M.2
1-100/100.iso19139;{A929B125-3CCC-4ABC-88A4-AAB1DD450ACC};service;5;C.5 C.17 3.1 3.6 3.8
1-100/12.iso19139;{47A0B4A5-DF13-4AB7-A956-2B6A27CABEF7};dataset;4;C.5 C.17 1.6 2.2
1-100/14.iso19139;{DFC6A04D-3A02-452E-9E3F-90A15BBB0D50};dataset;5;C.5 C.17 1.3 1.6 2.2
1-100/13.iso19139;{B0FCFEEE-967D-4C46-9A89-F300C4159AE9};dataset;4;C.5 C.17 1.6 2.2
1-100/15.iso19139;{BD7F93CF-031C-4805-88BC-3EEB0ABCCD37};dataset;4;C.5 C.17 1.6 2.2
1-100/16.iso19139;{27D795B4-641B-436E-8027-4D8C15986A81};dataset;4;C.5 C.17 1.6 2.2
1-100/17.iso19139;{37AFA42A-C1CC-49D4-9AD7-AFAFD57E1B95};dataset;4;C.5 C.17 1.6 2.2
1-100/18.iso19139;{33BD1775-D6FF-4A64-A9AE-62F73AF9EB76};dataset;4;C.5 C.17 1.6 2.2
1-100/19.iso19139;{3AA45D4F-813F-4CB4-B341-B11B66EBB2B0};dataset;4;C.5 C.17 1.6 2.2
1-100/2.iso19139;{A7D83E3F-7FF6-4948-B093-0AC512D681A8};service;5;C.5 C.17 3.1 3.6 3.8
1-100/20.iso19139;{C0E2A4CE-A51F-461C-868A-8115D2549C02};service;5;C.5 C.17 3.1 3.6 3.8
1-100/21.iso19139;{077EBB13-7FDD-420E-B2E7-06FCDF203F53};dataset;4;C.5 C.17 1.6 2.2
1-100/22.iso19139;{985F6FBA-D5EC-47DE-8C0D-D1821F5AC8E9};dataset;4;C.5 C.17 1.6 2.2
1-100/23.iso19139;{910D3597-19EA-4506-8588-A2070CC94BBA};dataset;4;C.5 C.17 1.6 2.2
1-100/25.iso19139;{C78D5EBA-D124-4887-954F-D78077CA9431};service;5;C.5 C.17 3.1 3.6 3.8
1-100/24.iso19139;{DFF09AB6-33D9-48A2-A8C0-F9F87E308C4A};dataset;4;C.5 C.17 1.6 2.2
1-100/27.iso19139;{BC8D8B3D-79AE-45EB-BE4D-52423FE9D400};service;5;C.5 C.17 3.1 3.6 3.8
1-100/29.iso19139;{BA67955A-FA2C-4320-B8B8-CED64B3B0B14};service;4;C.5 C.17 3.1 3.8
1-100/30.iso19139;{B73F2BB7-3818-4852-BFC6-56757D0914A2};service;5;C.5 C.17 3.1 3.6 3.8
1-100/26.iso19139;{C5899207-82FB-4A9F-9881-CD8210B32126};dataset;5;C.5 C.17 1.6 2.2 M.2
1-100/32.iso19139;{B5D38469-684A-4864-8550-ABDE1E7F5D86};service;4;C.5 C.17 3.1 3.8
1-100/28.iso19139;{BB49255C-80D5-4E9E-92AF-9AD340D42EAA};dataset;4;C.5 C.17 1.6 2.2
1-100/34.iso19139;{ADB6F530-328F-4636-9539-16E22E7CEE9C};dataset;4;C.5 C.17 1.6 2.2
1-100/3.iso19139;{37039A57-4A4D-4D0C-859D-7110ADD99105};service;4;C.5 C.17 3.1 3.8
1-100/36.iso19139;{F849F398-33D7-4AC3-A1AB-C6FA5B047610};service;4;C.5 C.17 3.1 3.8
1-100/38.iso19139;{F5D4376C-C2CA-4E55-99FC-5A0D47DBB655};service;4;C.5 C.17 3.1 3.8
1-100/31.iso19139;{B7243057-4E1F-4F88-A432-1E373AB32658};service;5;C.5 C.17 3.1 3.6 3.8
1-100/4.iso19139;{B1AF93FF-3590-48AA-971F-E99C974E9DB4};dataset;4;C.5 C.17 1.6 2.2
1-100/33.iso19139;{B093EDB2-74A9-409E-A487-6318019D544C};service;5;C.5 C.17 3.1 3.6 3.8
1-100/41.iso19139;{EC8B5B08-6559-486E-9A4D-8D4DE4757BA3};service;4;C.5 C.17 3.1 3.8
1-100/35.iso19139;{A78D8F67-964A-422A-813D-CA10B47C284A};service;5;C.5 C.17 3.1 3.6 3.8
1-100/43.iso19139;{E1A8E633-9B12-4ACA-8243-BEE2EE8FA082};service;4;C.5 C.17 3.1 3.8
1-100/37.iso19139;{F82771DE-F04A-4BB6-B902-C9F442EF629E};service;5;C.5 C.17 3.1 3.6 3.8
1-100/45.iso19139;{DE5E42E6-23BF-4F33-A3B5-54643A59FB55};service;4;C.5 C.17 3.1 3.8
1-100/39.iso19139;{F52FF651-BF5A-4070-AAA2-F3FD54F3E832};service;5;C.5 C.17 3.1 3.6 3.8
1-100/47.iso19139;{FE9AECBB-A1F3-460F-AD9C-2EA72A323813};dataset;4;C.5 C.17 1.6 2.2
1-100/49.iso19139;{C97A076B-A7A7-45F1-89DF-AE3E7884B078};service;5;C.5 C.17 3.1 3.6 3.8
1-100/40.iso19139;{EE54A17E-7915-4624-8A9E-AC26A538CFBD};service;4;C.5 C.17 3.1 3.8
1-100/42.iso19139;{E8FAF9BE-4F01-4528-A360-1BB25638B48B};dataset;4;C.5 C.17 1.6 2.2
1-100/50.iso19139;{A533238C-111C-4F46-8B11-45E40EAD019B};dataset;4;C.5 C.17 1.6 2.2
1-100/52.iso19139;{9AE67B23-05A8-434A-A005-87C1CF56EC68};service;5;C.5 C.17 3.1 3.6 3.8
1-100/44.iso19139;{E0B55169-5558-48AB-913B-801D78891618};service;4;C.5 C.17 3.1 3.8
1-100/46.iso19139;{F6F50513-EE90-48BF-9C14-2BC1B560104B};dataset;4;C.5 C.17 1.6 2.2
1-100/54.iso19139;{989830FC-3021-4408-8809-9AB17FD4BC2F};service;5;C.5 C.17 3.1 3.6 3.8
1-100/48.iso19139;{D0568C53-C09A-494B-B328-BD043905F1C8};service;4;C.5 C.17 3.1 3.8
1-100/56.iso19139;{92FF1934-8B6B-4FE9-9B89-A00E67C5709F};dataset;4;C.5 C.17 1.6 2.2
1-100/58.iso19139;{8CB498F8-99D9-476F-8988-C193D63C6BA8};service;5;C.5 C.17 3.1 3.6 3.8
1-100/5.iso19139;{B948FCAA-A991-47BE-957D-ADB42455F8C8};dataset;4;C.5 C.17 1.6 2.2
1-100/6.iso19139;{FFC58AB7-F427-4EA0-A85B-E10692E4BAD4};service;5;C.5 C.17 3.1 3.6 3.8
1-100/51.iso19139;{9B769ED0-9F20-46E6-A3BB-8895CF5D959F};dataset;4;C.5 C.17 1.6 2.2
1-100/61.iso19139;{827E68F5-A2C7-4292-8CE7-3FC0DC9169FB};service;5;C.5 C.17 3.1 3.6 3.8
1-100/63.iso19139;{723CFFDA-6ED3-4533-B35F-EBDE99239DCE};service;5;C.5 C.17 3.1 3.6 3.8
1-100/65.iso19139;{6F67A090-5778-4030-A3BA-09AC95FE5E64};service;4;C.5 C.17 3.1 3.8
1-100/53.iso19139;{9A3DB254-8BFE-4052-A174-BBE77D3CF510};service;5;C.5 C.17 3.1 3.6 3.8
1-100/55.iso19139;{9368FE33-1BDA-4907-8D07-AFEEA8DA4884};service;5;C.5 C.17 3.1 3.6 3.8
1-100/67.iso19139;{6590C072-3482-43D3-A395-0A29A4D2DFE6};service;4;C.5 C.17 3.1 3.8
1-100/57.iso19139;{8F4B46FC-41CF-4943-926E-96F29345FC01};service;4;C.5 C.17 3.1 3.8
1-100/69.iso19139;{5FF0256E-25AC-45C6-9316-E930C537F489};service;4;C.5 C.17 3.1 3.8
1-100/70.iso19139;{5D162423-733E-4B00-B987-965F8E7B4253};service;4;C.5 C.17 3.1 3.8
1-100/59.iso19139;{8C25F7F4-37F8-4800-81F3-3251E2550B7D};service;4;C.5 C.17 3.1 3.8
1-100/72.iso19139;{D32ABD27-8E1B-4B7F-A51D-ACB7EAF85789};dataset;4;C.5 C.17 1.6 2.2
1-100/60.iso19139;{8A5CB03F-ACB7-4033-AFE5-DF6C3FA26A04};service;4;C.5 C.17 3.1 3.8
1-100/62.iso19139;{74045B11-4AE5-4DBA-B54B-BE9B8B23B695};service;4;C.5 C.17 3.1 3.8
1-100/74.iso19139;{55C3E752-F5B0-436D-A0BD-57AB0E8A615B};service;4;C.5 C.17 3.1 3.8
1-100/76.iso19139;{52B81654-4FBC-4639-96E8-07DDD5171198};service;5;C.5 C.17 3.1 3.6 3.8
1-100/64.iso19139;{6F7BF186-842E-4125-AB21-6F61BE64D255};service;5;C.5 C.17 3.1 3.6 3.8
1-100/78.iso19139;{4C9320CE-C286-4304-90C4-566072B97D2E};service;5;C.5 C.17 3.1 3.6 3.8
1-100/66.iso19139;{690E5D74-5B02-4023-9B3C-A1723C135E53};service;4;C.5 C.17 3.1 3.8
1-100/68.iso19139;{6475AA26-405B-46E3-8EC9-DACBB109AE15};service;5;C.5 C.17 3.1 3.6 3.8
1-100/8.iso19139;{D595F2E4-0566-47C5-B407-9D7BDE147661};dataset;4;C.5 C.17 1.6 2.2
1-100/81.iso19139;{470A72D1-A6EE-487F-8D2D-3F53CFC36C84};dataset;4;C.5 C.17 1.6 2.2
1-100/7.iso19139;{2EB7056B-1D3A-4D17-BA41-CEAF33BEFF1F};dataset;4;C.5 C.17 1.6 2.2
1-100/71.iso19139;{5BAF8548-38E2-4C71-BFC6-7D5196F4F604};dataset;4;C.5 C.17 1.6 2.2
1-100/73.iso19139;{5A6BA53A-ED84-4B1C-AB84-77A3B345AEAF};service;4;C.5 C.17 3.1 3.8
1-100/83.iso19139;{057D8823-530F-4F92-A62B-5DA88F92E542};service;4;C.5 C.17 3.1 3.8
1-100/85.iso19139;{3D9A6BAB-8289-4FDF-A773-AE9FAC20E7EB};service;4;C.5 C.17 3.1 3.8
1-100/75.iso19139;{54B2F519-ED41-4643-A900-931D5567350D};dataset;4;C.5 C.17 1.6 2.2
1-100/87.iso19139;{36998389-E06B-4F94-94C6-B2C6F9248709};service;4;C.5 C.17 3.1 3.8
1-100/77.iso19139;{5254CB2C-AD97-4089-A38F-69B8508AABDF};service;5;C.5 C.17 3.1 3.6 3.8
1-100/79.iso19139;{4C79CAD9-C567-4780-A74B-FEF8944FA3FE};service;5;C.5 C.17 3.1 3.6 3.8
1-100/89.iso19139;{2DEB7C9E-2FE5-464B-8C64-1D3F4B8DB4C2};dataset;4;C.5 C.17 1.6 2.2
1-100/90.iso19139;{1E744468-E290-4756-86FD-E8D309DB6CC5};service;5;C.5 C.17 3.1 3.6 3.8
1-100/92.iso19139;{160EFA46-F948-4FA2-84C4-5D2EFAA75A77};dataset;4;C.5 C.17 1.6 2.2
1-100/80.iso19139;{4A977170-1DB0-422D-8785-B7A56F114EF0};service;4;C.5 C.17 3.1 3.8
1-100/94.iso19139;{14944A10-CA93-43E3-A9AF-181E50A447C6};service;4;C.5 C.17 3.1 3.8
1-100/82.iso19139;{3DB4F361-DF93-4B8B-9682-1CCC0DAD5AF0};dataset;4;C.5 C.17 1.6 2.2
1-100/84.iso19139;{00459348-CAC9-4B44-9FB8-042CE0DE9D84};service;5;C.5 C.17 3.1 3.6 3.8
1-100/96.iso19139;{0C982518-2A5E-4796-A859-5B70CB616807};service;5;C.5 C.17 3.1 3.6 3.8
1-100/98.iso19139;{DCBDF50A-DE61-4E75-8C3F-BBACB4A59265};dataset;4;C.5 C.17 1.6 2.2
1-100/86.iso19139;{3BD8F383-477E-4812-BF25-07AB1924A0C2};service;5;C.5 C.17 3.1 3.6 3.8
101-200/1.iso19139;{B41EBDB2-75B6-494E-8751-91AA8C55B954};dataset;4;C.5 C.17 1.6 2.2
1-100/88.iso19139;{2FBE345F-ABAE-4863-8D26-339B188F8C3F};dataset;4;C.5 C.17 1.6 2.2
1-100/9.iso19139;{6B3DB77C-7ED5-4A5D-863A-0F2CE6AAC2FA};dataset;4;C.5 C.17 1.6 2.2
101-200/3.iso19139;{6E850088-2B24-419F-A89A-BAE083768A67};dataset;4;C.5 C.17 1.6 2.2
1-100/91.iso19139;{187F2D3F-11E7-4B7E-AE30-70CD6927995F};service;4;C.5 C.17 3.1 3.8
1-100/93.iso19139;{151536D6-7663-4257-A7B5-99B691DE3E14};service;5;C.5 C.17 3.1 3.6 3.8
