file_id;md_id;type;error_count;errors
1-100/14.iso19139;5c5138ae-b21c-4288-832f-e1c1d0733f3e;dataset;1;1.6
1-100/24.iso19139;b5e0b5bd-6b13-4cf7-b0fb-100173820138;service;1;3.6
1-100/18.iso19139;c80f32e4-0159-4817-857c-d7bd2e46bd40;service;1;3.6
1-100/2.iso19139;c1d16d3d-2af2-4896-8f66-4680c0eadf9b;;3;C.22 1.1 1.10
1-100/21.iso19139;b39b190d-633a-40e9-ab5f-9753dee5b51a;service;1;C.17
1-100/23.iso19139;7f7f78af-01ae-4769-b759-47930a390922;dataset;1;1.4
1-100/28.iso19139;4580c446-1be6-4481-bc94-4c3ed30ce5e2;dataset;1;M.2
1-100/25.iso19139;3269a246-b5b2-4d6d-8f5b-54868407aecf;dataset;6;C.6 C.20 C.21 C.22 1.4 1.10
1-100/40.iso19139;addee192-39c7-47d6-aefc-d27a618e53e2;dataset;1;C.6
1-100/61.iso19139;dd0e7558-7985-49a1-a019-43d00e3735d0;service;1;3.6
1-100/63.iso19139;{FEDB8929-02DF-4117-A679-221784E8A939};dataset;1;M.2
1-100/65.iso19139;{DA0D592E-3296-48DC-A169-821728ED4F6B};dataset;2;C.17 C.22
1-100/67.iso19139;{CC77E50C-A326-4E75-A893-9BCAF125B911};dataset;1;M.2
1-100/79.iso19139;d061489b-73c1-4ad1-99be-5ef28ce3767b;dataset;2;C.15 M.1
1-100/8.iso19139;edb37dea-bd1f-46e4-a2e0-933fe2edecfe;dataset;2;C.16 C.17
1-100/93.iso19139;6a0408f6-da78-480c-a2fb-af4289465778;service;1;3.6
1-100/98.iso19139;551ba4b9-abdc-4c52-8c00-aa536f33167a;dataset;1;C.6
101-200/18.iso19139;39873621-a71b-4db9-9602-fa6a78356df1;dataset;1;M.2
101-200/17.iso19139;3ad2f6f9-556d-4665-9347-c6c0193c0e41;service;1;3.6
101-200/34.iso19139;056edde9-73bd-4ac8-8a9d-f32ff15b7e81;dataset;1;C.6
101-200/36.iso19139;41D3314D-55AF-4FE3-9A9F-B9CB18AC5CAA;dataset;2;1.4 1.10
101-200/7.iso19139;8c1b2047-0fba-4c00-9d2c-74bf804fefa0;service;2;C.1 3.6
