file_id;md_id;type;error_count;errors
1-100/14.iso19139;ca4f354f-7055-44e0-a09c-cd390a9b5ef8;service;3;5.2 5.4 5.5
1-100/13.iso19139;f7712474-0ecb-4e4b-915d-450030cfc4c4;dataset;2;C.17 C.18
1-100/16.iso19139;0e681391-b18f-4820-b7bd-19c9c29afe9f;dataset;2;C.17 C.18
1-100/2.iso19139;87aa0f74-5f6f-4967-970d-a2b20f0d5e34;dataset;2;C.17 C.18
1-100/17.iso19139;2489f15d-7afb-4836-ab38-3ccde3787a01;dataset;2;C.17 C.18
1-100/19.iso19139;07711d1a-111c-4722-b165-f057339d1046;dataset;2;C.17 C.18
1-100/21.iso19139;06dcac9e-c7ef-462e-b639-efc1eb2b63c8;dataset;2;C.17 C.18
1-100/27.iso19139;02ab142a-7ff2-4dab-abb2-5d79cf2ffcb0;dataset;2;C.17 C.18
1-100/26.iso19139;22984f78-3e29-4772-bed4-558173c0530c;dataset;1;C.17
1-100/3.iso19139;e5fc2fe2-8cc3-4bc3-9ca6-61613f932024;dataset;1;C.6
1-100/33.iso19139;513e1627-2740-4341-9e93-0a65ecb9b9bc;dataset;2;C.17 C.18
1-100/35.iso19139;f86d9bab-60ab-45e0-ae37-0b5f35c009d1;dataset;2;C.17 C.18
1-100/46.iso19139;88fc8efd-9506-418f-a465-d7f945c7bfe8;dataset;2;C.17 C.18
1-100/58.iso19139;a95fdc76-55a7-43fa-92c9-84ac9424ad21;dataset;2;C.17 C.18
1-100/59.iso19139;45fbf749-ed62-42a1-8bfc-7dcb8e8e9596;dataset;3;C.17 C.18 C.22
1-100/60.iso19139;8d02130a-0e0a-448d-82b0-c11678eee8c0;dataset;1;C.16
1-100/65.iso19139;3d30a6bb-5c63-45c3-af70-14fce814f1f7;service;1;C.17
1-100/62.iso19139;3c0df4fc-a93e-4e12-ae45-e54f1550bfb8;dataset;2;C.17 C.18
1-100/74.iso19139;9962948d-b622-4797-8628-fe60bc612bd2;service;3;3.5 3.6 4.1
1-100/73.iso19139;27f3cffc-4c50-47bf-a8e3-4560d997e9c6;dataset;2;C.17 C.18
1-100/77.iso19139;935bf47a-cd72-4ae5-bba6-90ffb8c9b9e6;dataset;1;C.17
1-100/8.iso19139;b0b45bd3-e556-4641-97e3-641c94ec6567;dataset;2;C.17 C.18
