file_id;md_id;type;error_count;errors
1-100/71.iso19139;60e0e940-ff95-11e4-b939-0800200c9a66;service;1;3.6
101-200/16.iso19139;d3d251cc-db84-4c7e-a8d0-339ae3214dab;service;4;C.5 C.17 C.18 3.8
101-200/2.iso19139;7a11e40b-7048-4ce2-8803-7f2a5f182376;dataset;1;C.1
101-200/38.iso19139;ec271b50-248e-11e5-867f-0800200c9a66;service;1;3.6
101-200/45.iso19139;c531959b-5f05-49ce-9bc9-5afdba0e4f1a;dataset;2;C.1 C.5
101-200/87.iso19139;87f2a108-1cd3-4104-9d8a-a93da98d3d5f;service;3;C.1 C.5 3.6
101-200/91.iso19139;795e54e6-eca2-41bc-b43f-951f8ec5121a;dataset;2;C.1 C.5
101-200/96.iso19139;4e47e624-56a0-4582-9b2e-b987bbb818fa;service;3;C.1 C.5 3.6
101-200/98.iso19139;2fe333b1-bed9-4bbe-a728-8f10e8ad3928;service;3;C.1 C.5 3.6
201-300/25.iso19139;1ca656f6-ebc5-4923-ac99-8973c19be2a1;service;1;3.6
201-300/29.iso19139;03cd7ea2-3a0e-4730-a88e-93d2053c3a15;service;1;3.6
201-300/32.iso19139;e6c8e312-6fd3-43f1-a7d7-5347f0cc3895;service;1;3.6
201-300/22.iso19139;235b97a9-eb3c-4724-befd-aaf7de502cdf;service;1;3.6
201-300/26.iso19139;00c13efe-014c-4b1c-a3ae-9768fb28423d;service;1;3.6
201-300/31.iso19139;5408aecf-c1d1-4423-9880-eab7768d4d2c;service;1;3.6
201-300/49.iso19139;25f8126f-4500-41b5-b9f7-7d9d61fbc335;dataset;2;C.1 C.5
201-300/48.iso19139;3c178eba-265d-46c6-813a-66e1710a2619;dataset;2;C.1 C.5
201-300/51.iso19139;8d47dd6c-ab24-49b3-81db-368e9d7cb716;service;3;C.1 C.5 3.6
201-300/77.iso19139;6ebcae0e-1b18-43e2-a71d-c4ef019e8c34;service;1;3.6
301-400/72.iso19139;78a71875-7fb4-4e2f-a6cb-224d1d058ad5;service;1;3.6
301-400/76.iso19139;541d1135-45dd-4de0-9ee8-356cd58a64a2;service;1;3.6
301-400/75.iso19139;5eded3ca-5d17-47a3-ad30-3a0c5ff47aa2;service;1;3.6
301-400/80.iso19139;ff582981-6493-44db-a319-e0d10c6698d8;service;1;3.6
301-400/87.iso19139;eac2e659-31f7-467c-96b9-6f8022bf9dfb;service;2;C.1 C.5
301-400/89.iso19139;d426f50a-616a-4676-9acd-b65b99ac7374;service;2;C.1 3.6
301-400/88.iso19139;d90161b9-841b-464b-8031-38aa7605d805;service;1;3.6
401-500/62.iso19139;f0ff56c8-20a6-4463-b860-cb2775816595;service;1;3.6
401-500/64.iso19139;ff7fcd7e-cace-4c79-bf8a-892f494896e3;service;1;3.6
401-500/75.iso19139;a06e6b0b-0cce-4ac3-9507-9eed90eefc4d;service;1;3.6
401-500/77.iso19139;98908f65-6630-4594-ab94-9a3b9b25b823;service;1;3.6
401-500/80.iso19139;8e6fe698-91a2-422e-9a37-0fb7fe70c6c9;service;1;3.6
401-500/84.iso19139;8d2e053d-a34c-447c-b74c-a0c40cfaa6fd;service;1;3.6
401-500/99.iso19139;183ba5e0-25e1-4a9b-8675-3694df0b7485;service;1;3.6
