file_id;md_id;type;error_count;errors
1-100/40.iso19139;r_piemon:fdbe0056-f5eb-4461-b98e-be4e0fd036f7;dataset;1;M.1
1-100/80.iso19139;p_bz:Inspire:AU.AdministrativeUnit;dataset;1;1.8
1-100/84.iso19139;p_bz:Forestry;service;1;3.6
1-100/89.iso19139;arlst:2023-09-07T123236;dataset;1;C.18
1-100/82.iso19139;p_bz:Infrastructures;service;1;3.6
1001-1100/13.iso19139;ispra_rm:01Lineacosta2006_SV;service;1;3.6
1001-1100/15.iso19139;ispra_rm:01Linearetrospiaggia2006_SV;service;1;3.6
1001-1100/18.iso19139;ispra_rm:Meta_PpRiskFran01_SVD;service;1;3.6
1001-1100/34.iso19139;c_l219:9ba120a9-a4e3-4d2b-85b6-fa41beddd2a2;service;1;C.16
1001-1100/21.iso19139;ispra_rm:01Fasciacostiera2006_SV;service;1;3.6
1001-1100/5.iso19139;ispra_rm:Meta_Geo_SV000017_RN;service;1;3.6
1001-1100/2.iso19139;ispra_rm:01Lineacosta2020_SV;service;1;3.6
1001-1100/7.iso19139;ispra_rm:01Lineacosta2000_SV;service;1;3.6
1001-1100/6.iso19139;ispra_rm:Meta_MSFD2018_SubReg;dataset;1;M.2
1001-1100/92.iso19139;r_lombar:48993c12-cb64-40e9-88d8-f29b6b35094b;dataset;1;M.2
101-200/70.iso19139;c_l219:3a4126b3-570d-48fb-8419-e5005060ba50;service;1;C.16
10201-10300/15.iso19139;ispra_rm:01Rn_RdNatPot_SVD;service;1;3.6
10201-10300/12.iso19139;ispra_rm:Meta_NNB_Specart17DT;dataset;1;M.2
10201-10300/52.iso19139;cmto:8f44031e-0560-456c-989d-103df1a7ac98;dataset;1;C.16
10201-10300/88.iso19139;r_piemon:41e9964d-8ab4-4ade-a06a-bb7f34baea21;service;1;3.6
10201-10300/71.iso19139;r_piemon:e2c6b6cc-e4af-4d8e-b3b1-7fc1102b7d3a;dataset;1;C.16
10201-10300/29.iso19139;r_piemon:e5a1360f-caeb-4adc-aa0f-5d1dce9ac468;dataset;1;C.16
10201-10300/89.iso19139;r_piemon:dc39059b-7cff-434e-9b2e-1a095186f0c1;service;1;3.6
10201-10300/50.iso19139;cmto:ad43035c-5083-42a1-993d-5087a006f332;dataset;1;C.16
10201-10300/67.iso19139;r_piemon:3d66aa35-ec44-4d27-812d-687f6e91d15a;dataset;1;C.16
10201-10300/73.iso19139;cmto:9865c0b7-6046-49e1-8b5e-0745dcb44e59;dataset;1;C.16
10201-10300/74.iso19139;r_piemon:35250ce8-6101-43e2-a998-dcb3c310edd2;dataset;1;1.8
10301-10400/30.iso19139;r_piemon:4f4a16f0-c63e-49a6-9334-0e49b22a29e6;dataset;1;M.2
10301-10400/4.iso19139;r_piemon:d0301eab-f0e9-490a-92de-a3d66e28faff;dataset;1;M.2
