file_id;md_id;type;error_count;errors
1-100/100.iso19139;7d29a580-7ea4-4bb1-8aa5-c7159a4f8c32;dataset;6;C.5 C.17 1.6 1.10 2.4 2.6
1-100/1.iso19139;541e5c3c-bdb1-405b-beef-471d2601f375;dataset;5;C.17 C.22 1.10 2.2 2.4
1-100/10.iso19139;ISO_MAP_furaspont;dataset;6;C.1 C.5 C.11 C.17 1.6 1.8
1-100/13.iso19139;977bd7a9-2197-4dba-8ce3-f3b1c28a0382;dataset;4;C.17 C.19 1.10 2.4
1-100/14.iso19139;7dbb78f4-ea67-45ad-9d8f-13de4fbd64c7;dataset;8;C.5 C.16 C.17 C.18 1.4 1.6 1.10 2.4
1-100/16.iso19139;8146f169-6755-4442-9c82-423b6b51b43e;dataset;5;C.17 C.22 1.10 2.2 2.4
1-100/41.iso19139;4b8bdabe-2a44-40b8-bad4-06c40a01080d;dataset;7;C.5 C.17 C.20 C.21 C.22 1.6 1.10
1-100/45.iso19139;GroundWaterBody_HU_20160322;dataset;5;C.16 C.17 C.19 2.4 M.2
1-100/47.iso19139;4c9a5079-13af-4508-a977-6805f2587388;dataset;6;C.1 C.5 C.11 C.17 C.18 1.6
1-100/46.iso19139;7d8ad8e6-9405-4897-b65b-3fe2b72005d5;dataset;3;C.5 C.17 1.6
1-100/48.iso19139;1d865478-05a7-4f17-8b41-0c5dbc2de05f;dataset;4;C.17 2.4 2.6 M.2
1-100/49.iso19139;9fa3ad47-67ba-4ed7-9042-f6e6c49e38e7;dataset;4;C.17 2.4 2.6 M.2
1-100/50.iso19139;a00ffb6e-5c87-4825-b44d-bbc2c0020f8b;dataset;3;C.17 2.2 2.6
1-100/51.iso19139;SurfaceWaterBodyLine_HU_20160322;dataset;5;C.16 C.17 C.19 2.4 M.2
1-100/52.iso19139;fc301071-79fc-471d-a575-b45466a66888;dataset;3;C.5 C.17 1.6
1-100/53.iso19139;1c183814-e0dc-4748-b784-6688ab38e7cd;dataset;4;C.16 C.17 C.18 1.6
1-100/55.iso19139;f430ae75-7fd5-40eb-92cf-a81820b7c591;dataset;4;C.17 2.4 2.6 M.2
1-100/59.iso19139;53883d7a.xml;service;4;C.17 C.22 3.1 3.8
1-100/62.iso19139;9b4d75a3-5168-4ebd-9630-3027a02a365d;dataset;2;C.17 2.6
1-100/67.iso19139;51b0185f-727e-42e4-9e4b-5b42d845cbf1;dataset;3;C.17 2.2 2.6
1-100/69.iso19139;ee0e41ce-29d0-4438-868a-1abd257de7c7;dataset;3;C.17 2.2 2.6
1-100/95.iso19139;orto2023ds-gfff18a6-7942-4a4f-b2c8-57e458a97344;service;1;3.6
1-100/98.iso19139;MDweb-ced7092d-0918-41ca-86f6-3acd6ea09d4d;dataset;8;C.1 C.5 C.17 C.18 C.22 1.6 1.10 2.4
1-100/97.iso19139;29f155a9-3695-4087-a389-33e36889e5b7;dataset;8;C.5 C.16 C.17 C.18 1.4 1.6 1.10 2.4
1-100/93.iso19139;5f9450bf-a093-40a2-ba86-a9bed5be7369;dataset;1;2.2
1-100/96.iso19139;82eaaf91-8a49-448c-b609-39f91b6613be;dataset;5;C.17 C.22 1.10 2.2 2.4
101-200/1.iso19139;27a166d9-f6f3-4d8c-9669-2b508f9df17f;dataset;4;C.17 C.22 2.2 2.4
1-100/99.iso19139;MDweb-5c61fb6c-5ce7-4fdf-b645-a675a549710c;dataset;6;C.5 C.17 C.18 1.6 2.4 M.2
101-200/24.iso19139;f1cdb722-747a-4294-bf63-bc5ce28bbcd1;dataset;3;C.17 2.4 M.2
101-200/2.iso19139;3c4197c8-10b4-4847-b80a-642c98391d15;dataset;4;C.17 C.22 2.2 2.4
101-200/26.iso19139;SubUnit_HU_20160322;dataset;5;C.16 C.17 C.19 2.4 M.2
101-200/27.iso19139;Monitoring_HU_20160322;dataset;5;C.16 C.17 C.19 2.4 M.2
101-200/29.iso19139;9de1ce71-c26b-4f99-b59e-78e77616607e;dataset;3;C.17 2.2 2.6
101-200/3.iso19139;5309e773-19e9-4faa-be00-74d662ce3098;dataset;4;C.17 C.22 2.2 2.4
101-200/25.iso19139;9152a3f6-9f14-4beb-96ef-005447b84216;dataset;3;C.5 C.17 1.6
101-200/28.iso19139;678275e9-07d5-4aef-845b-d9fb966c263d;dataset;9;C.5 C.15 C.17 C.20 C.21 C.22 1.6 1.10 2.6
101-200/31.iso19139;ddb8cca4-3e41-4ae7-b1c5-849b1dc6e92f;dataset;4;C.16 C.17 C.18 1.6
101-200/32.iso19139;3d5b7b86-5d81-4246-9d99-ce0a8ae5c65c;dataset;4;C.16 C.17 C.18 1.6
101-200/30.iso19139;ProtectedArea_HU_20160322;dataset;6;C.16 C.17 C.19 1.4 2.4 M.2
101-200/33.iso19139;1501a5cf-479e-40ca-b351-d05cbf21693a;dataset;4;C.16 C.17 C.18 1.6
101-200/37.iso19139;52f4727e-6bd1-47e6-8bcd-4a328516b9c4;dataset;1;2.2
101-200/38.iso19139;f1ecdee8-ae1e-4c06-9576-776571792788;dataset;1;2.2
101-200/36.iso19139;cd15a149-39b4-4bd2-9603-c73be5b5b8da;dataset;3;C.17 2.2 2.6
101-200/39.iso19139;45708648-44e8-44c0-a4ce-1ea3fccc5e55;dataset;2;C.18 2.2
101-200/6.iso19139;570ccf6e-a4ea-4866-9652-16b3954da753;dataset;1;2.2
101-200/50.iso19139;0f29a6c1-13c7-4ad8-aba7-66e12b0a360a;dataset;1;2.2
101-200/8.iso19139;69f3685f-182d-42ba-86a6-d37ba4ea0c0f;dataset;1;2.2
101-200/9.iso19139;7e9a99e4-a679-4d2e-8483-618275e08093;dataset;4;C.17 C.22 2.2 2.4
101-200/5.iso19139;10db6ec1-19d1-4db4-a397-ab5e7c3b3415;dataset;1;2.2
101-200/7.iso19139;6a5fbae2-09f1-4a99-9a14-7f95ad52c47a;dataset;1;2.2
