file_id;md_id;type;error_count;errors
1-100/40.iso19139;ccbd1d59-ad73-4866-af68-e7497ddb8b9c;dataset;4;C.1 C.17 C.18 2.6
1-100/46.iso19139;b044eb4f-b75f-4122-9586-e736e8047f24;service;3;C.1 C.17 C.18
1-100/6.iso19139;c03497ab-a7ec-4952-9222-06bf3f2dcae9;dataset;11;C.1 C.5 C.17 C.18 C.19 C.20 C.21 C.22 1.4 1.10 2.2
1-100/17.iso19139;e4c0fb42-1e1e-47b1-97a7-17aebe8b33e2;dataset;4;C.1 C.17 C.18 2.6
1-100/81.iso19139;aa63306a-3426-40c7-8513-868582f9fbbb;dataset;4;C.1 C.17 C.18 2.6
1-100/47.iso19139;c202bb91-daca-4734-86f3-400c2647fc88;dataset;4;C.1 C.17 C.18 2.6
101-200/15.iso19139;56193d0a-b41f-4305-9450-81835e873c01;dataset;3;C.1 C.17 C.18
1-100/60.iso19139;ae24ad88-9b0b-4aa7-b248-df670e2b92d1;dataset;4;C.1 C.17 C.18 2.6
101-200/45.iso19139;39eae313-7022-4a17-b034-230e8903bcb6;dataset;3;C.1 C.17 C.18
101-200/48.iso19139;1ac3ffc0-293f-4e7f-8e5c-c341661ba0fb;dataset;4;C.1 C.17 C.18 2.6
1-100/8.iso19139;f5dc2716-bc26-439a-a0bb-9e220135e59c;dataset;8;C.5 C.17 C.18 C.20 C.21 C.22 1.4 1.10
101-200/50.iso19139;04b5a38e-ea78-4e68-aa36-9528d792d54a;dataset;2;C.1 C.17
1-100/85.iso19139;9552a47b-9d8a-40cf-bdf3-b8b300c3601b;dataset;3;C.1 C.17 C.18
101-200/67.iso19139;6f6a5f98-b84d-431b-b465-925938e68f34;dataset;3;C.1 C.17 C.18
101-200/78.iso19139;8206c97d-0ef9-4045-9e47-19d53004ca01;service;3;C.1 C.17 C.18
101-200/80.iso19139;5862337a-35a0-4d02-a8d3-9a2959c1d96b;dataset;2;C.1 C.17
101-200/83.iso19139;6a17d8a9-451b-43bb-aed4-930aeb5666f4;service;3;C.1 C.17 C.18
201-300/12.iso19139;6423f89b-53a5-4950-880d-84da52e65edb;service;2;C.1 C.17
201-300/15.iso19139;315486f6-3aec-4ac0-a222-0233a78c13a9;dataset;4;C.1 C.17 C.18 C.19
201-300/18.iso19139;80f49f4d-5611-4759-b63f-45ee88008665;dataset;10;C.1 C.5 C.17 C.18 C.19 C.20 C.21 C.22 1.4 1.10
201-300/20.iso19139;36a851e6-0784-4e3f-a23c-85d7ca582230;dataset;10;C.1 C.5 C.17 C.18 C.19 C.20 C.21 C.22 1.4 1.10
101-200/57.iso19139;03b48d0f-1f6a-403c-8dad-1bff4412a6fa;dataset;3;C.1 C.17 C.18
201-300/26.iso19139;79054524-66cb-45f7-9431-8fbf929279a6;service;3;C.1 C.17 C.18
201-300/4.iso19139;2be17c16-9af5-4f42-a458-13f971444f1e;dataset;3;C.1 C.17 C.18
201-300/7.iso19139;fdf5cd43-e8e4-4472-a8c2-019c624fd938;dataset;2;C.1 C.17
101-200/76.iso19139;78bfe1b3-8a29-4fd3-aa3a-a7c1d3513868;dataset;3;C.1 C.17 C.18
101-200/79.iso19139;8d74bd25-dc36-4562-81a9-70cf026d2619;dataset;2;C.1 C.17
101-200/81.iso19139;5b961e48-c986-4756-86f4-0a3773cfa6c5;dataset;2;C.1 C.17
101-200/84.iso19139;8eecd24a-3f67-4dfe-a06d-7078b3fe0249;service;2;C.1 C.17
201-300/16.iso19139;58e26010-011f-47a4-8073-04a06d72ad4a;dataset;10;C.1 C.5 C.17 C.18 C.19 C.20 C.21 C.22 1.4 1.10
201-300/19.iso19139;C211EED2-54CA-4F43-8E85-EF59696A73CC;dataset;10;C.1 C.5 C.17 C.18 C.19 C.20 C.21 C.22 1.4 1.10
201-300/5.iso19139;04301870-c25b-4941-9f28-6eb799cabb9b;dataset;3;C.1 C.17 C.18
201-300/8.iso19139;94ef5a64-1319-44d0-9862-5f9d2d979012;dataset;2;C.1 C.17
1-100/12.iso19139;ddea20ee-1811-4df2-8717-9724d4f14b60;service;2;C.1 C.17
1-100/34.iso19139;f3df3cb2-40df-4c82-bb1b-5e2e50dd670f;dataset;4;C.1 C.17 C.18 2.6
1-100/37.iso19139;efd7f200-a0dd-4afa-8d68-7bd99169fcd1;dataset;4;C.1 C.17 C.18 2.6
1-100/4.iso19139;9ff67cfe-b102-4a18-bd96-79d81c908884;service;2;C.1 C.17
101-200/39.iso19139;2822f6f7-379b-4501-88f5-c26317573836;dataset;3;C.1 C.17 C.18
101-200/41.iso19139;23f847d4-80ee-489c-961b-2dde6a8971a9;dataset;3;C.1 C.17 C.18
101-200/47.iso19139;1b2ddbab-eec4-46a2-9a55-3a3fc25c60df;dataset;3;C.1 C.17 C.18
101-200/77.iso19139;52535255-775d-4549-b6ea-9a6c0b9d50b0;dataset;2;C.1 C.17
101-200/82.iso19139;353be7f2-7a42-4a75-901d-702d09094641;service;2;C.17 C.18
201-300/14.iso19139;618244d3-bc2f-4dbc-933d-376331735179;service;3;C.1 C.17 C.18
201-300/17.iso19139;69c810f9-a2c3-4213-b467-ad719833060e;dataset;10;C.1 C.5 C.17 C.18 C.19 C.20 C.21 C.22 1.4 1.10
201-300/9.iso19139;2d6837af-90a4-46c4-bed7-87a2ebf41d0e;dataset;3;C.1 C.17 C.18
1-100/10.iso19139;fb4432bb-b669-4018-bf07-b1123d02df93;service;3;C.1 C.17 C.18
