file_id;md_id;type;error_count;errors
1-100/3.iso19139;{C2B1338D-3BFC-4813-9BE9-3AA8ED5BB5EF};service;1;3.6
1-100/74.iso19139;62164ea7-9ab4-4134-b210-0e02c0a80164;service;1;C.14
1-100/75.iso19139;4e64db72-fba8-481b-b22b-083ac0a80138;service;1;C.14
101-200/20.iso19139;55672b7d-6e34-4fba-9777-7a590a010852;dataset;1;C.1
101-200/25.iso19139;659feaec-1edc-41f4-a439-77cfc0a80164;dataset;1;1.10
101-200/26.iso19139;61b1e765-f6d0-4a4f-b0b3-31dac0a8017c;dataset;1;2.5
101-200/29.iso19139;{7712446D-B6AF-49C4-A977-9573303313AC};service;1;3.6
101-200/46.iso19139;587dd2a0-c7f8-406f-ab65-0de47f000001;service;1;C.1
101-200/71.iso19139;{775E6600-B6DB-416C-B7C7-186C1B582865};series;1;2.5
201-300/10.iso19139;61af2686-4bb8-4253-8bb0-0dacc0a8cc15;service;1;3.6
201-300/1.iso19139;CZ-VUV-MD-dataINSPIRE;series;1;2.5
201-300/2.iso19139;61b3231b-8d54-4a4f-8ddf-79260a02080d;service;1;3.6
201-300/25.iso19139;6593ee27-d730-4575-8546-40390c0a8017c;dataset;1;1.10
201-300/31.iso19139;61a4972e-1bb8-4cc5-9209-03bec0a8017c;series;1;2.5
201-300/34.iso19139;58511e32-f73c-432e-a69b-4a0dc0a80138;dataset;1;1.10
201-300/70.iso19139;58c273cf-9394-4618-9c56-0ce1c0a80138;dataset;1;2.5
201-300/73.iso19139;585a5126-9c14-4da5-bfff-5fd8c0a80138;series;1;2.5
201-300/69.iso19139;61b1f499-c8e4-40c8-920a-3b26c0a8017c;dataset;1;2.5
