file_id;md_id;type;error_count;errors
1-100/10.iso19139;f64bde0d-c5a8-4882-a4f3-1f5ec7ba4525;dataset;1;M.2
1-100/26.iso19139;b209c8ea-fa3a-4b52-8ee5-1fe28dadd028;dataset;1;M.2
1-100/29.iso19139;7ee29be5-2926-4387-9ec9-a12513e2b7a9;dataset;1;M.1
1-100/31.iso19139;ec2a1efe-71e6-4b93-8388-bab89f06cde1;dataset;1;M.2
1-100/4.iso19139;caa84025-5b73-4721-8867-75b134f00caf;dataset;3;C.1 C.17 M.1
1-100/27.iso19139;a7d576c6-9dd4-4344-a26d-b7da3e19a830;dataset;1;2.4
1-100/48.iso19139;5b064b37-a750-4dde-a467-ce133149bdb0;dataset;4;C.1 C.17 1.5 M.1
1-100/3.iso19139;77809ac3-1dcb-4b4f-9108-6bf60b7f3695;dataset;1;C.17
1-100/53.iso19139;7c5896cf-08b1-403b-aded-bbbdecb7b311;service;4;C.1 C.17 3.4 3.6
1-100/56.iso19139;76adac90-d3d2-4a6c-8385-987651858551;service;5;C.1 C.17 3.4 3.6 3.7
1-100/72.iso19139;ea1078e1-ecce-4ea0-968e-adedbb2103b6;dataset;5;C.1 C.17 1.5 M.1 M.2
1-100/75.iso19139;70795f52-2d84-4bc3-b6a7-a359cb2f8fb5;dataset;6;C.1 C.17 1.5 2.4 M.1 M.2
1-100/51.iso19139;31a951f5-291e-4a03-ba98-0da05881d7fa;dataset;3;C.1 C.17 M.1
1-100/54.iso19139;48f73a12-6f04-415a-a188-0792de5aa840;service;1;C.17
1-100/80.iso19139;be86c6ea-f4b1-478c-9641-151a2af89bbc;dataset;3;C.17 M.1 M.2
1-100/57.iso19139;59e8e843-8420-4d60-9716-ba0b374cba58;dataset;3;C.1 C.17 M.1
1-100/73.iso19139;6259739e-294b-4d3e-af1c-1cf534c381ab;dataset;3;C.1 C.17 M.1
101-200/11.iso19139;651caae5-d69c-4382-98d8-b12455b04bba;dataset;1;C.17
1-100/76.iso19139;a20ae113-4808-4ce6-952b-e8bf57608c36;dataset;1;C.17
1-100/81.iso19139;d0b37936-1925-4e01-99c4-958d607dd717;service;1;C.17
101-200/30.iso19139;3611a221-40d3-419e-b294-76cbfeefcda3;dataset;7;C.1 C.13 C.17 1.5 2.4 M.1 M.2
