file_id;md_id;type;error_count;errors
1-100/62.iso19139;https://data.gov.sk/set/data/gmd/bd67206b-7d8f-4e5c-9db9-25effbce145b;service;1;3.6
1-100/47.iso19139;https://data.gov.sk/set/data/gmd/1412b727-5eab-4336-b972-e5f111a45f31;service;1;3.6
1-100/61.iso19139;https://data.gov.sk/set/data/gmd/09f2d95c-aaf1-485b-b393-b6700fd4e3b9;service;1;3.6
101-200/22.iso19139;https://data.gov.sk/set/data/gmd/5b148b90-530f-4797-af73-81ae36c39fbb;dataset;1;C.1
101-200/88.iso19139;https://data.gov.sk/set/data/gmd/e3632b6c-85ca-449d-8ffb-fce6c37a0ed5;dataset;1;C.1
101-200/32.iso19139;https://data.gov.sk/set/data/gmd/48869a9d-3067-4c1f-8598-37083eab8a9d;service;1;C.1
301-400/13.iso19139;https://data.gov.sk/set/data/gmd/a351d63c-dfe8-4318-8c55-4068c637adb8;service;1;C.1
301-400/20.iso19139;https://data.gov.sk/set/data/gmd/a854f272-ebde-40b9-8db1-0b718d2ec16a;dataset;1;C.1
301-400/26.iso19139;https://data.gov.sk/set/data/gmd/865cd333-04d1-4f41-85fe-affe98b37809;service;1;C.1
301-400/29.iso19139;https://data.gov.sk/set/data/gmd/150f2fa6-82b9-477f-9d4c-4c725f8cbd91;service;1;C.1
301-400/9.iso19139;https://data.gov.sk/set/data/gmd/0333921d-4d38-4bd0-8ed6-aeee5f0c9183;service;1;C.1
