file_id;md_id;type;error_count;errors
1-100/19.iso19139;1489f7f8-40c8-4dc4-83b6-bcf277b56506;dataset;1;1.11
1-100/17.iso19139;5857ec0a-8d2c-4cd8-baa2-0dc54ae213b4;dataset;1;1.11
1-100/21.iso19139;5e8d9286-4d94-4e95-8546-2ef4b891c007;dataset;1;1.11
1-100/26.iso19139;9c3482a1-7685-4b3f-8d0b-d5ec34b24b88;service;1;5.3
1-100/29.iso19139;02c6d51c-4e8c-4948-a620-dc046c8cb747;dataset;1;1.11
1-100/25.iso19139;2dcecff9-70b6-4f14-b934-af377bff88d9;service;1;3.6
1-100/3.iso19139;c750a3f5-1cb8-46aa-a5eb-e13ee0cb9689;service;1;C.1
1-100/30.iso19139;a26e57bc-15bd-46db-8504-6c6ed1e7c501;dataset;1;1.11
1-100/62.iso19139;c73bf950-ca32-44f0-af93-6689d468ca48;service;1;3.6
101-200/11.iso19139;768a3ca6-0655-45d5-8cd5-76bd7e0e59d2;service;1;3.6
101-200/2.iso19139;77caf574-1348-4b2d-a5e6-d9766310ca0a;service;3;C.1 3.4 5.3
101-200/12.iso19139;6bf84018-1724-4ba9-9c25-879b5d204a19;service;1;3.6
101-200/33.iso19139;339d49c3-06a5-4310-9605-fced1fe465cb;service;1;C.1
101-200/61.iso19139;0c0f114d-a8ee-444d-8a88-93459bccf506;service;1;C.1
101-200/100.iso19139;9db56b4f-474a-4e79-bd87-a2f0e4e4728e;dataset;1;1.11
101-200/74.iso19139;e673d27b-7aca-4a44-a2ac-a07a9517265e;service;1;3.6
101-200/24.iso19139;65014cc7-f9f0-4747-a013-dbfe4d7a9734;service;1;3.7
201-300/100.iso19139;a29b905c-6aaa-4283-ae2c-d167624c08a8;dataset;1;1.11
201-300/16.iso19139;63c672fa-e180-4601-a176-6bf163e0929d;service;1;C.1
101-200/97.iso19139;ac9533a0-03e7-4127-8e96-109a20ab6b9c;service;1;C.1
201-300/17.iso19139;638f1fb4-54f0-43cf-a911-bfeea753d1a1;service;2;C.1 C.6
201-300/38.iso19139;d5b180dd-0cef-4c4a-9174-ba5af69c3551;dataset;1;1.11
201-300/66.iso19139;no.niva:d2675936-8ebf-4fc5-988c-4a5198b2df57;dataset;4;C.14 C.17 1.4 2.4
201-300/69.iso19139;no.niva:14bb8759-81d8-4a1a-948a-14219d374fab;dataset;4;C.14 C.17 C.19 2.4
201-300/71.iso19139;30caed2f-454e-44be-b5cc-26bb5c0110ca;dataset;1;1.11
201-300/74.iso19139;8ff1538a-a93c-4391-8d6f-3555fc37819c;dataset;1;1.11
101-200/98.iso19139;a9984104-30e3-4b00-8d1e-a86d118b2ee4;service;1;C.1
201-300/27.iso19139;37de5d31-41ec-453a-8a33-8734383d9411;service;1;3.6
201-300/77.iso19139;c3da3591-cded-4584-a4b1-bc61b7d1f4f2;dataset;1;1.11
201-300/62.iso19139;17adbcac-bbb2-4efc-ab51-756573c8f178;dataset;1;1.11
201-300/68.iso19139;no.niva:af11ba01-dfe3-4432-b9d2-4e6fd10714db;dataset;4;C.14 C.17 C.19 2.4
201-300/85.iso19139;7ddb1b9d-08f5-41d0-9d73-48a98d961a2e;dataset;1;1.11
201-300/88.iso19139;8baa6e54-774e-4789-9e64-1c50f32098f4;dataset;1;1.11
201-300/73.iso19139;b3c319bd-910d-4663-8ce8-23a246afe879;dataset;1;1.11
201-300/76.iso19139;30e1883e-70e9-4510-9e97-00edbdcddc02;dataset;1;1.11
201-300/26.iso19139;42b59f02-2a61-4d4e-b0bd-358e26094a4f;service;2;5.3 5.5
201-300/93.iso19139;09a40026-00e2-4fd8-b390-afd8d6f88c63;dataset;1;1.11
201-300/84.iso19139;39c357fc-8c56-49e0-a6ba-3e434d62a585;dataset;1;1.11
201-300/87.iso19139;79f0f17d-9f62-456d-b1a9-2a8c754c51c4;dataset;1;1.11
201-300/95.iso19139;e08ad2cb-3262-4a78-bc58-2f3b5c5ccfd2;dataset;1;1.11
301-400/14.iso19139;041f1e6e-bdbc-4091-b48f-8a5990f3cc5b;dataset;1;1.11
