file_id;md_id;type;error_count;errors
1-100/10.iso19139;AWS_GSI_INSPIRE_WMS;service;1;3.6
1-100/49.iso19139;AWS_Soil_INSPIRE_ATOM;service;1;3.6
1-100/50.iso19139;AWS_IACSdata_INSPIRE_WMS;service;1;3.6
1-100/48.iso19139;AWS_Soil_INSPIRE_WMS;service;1;3.6
1-100/52.iso19139;AWS_TE_INSPIRE_ATOM;service;1;3.6
1-100/5.iso19139;AWS_EPA_INSPIRE_ATOM;service;1;3.6
1-100/51.iso19139;AWS_IACSdata_INSPIRE_ATOM;service;1;3.6
1-100/53.iso19139;AWS_TE_INSPIRE_WMS;service;1;3.6
1-100/70.iso19139;AWS_CSO_INSPIRE_WMS;service;1;3.6
1-100/78.iso19139;AWS_MET_INSPIRE_ATOM;service;1;3.6
1-100/8.iso19139;AWS_MET_INSPIRE_WMS;service;1;3.6
1-100/77.iso19139;AWS_GSI_INSPIRE_ATOM;service;1;3.6
1-100/83.iso19139;{30EE3CB2-0894-4487-B5B5-3CB35EB0A768};service;1;3.6
1-100/89.iso19139;AWS_DHLGH_INSPIRE_WMS;service;1;3.6
1-100/82.iso19139;{0CD532EA-1AD7-44CE-8AAE-7E5A3F586C16};service;1;3.6
1-100/90.iso19139;AWS_DHLGH_INSPIRE_ATOM;service;1;3.6
1-100/98.iso19139;AWS_EPA_INSPIRE_WMS;service;1;3.6
1-100/91.iso19139;{467CB317-2FB3-40E4-8109-45A1FFC9B3D1};service;1;3.6
1-100/97.iso19139;AWS_CSO_INSPIRE_ATOM;service;1;3.6
