file_id;md_id;type;error_count;errors
1-100/1.iso19139;2fb2dec2-68c3-4a30-9698-7a6ec7c01663;service;1;3.6
1-100/100.iso19139;09b84d0a-f519-4829-9745-b4b97f5f2a3d;service;1;3.6
1-100/11.iso19139;2c7978a7-bbdb-4271-935b-0e6ec583bf8a;service;1;3.6
1-100/12.iso19139;2d329722-cafa-4b7a-b650-b3a2b91f46fe;service;1;3.6
1-100/13.iso19139;26b72738-b934-486b-acaa-78e8cbebab13;service;1;3.6
1-100/17.iso19139;266b3c1d-76eb-4706-8f3e-0bf4bd6a1a66;service;1;3.6
1-100/2.iso19139;285dbc62-82b8-4370-88d2-b34ee1ee0ce4;service;1;3.6
1-100/32.iso19139;232397dd-8df5-44c0-bd6b-6d7401459a25;service;1;3.6
1-100/33.iso19139;2180b72b-327d-47c8-b724-d9e3b0b3dd9b;service;2;3.4 3.6
1-100/38.iso19139;22bb8003-2737-472d-91b5-b59f24fa19a1;service;1;3.6
1-100/4.iso19139;2b2daa2e-6053-4275-b71a-6e0080799d5f;service;2;3.4 3.6
1-100/41.iso19139;2242c584-081e-437a-8492-00254aa17702;service;1;3.6
1-100/44.iso19139;23a3445f-a3f0-4ef9-a059-cd4ac0f42781;service;1;3.6
1-100/50.iso19139;19d8c5af-8228-4b99-be0a-cfcbd382ff98;service;1;3.6
1-100/48.iso19139;1bfb70a2-44e2-4b79-a07e-170415c1509b;service;1;3.6
1-100/58.iso19139;15ecbb42-00b5-44f5-a900-6178db8b1065;service;1;3.6
1-100/6.iso19139;2ddbad45-4624-4ada-9e34-5cdddc98a8d9;service;1;3.6
1-100/61.iso19139;17a12735-904b-4386-95df-3846b8f60930;service;1;3.6
1-100/55.iso19139;1c513524-f650-4a0f-be3a-81b3bc7066b4;service;2;3.4 3.6
1-100/67.iso19139;19a2ebe7-9fe7-46e3-b4e6-4ff023a266a0;service;1;3.6
1-100/62.iso19139;188e216a-7d84-4f6d-9f3c-a54f7dfabe48;service;1;3.6
1-100/74.iso19139;1334a39c-a653-4cf2-8d18-321789712e97;service;1;3.6
1-100/71.iso19139;1813e36a-0013-425e-8578-2a012ba5657e;service;1;3.6
1-100/77.iso19139;0f4abe8c-6c9f-440a-b473-de6bf1b10609;service;1;3.6
1-100/80.iso19139;0cc49f9c-a884-48c5-85d1-a66fa1238d6a;service;1;3.6
1-100/92.iso19139;0862851f-ae43-48b1-94f4-bfd10fe7540c;service;1;3.6
1-100/96.iso19139;096e358c-2bde-43c0-8500-8be497715bd7;service;1;3.6
1-100/91.iso19139;0c6b05f6-72dc-4983-b9a5-8b2ee14032bc;service;1;3.6
1001-1100/49.iso19139;f397a53d-581b-46b0-9ca1-518b08f8a4a5;service;2;C.1 C.15
1001-1100/61.iso19139;7764c753-fbce-4b56-b147-5522e0347c21;series;1;1.3
1001-1100/79.iso19139;eaa35015-376c-489b-9fcf-c1ebd9a87a61;service;2;3.4 3.6
101-200/1.iso19139;073d9aa4-eb8e-40fa-966a-4510e595e4a0;service;1;3.6
101-200/19.iso19139;007ba2d2-5719-4ae3-827f-fb82a09ce4cb;service;1;3.6
101-200/5.iso19139;059f8254-02eb-4b6f-9d2a-de377a222bc2;service;1;3.6
101-200/7.iso19139;02b04c6c-e7b3-442a-8b43-1abbdbdbccb9;service;1;3.6
101-200/73.iso19139;4b3d8a60-20a2-4cc8-a343-2ac31bf6ce50;service;1;3.6
101-200/88.iso19139;d84543ca-fdc4-4c7d-999b-41a7317cfc32;dataset;1;C.10
1201-1300/99.iso19139;fe4cedf3-3df0-4656-b537-d0617cd87faa;service;1;3.6
1301-1400/47.iso19139;fbdd9c8a-7cef-4c44-938f-2d556fff52ba;service;1;3.6
1301-1400/55.iso19139;f9826079-7395-47ad-8a25-6229c3cc5513;service;1;3.6
1301-1400/58.iso19139;fd9e667f-d2c5-4958-aa34-62b7933b3651;service;1;3.6
1301-1400/67.iso19139;f76abdbb-01c7-48f8-8bfe-d3556c1b9be8;service;1;3.6
1301-1400/69.iso19139;f2c59bf8-f9d1-4b7d-b11a-4f4972544ae2;service;1;3.6
1301-1400/71.iso19139;f7ffb6c4-6d21-4d78-bdf5-32e0a13cccfa;service;2;3.4 3.6
1301-1400/79.iso19139;f02ed2b2-6331-472f-9d88-fcebcb5980b6;service;1;3.6
1301-1400/82.iso19139;ea0678ba-a35a-431e-9a28-191345a1b3a4;service;1;3.6
1301-1400/84.iso19139;ea9d30d6-421e-4479-9b79-83211f2523bf;service;1;3.6
1301-1400/83.iso19139;ec654ae3-3e0f-451a-8b6e-f3e1a52cf7dc;service;1;3.6
1301-1400/88.iso19139;eee79e2a-b3f8-418a-a5ae-fd4c632aeada;service;1;3.6
1301-1400/90.iso19139;e993a684-ab3a-4427-8e6b-ed0eea48e1f1;service;1;3.6
1301-1400/92.iso19139;e826154c-b143-4584-8df1-6d6274526e8a;service;1;3.6
1301-1400/95.iso19139;e1ba2d53-e961-4d92-8185-4bf9006c0ecf;service;1;3.6
1301-1400/99.iso19139;e3aa544d-2b88-405d-9151-5abc53f539d8;service;2;3.4 3.6
1401-1500/17.iso19139;d95ee7b0-11ee-4632-8cdc-7018c1e46476;service;1;3.6
1401-1500/57.iso19139;ce3212c6-192c-437a-ae63-4eb118591d39;service;1;3.6
1401-1500/59.iso19139;d14e2662-7b44-4901-ab81-56abdc10460d;service;1;3.6
1401-1500/66.iso19139;ccf790e9-e528-4def-9285-7946c534657a;service;1;3.6
1401-1500/68.iso19139;c9d98f39-92eb-477d-a36d-b271c041606f;service;1;3.6
1401-1500/71.iso19139;c7c3aafb-2591-4603-a6c7-22a889554e61;service;1;3.6
1401-1500/58.iso19139;cfd59bec-5c3d-4d37-a9f0-01263a6464d9;service;1;3.6
1401-1500/6.iso19139;E73EC0E4-DB9F-4C44-B764-B86B47624A53;service;1;3.6
1401-1500/88.iso19139;c53ba20c-d31d-485a-a0ff-c1274885a1bf;service;2;3.4 3.6
1401-1500/63.iso19139;cfd63ac5-59d4-411a-8925-e1b0be714abe;service;1;3.6
1401-1500/69.iso19139;c98ef8d7-8ab9-4c24-b906-c5beaf91ae8a;service;1;3.6
1401-1500/70.iso19139;c7f672bd-acfe-45e2-a3dc-781df9a0d85d;service;1;3.6
1401-1500/99.iso19139;bf1dfae6-fb41-4898-9604-de51f3e70ad8;service;1;3.6
1501-1600/13.iso19139;c12096d3-2098-4759-8e15-604dcc068396;service;1;3.6
1501-1600/24.iso19139;b4780d1d-e3de-4aca-ae01-3c0d0d73e167;service;1;3.6
1401-1500/87.iso19139;c64355c9-709b-4314-b3a9-5fc5b45ed2ef;service;1;3.6
1501-1600/26.iso19139;bbe9ae43-e4e6-465a-ae26-04bebf214ff0;service;1;3.6
