file_id;md_id;type;error_count;errors
1-100/9.iso19139;0deb6c22-a6ae-453d-a956-205f52141ca1;series;1;C.1
201-300/39.iso19139;9d9573b0-bd3b-4d7b-a97d-e65841e6e0b3;service;1;C.1
401-500/12.iso19139;613680e1-743b-4eee-8376-59cf2d8d4ab8;dataset;8;C.14 C.17 C.20 C.21 C.22 1.4 1.10 2.6
401-500/14.iso19139;F646DFB9-5BF6-EAB9-042B-CAB6FF2DC275;dataset;1;2.6
401-500/15.iso19139;9c4b98ce-0122-4b54-b89c-9792ce02b401;dataset;3;C.17 2.6 M.1
401-500/18.iso19139;d3c9efd6-fca7-49d6-92bb-5f507abece90;dataset;1;2.6
401-500/17.iso19139;7ea591c5-5bd4-4de3-be67-b982724d4498;dataset;1;M.2
401-500/27.iso19139;733559a5-201d-40e5-ad43-d1c7bae84d9f;dataset;1;2.6
401-500/28.iso19139;5800f3b0-2ea2-4231-8165-216a7b26867f;dataset;1;2.6
401-500/36.iso19139;73ec579e-c906-433a-b0b6-d3aa33421558;dataset;8;C.14 C.17 C.18 1.6 1.10 2.4 2.6 2.7
401-500/43.iso19139;7D35598D-DFBF-C64D-0F1A-92A80A45EB14;dataset;1;2.6
401-500/39.iso19139;500d396f-5ec6-4e4b-a151-5fb3cddd8082;dataset;1;2.6
401-500/49.iso19139;E7D9F0D6-2B8D-6699-F26E-4A781228F2DD;dataset;1;2.6
401-500/53.iso19139;88f76a94-ee4d-4e0c-9fde-91b692403e39;dataset;1;2.2
401-500/61.iso19139;0d6ccccc-7cfb-4eaa-8dc5-8b433d19b121;dataset;1;C.17
401-500/60.iso19139;d8f370e8-123c-4ab3-9410-04f728327ac6;dataset;1;2.6
401-500/70.iso19139;a5b202d6-9e3f-4863-a010-1579a68c9679;dataset;8;C.14 C.17 C.20 C.21 C.22 1.4 1.10 2.6
401-500/66.iso19139;b3ec8793-7747-4da0-b6c3-aa384446a586;dataset;1;2.6
401-500/74.iso19139;af135cd8-d429-4fc7-b9e3-09e15217520d;dataset;1;2.6
401-500/90.iso19139;f91c6ad6-62a5-46d0-8a5b-8a62e7a4b833;dataset;1;2.6
501-600/11.iso19139;c935f2ab-9b65-4dc4-94a0-73aeb840a941;dataset;3;C.17 2.6 M.1
501-600/21.iso19139;2442bbcc-8ba7-45e0-83a3-f9fc7f2716d0;dataset;1;M.1
501-600/17.iso19139;afc450bd-65b3-4e59-b0fb-619869bf6ada;dataset;1;M.1
501-600/19.iso19139;a29917b9-3426-4041-a11b-69bcb2256904;dataset;1;2.6
501-600/22.iso19139;af83c0ed-833f-41dc-bc32-1de5d99d8cc8;dataset;1;M.1
501-600/26.iso19139;280ed37a-b8d2-4ac5-8567-04d84fad3a41;dataset;1;C.17
601-700/19.iso19139;68ebd5c9-0ea1-4f22-9907-ec4c06fcd3e2;service;1;C.1
601-700/78.iso19139;a90027f8-7323-45d6-86a7-9374d0de05bf;dataset;1;2.6
701-800/34.iso19139;208bc283-7c66-4ce7-8ad3-1cf3e8933fb5;dataset;1;2.2
701-800/58.iso19139;4e93ea64-1f11-4544-a7e6-5f09f7d60dca;service;1;3.6
701-800/6.iso19139;13d10fb6-9193-47c5-a86d-37a53dd49d8d;dataset;1;M.1
701-800/61.iso19139;14ae042e-0fba-4c6b-82da-52b0ea62d68c;service;1;3.6
701-800/57.iso19139;1ca95c86-2a89-4fa0-9f20-47da97bb0cc4;service;1;3.6
701-800/63.iso19139;a8abeacf-bdff-474b-a82a-22cf91286a22;service;1;3.6
701-800/65.iso19139;93c55caa-9d83-40f0-b6ae-66ea56525efe;service;1;3.6
701-800/59.iso19139;d1973422-159e-40d4-aaaa-372390badda4;service;1;3.6
701-800/67.iso19139;c920c15d-95b8-4be4-8874-1fba0a138ee8;service;1;3.6
701-800/60.iso19139;af4d34be-0ab8-49e4-bf44-7676911768a3;service;1;3.6
701-800/70.iso19139;90e67596-bd1e-45c8-85d4-9255982c22f3;service;1;3.6
701-800/64.iso19139;87731823-aeb5-455a-a79e-8a1c1935e636;service;1;3.6
701-800/72.iso19139;752bb2a3-5b20-43f8-88a0-9f16ce3bfd2c;service;1;3.6
701-800/66.iso19139;ac8376a7-44d5-48cf-a7de-a13cd45192f1;service;1;3.6
701-800/74.iso19139;6cd05e91-d6d8-48e0-a6a7-f6a0e9970b34;service;1;3.6
701-800/89.iso19139;9d9573b0-bd3b-4d7b-a97d-e65841e6e0b2;service;1;C.1
701-800/90.iso19139;9d9573b0-bd3b-4d7b-a97d-e65841e6e0b4;service;1;C.1
701-800/84.iso19139;9d9573b0-bd3b-4d7b-a97d-e65841e6e0b1;service;1;C.1
701-800/94.iso19139;2fdb7b4e-a991-402e-813a-2cd66d5bff60;service;1;3.6
701-800/88.iso19139;c5f61276-efe7-4b26-a08c-3f6f160d4462;service;1;C.17
801-900/24.iso19139;5bab53cc-11ea-461f-8d1a-7959f621633f;dataset;1;M.2
801-900/26.iso19139;c10eba83-2e19-4ff8-8605-b48eaa146fa9;dataset;1;M.2
801-900/23.iso19139;a5c615ac-ff6f-48fb-b453-5c7ba922e943;dataset;8;C.6 C.20 C.21 C.22 1.4 1.10 2.4 2.6
801-900/25.iso19139;7d38ad2b-2e5c-4eb0-920f-0b696d417ca8;dataset;1;M.2
801-900/31.iso19139;59281231-d77a-4fa2-ab28-882fe0a4c4cc;dataset;1;M.2
801-900/27.iso19139;2f15feed-8b8f-43d4-87ef-aa7d6831f5ca;dataset;1;M.2
801-900/29.iso19139;d1acbb7e-9587-4b7c-98bc-97a1936ecb20;dataset;1;M.2
801-900/30.iso19139;fe5c460f-8eaa-4c74-80da-5a5127caf73d;dataset;1;M.2
801-900/42.iso19139;e8958ab4-5771-4822-9298-e0872f2d007b;dataset;3;1.4 1.10 2.6
801-900/48.iso19139;41ab88a0-7f31-4406-9014-20046e4b2e76;dataset;1;C.17
801-900/45.iso19139;54cca1bb-f279-48e7-abf2-a42a555628b9;dataset;3;1.4 1.10 2.6
801-900/68.iso19139;0944b5f2-0919-42a3-b4a7-9b257e08aac3;service;1;C.17
801-900/80.iso19139;44061dee-c6cf-4a94-8513-7370867ad32e;dataset;3;1.4 1.10 2.6
