file_id;md_id;type;error_count;errors
1-100/13.iso19139;a2acb721-a900-42e7-9386-90f712836e64;dataset;1;M.1
1-100/16.iso19139;c5b287ed-394d-41cf-ac64-0e389074d5d8;service;1;C.1
1-100/17.iso19139;2172e68d-7624-4d7e-8372-4db9a92a8444;service;1;C.1
1-100/36.iso19139;9607802d-8e24-454c-9b02-0fa158aabdeb;dataset;1;C.1
1-100/5.iso19139;8faf3566-a9d3-4d64-957d-334268d5fb54;dataset;1;M.1
1-100/49.iso19139;1f185d81-c699-48e3-9ada-c9e1ae297557;dataset;2;2.1 2.3
1-100/51.iso19139;5a668a28-3eb7-4040-a545-a0414788ebd7;dataset;1;C.1
1-100/55.iso19139;efb52885-a112-402e-9286-e942227d6385;dataset;1;M.1
1-100/54.iso19139;84f2be64-d320-485a-b65b-24fa3f100469;dataset;1;M.1
1-100/57.iso19139;887f08b3-0239-4a64-a54a-940e19bd6c29;dataset;1;C.1
1-100/59.iso19139;0bd5b96a-b041-47b0-8b1f-4638df361829;service;2;C.1 3.6
1-100/58.iso19139;0672b114-2058-4c00-bcc4-1c8949323f0f;dataset;1;C.1
1-100/76.iso19139;c193c5c0-7837-4857-8ee5-35709d0ee4b9;service;2;3.5 4.1
1-100/84.iso19139;779b63c3-4b59-4239-9a76-71728a28aee2;dataset;1;2.5
1-100/97.iso19139;4f88f4a0-051e-4527-a69b-9e9f2b6d8580;dataset;1;M.1
101-200/100.iso19139;7fc28e72-9b3b-49e9-bf92-0b5d3c98c833;dataset;2;2.5 2.6
101-200/19.iso19139;87b73ddd-82fc-4f9e-8142-7c3c4c1667b7;dataset;1;M.1
101-200/23.iso19139;ea553fb5-a80d-4cf3-84ae-74593cd34918;dataset;1;C.1
101-200/27.iso19139;e5496203-17f6-4bb1-bad6-9661167b3aed;dataset;1;M.1
101-200/35.iso19139;2b80c87c-7f03-4757-a621-a12663a34467;dataset;1;M.1
101-200/42.iso19139;19f10c7f-fdd4-4b30-83ae-cde13dfcbd2e;dataset;1;C.1
101-200/44.iso19139;f0be67ee-4c6a-4103-a443-1530d2a31411;dataset;1;C.1
101-200/43.iso19139;ca484b92-9b68-4561-aa42-35831c42f8f6;dataset;1;C.1
101-200/59.iso19139;3aa1a426-05a6-46c6-bf44-c4f3b077518e;service;1;C.6
201-300/10.iso19139;8938aa5c-1c5f-4bdf-8077-3dd06e65a947;dataset;1;C.1
101-200/98.iso19139;8d8f608d-225b-49bc-8bf1-f76b86aab443;service;2;3.4 3.6
201-300/17.iso19139;496610ab-f75d-4e65-85f4-1a52a18e8cad;dataset;1;M.1
201-300/14.iso19139;0f548d7e-e574-4c84-820c-54e5ccceda93;dataset;1;M.1
201-300/16.iso19139;d8ce90cc-6102-42be-b6b3-265a0f70e81a;dataset;1;C.1
201-300/33.iso19139;94a0da82-5edb-4172-b67b-fcb01ed7be81;service;1;C.1
201-300/35.iso19139;9fced341-796b-450f-870d-96e87c402cda;dataset;1;C.1
