file_id;md_id;type;error_count;errors
1-100/12.iso19139;339d49c3-06a5-4310-9605-fced1fe465cb;service;1;C.1
1-100/17.iso19139;8450dff4-3d3c-46ce-a5f0-d382893dfe21;service;1;3.6
1-100/31.iso19139;3389a1c5-3093-44a0-9d2b-1e6c1b4f8944;service;1;3.6
1-100/34.iso19139;9e53fe8a-354b-4cc8-bf1f-e98ed4b0315c;service;1;3.6
1-100/37.iso19139;891dabe8-6306-41e8-ae34-9a10b033be9d;service;1;3.6
1-100/43.iso19139;c750a3f5-1cb8-46aa-a5eb-e13ee0cb9689;service;1;C.1
1-100/42.iso19139;71ad2bf9-06e8-469f-9ffa-296182274154;service;1;5.3
1-100/44.iso19139;b10c5243-c629-4cd9-b13e-64bb03c981ca;service;1;3.6
1-100/52.iso19139;1a0206f2-42b8-4fff-85f4-3a84a67a753a;service;1;3.6
1-100/69.iso19139;9bb12a44-8f3a-469c-b78f-676e6e5f6a48;service;1;3.6
1-100/66.iso19139;c1f5f3de-ce2d-4104-bee3-2560c5a5a948;service;1;3.6
1-100/68.iso19139;37a362e9-df6a-4c07-ba92-566fa90a5da3;service;1;3.6
1-100/7.iso19139;9d04250e-ed32-4432-a772-bc098fe4b75f;service;1;3.6
1-100/77.iso19139;8714f6a7-c981-493b-afb1-2e4133b621de;service;3;5.3 5.4 5.5
1-100/79.iso19139;1ccbddfe-9374-4e5b-b4bc-692765b33774;service;3;5.3 5.4 5.5
1-100/85.iso19139;abdb2380-39f2-4dab-ae8e-6b59113a8705;service;6;C.1 C.5 C.11 C.17 3.1 3.8
1-100/92.iso19139;25aa2501-8124-481b-b9bf-4ef009b543b9;service;3;5.3 5.4 5.5
1-100/94.iso19139;d5c89426-417d-4868-8b73-7679ff491446;service;3;5.3 5.4 5.5
1-100/93.iso19139;fa5df2ef-373d-48b3-8944-6b12f84af0c4;service;3;5.3 5.4 5.5
1-100/96.iso19139;638f1fb4-54f0-43cf-a911-bfeea753d1a1;service;2;C.1 C.6
1-100/95.iso19139;ac362432-3909-485c-8e73-37f41bd80bc7;service;3;5.3 5.4 5.5
101-200/21.iso19139;cb02e5e7-ae1b-48d0-ba64-cc1b6e6eb48f;service;5;C.5 C.17 3.1 3.6 3.8
101-200/3.iso19139;90b0fd13-ea82-4df6-81c6-eaa0eaff1e36;service;5;C.5 C.17 3.1 3.6 3.8
101-200/4.iso19139;04e9ac6a-0906-44ee-840b-b122ba372358;service;5;C.5 C.17 3.1 3.6 3.8
101-200/5.iso19139;8c4916e5-ae3f-4a7c-9faa-730e16ef4b7b;service;5;C.5 C.17 3.1 3.6 3.8
101-200/50.iso19139;65014cc7-f9f0-4747-a013-dbfe4d7a9734;service;1;3.7
101-200/53.iso19139;a08bd89b-4717-4647-8b97-f97a99238673;service;4;3.4 5.2 5.4 5.5
101-200/54.iso19139;a9984104-30e3-4b00-8d1e-a86d118b2ee4;service;1;C.1
101-200/56.iso19139;9c3482a1-7685-4b3f-8d0b-d5ec34b24b88;service;1;5.3
101-200/63.iso19139;0c0f114d-a8ee-444d-8a88-93459bccf506;service;1;C.1
101-200/74.iso19139;6bf84018-1724-4ba9-9c25-879b5d204a19;service;1;3.6
101-200/79.iso19139;d6aebd82-dc35-4181-a825-beee78e62d8d;service;1;3.6
101-200/92.iso19139;e2d3167f-0add-433b-b33c-42e169516e31;service;1;3.6
101-200/91.iso19139;83d8b91d-1491-4aec-b4c8-a9450a86b95d;service;1;3.6
201-300/16.iso19139;9640ffdd-6343-40f9-9130-95a93388d6cb;service;1;3.6
201-300/11.iso19139;114d2611-d20d-4b75-a490-95ac271c144a;service;1;3.6
201-300/29.iso19139;3a31a1f1-f836-4565-937f-731286fb8baa;dataset;1;2.6
201-300/20.iso19139;56d76f1c-0bee-4775-b2f4-4af06322449c;service;1;3.6
201-300/36.iso19139;6e755acc-9d80-4715-95ce-5aff34aac8c3;service;1;3.6
201-300/38.iso19139;ab618542-7ea8-4201-a821-b637720ea8bb;service;6;C.5 C.10 C.17 3.1 3.6 3.8
201-300/4.iso19139;725712bc-2084-45df-b85e-2f64bd80ed1b;service;1;3.6
201-300/33.iso19139;07df5d10-5b42-4555-8d6f-593582c5b026;service;3;C.20 C.21 C.22
201-300/44.iso19139;a17966d4-a501-45b2-a2a2-f96c98e064d3;service;3;5.3 5.4 5.5
201-300/52.iso19139;dc0f80e3-3f4d-486b-9393-da8244f37e47;service;1;3.6
201-300/5.iso19139;01fbc6cb-0ccf-400d-a56d-77f39e75d5d7;service;1;3.6
201-300/59.iso19139;f6451bea-403e-4fa3-9648-a87d542e9a33;service;2;3.6 3.7
201-300/72.iso19139;63c672fa-e180-4601-a176-6bf163e0929d;service;1;C.1
201-300/76.iso19139;d5b180dd-0cef-4c4a-9174-ba5af69c3551;dataset;1;1.11
201-300/75.iso19139;94b8c392-e2c8-426a-8dbe-ae828049a1df;dataset;1;1.11
201-300/85.iso19139;0fdd8501-cacd-40a4-9085-ac6d9a757a8d;dataset;1;2.6
201-300/82.iso19139;5e8d9286-4d94-4e95-8546-2ef4b891c007;dataset;1;2.6
201-300/84.iso19139;cef06e8f-3ecc-4406-90d2-25e42f7c3f60;dataset;1;2.6
201-300/90.iso19139;be676da7-4339-4f1c-8932-0fbb3cee9f2b;dataset;1;C.1
201-300/94.iso19139;b4135456-43af-43fa-8111-7652b7c53b19;dataset;3;C.19 1.4 1.10
201-300/9.iso19139;42b59f02-2a61-4d4e-b0bd-358e26094a4f;service;2;5.3 5.5
301-400/10.iso19139;67a3a191-49cc-45bc-baf0-eaaf7c513549;dataset;1;C.19
301-400/12.iso19139;c3da3591-cded-4584-a4b1-bc61b7d1f4f2;dataset;1;1.11
301-400/14.iso19139;b203e422-5270-4efc-93a5-2073725c43ef;dataset;1;1.11
301-400/26.iso19139;e95008fc-0945-4d66-8bc9-e50ab3f50401;dataset;1;1.11
301-400/2.iso19139;a4bfd879-120f-490e-9907-68ba870664b1;dataset;1;1.11
301-400/25.iso19139;900206a8-686f-4591-9394-327eb02d0899;dataset;1;1.11
301-400/27.iso19139;de19fbbf-3734-47a0-89f5-6c5769071cdd;dataset;1;1.11
301-400/39.iso19139;df5c70a1-e9cf-4b2c-bf9a-7dce453830cd;dataset;1;1.11
301-400/46.iso19139;041f1e6e-bdbc-4091-b48f-8a5990f3cc5b;dataset;1;1.11
301-400/38.iso19139;b2d5aaf8-79ac-40f3-9cd6-fdc30bc42ea1;dataset;1;1.11
301-400/4.iso19139;ea192681-d039-42ec-b1bc-f3ce04c189ac;dataset;1;1.11
301-400/51.iso19139;17adbcac-bbb2-4efc-ab51-756573c8f178;dataset;1;1.11
301-400/57.iso19139;30caed2f-454e-44be-b5cc-26bb5c0110ca;dataset;1;1.11
301-400/45.iso19139;09a40026-00e2-4fd8-b390-afd8d6f88c63;dataset;1;1.11
301-400/59.iso19139;30e1883e-70e9-4510-9e97-00edbdcddc02;dataset;2;C.1 1.5
301-400/47.iso19139;02c6d51c-4e8c-4948-a620-dc046c8cb747;dataset;1;1.11
301-400/64.iso19139;442cae64-b447-478d-b384-545bc1d9ab48;dataset;1;1.11
301-400/6.iso19139;b3c319bd-910d-4663-8ce8-23a246afe879;dataset;1;1.11
301-400/63.iso19139;3de4ddf6-d6b8-4398-8222-f5c47791a757;dataset;2;C.1 1.5
301-400/65.iso19139;47234f63-a9d1-43c7-b91c-db90c92d5008;dataset;1;1.11
